ClassName,ID,a,b,c,d,f,g,h,i,j,k
PCA73,R5.4.4(3),PCA73,R5.4.4(3),PCA73,R5.4.4(3),PCA73,R5.4.4(3),PCA73,R5.4.4(3),PCA73,R5.4.4(3)
PCA74,R5.5.0(1),PCA74,R5.5.0(1),PCA74,R5.5.0(1),PCA74,R5.5.0(1),PCA74,R5.5.0(1),PCA74,R5.5.0(1)
PCA75,R6.1.0(1),PCA75,R6.1.0(1),PCA75,R6.1.0(1),PCA75,R6.1.0(1),PCA75,R6.1.0(1),PCA75,R6.1.0(1)
PCA79,R5.5.0(1),PCA79,R5.5.0(1),PCA79,R5.5.0(1),PCA79,R5.5.0(1),PCA79,R5.5.0(1),PCA79,R5.5.0(1)
PCA79,R5.8.0(1),PCA79,R5.8.0(1),PCA79,R5.8.0(1),PCA79,R5.8.0(1),PCA79,R5.8.0(1),PCA79,R5.8.0(1)
PCA79,R6.5.0(1),PCA79,R6.5.0(1),PCA79,R6.5.0(1),PCA79,R6.5.0(1),PCA79,R6.5.0(1),PCA79,R6.5.0(1)
PCA80,R6.2.0(1),PCA80,R6.2.0(1),PCA80,R6.2.0(1),PCA80,R6.2.0(1),PCA80,R6.2.0(1),PCA80,R6.2.0(1)
PCA81,R5.6.0(1),PCA81,R5.6.0(1),PCA81,R5.6.0(1),PCA81,R5.6.0(1),PCA81,R5.6.0(1),PCA81,R5.6.0(1)
PCA81,R6.4.0(1),PCA81,R6.4.0(1),PCA81,R6.4.0(1),PCA81,R6.4.0(1),PCA81,R6.4.0(1),PCA81,R6.4.0(1)
PCA81,R6.4.0(7),PCA81,R6.4.0(7),PCA81,R6.4.0(7),PCA81,R6.4.0(7),PCA81,R6.4.0(7),PCA81,R6.4.0(7)
PCA90,R6.5.0(1),PCA90,R6.5.0(1),PCA90,R6.5.0(1),PCA90,R6.5.0(1),PCA90,R6.5.0(1),PCA90,R6.5.0(1)
PCA92,R5.4.4(3),PCA92,R5.4.4(3),PCA92,R5.4.4(3),PCA92,R5.4.4(3),PCA92,R5.4.4(3),PCA92,R5.4.4(3)
PCA95,R5.6.0(8),PCA95,R5.6.0(8),PCA95,R5.6.0(8),PCA95,R5.6.0(8),PCA95,R5.6.0(8),PCA95,R5.6.0(8)
PCA101,R6.1.0(1),PCA101,R6.1.0(1),PCA101,R6.1.0(1),PCA101,R6.1.0(1),PCA101,R6.1.0(1),PCA101,R6.1.0(1)
PCA101,R6.4.0(1),PCA101,R6.4.0(1),PCA101,R6.4.0(1),PCA101,R6.4.0(1),PCA101,R6.4.0(1),PCA101,R6.4.0(1)
PCA101,R6.4.0(6),PCA101,R6.4.0(6),PCA101,R6.4.0(6),PCA101,R6.4.0(6),PCA101,R6.4.0(6),PCA101,R6.4.0(6)
PCA102,R5.7.0(5),PCA102,R5.7.0(5),PCA102,R5.7.0(5),PCA102,R5.7.0(5),PCA102,R5.7.0(5),PCA102,R5.7.0(5)
PCA108,R6.3.0(1),PCA108,R6.3.0(1),PCA108,R6.3.0(1),PCA108,R6.3.0(1),PCA108,R6.3.0(1),PCA108,R6.3.0(1)
PCA108,R5.7.0(1),PCA108,R5.7.0(1),PCA108,R5.7.0(1),PCA108,R5.7.0(1),PCA108,R5.7.0(1),PCA108,R5.7.0(1)
PCA108,R5.8.0(1),PCA108,R5.8.0(1),PCA108,R5.8.0(1),PCA108,R5.8.0(1),PCA108,R5.8.0(1),PCA108,R5.8.0(1)
PCA112,R6.2.0(1),PCA112,R6.2.0(1),PCA112,R6.2.0(1),PCA112,R6.2.0(1),PCA112,R6.2.0(1),PCA112,R6.2.0(1)
PCA113,R5.7.0(5),PCA113,R5.7.0(5),PCA113,R5.7.0(5),PCA113,R5.7.0(5),PCA113,R5.7.0(5),PCA113,R5.7.0(5)
PCA113,R5.6.0(1),PCA113,R5.6.0(1),PCA113,R5.6.0(1),PCA113,R5.6.0(1),PCA113,R5.6.0(1),PCA113,R5.6.0(1)
PCA113,R5.6.0(8),PCA113,R5.6.0(8),PCA113,R5.6.0(8),PCA113,R5.6.0(8),PCA113,R5.6.0(8),PCA113,R5.6.0(8)
PCA114,R4.1.0(1),PCA114,R4.1.0(1),PCA114,R4.1.0(1),PCA114,R4.1.0(1),PCA114,R4.1.0(1),PCA114,R4.1.0(1)
PCA114,R6.2.0(8),PCA114,R6.2.0(8),PCA114,R6.2.0(8),PCA114,R6.2.0(8),PCA114,R6.2.0(8),PCA114,R6.2.0(8)
PCA114,R5.9.0(1),PCA114,R5.9.0(1),PCA114,R5.9.0(1),PCA114,R5.9.0(1),PCA114,R5.9.0(1),PCA114,R5.9.0(1)
PCA116,R5.4.4(3),PCA116,R5.4.4(3),PCA116,R5.4.4(3),PCA116,R5.4.4(3),PCA116,R5.4.4(3),PCA116,R5.4.4(3)
PCA118,R6.2.0(1),PCA118,R6.2.0(1),PCA118,R6.2.0(1),PCA118,R6.2.0(1),PCA118,R6.2.0(1),PCA118,R6.2.0(1)
PCA119,R6.3.0(1),PCA119,R6.3.0(1),PCA119,R6.3.0(1),PCA119,R6.3.0(1),PCA119,R6.3.0(1),PCA119,R6.3.0(1)
PCA119,R6.4.0(1),PCA119,R6.4.0(1),PCA119,R6.4.0(1),PCA119,R6.4.0(1),PCA119,R6.4.0(1),PCA119,R6.4.0(1)
PCA119,R5.8.0(9),PCA119,R5.8.0(9),PCA119,R5.8.0(9),PCA119,R5.8.0(9),PCA119,R5.8.0(9),PCA119,R5.8.0(9)
PCA122,R6.1.0(1),PCA122,R6.1.0(1),PCA122,R6.1.0(1),PCA122,R6.1.0(1),PCA122,R6.1.0(1),PCA122,R6.1.0(1)
PCA122,R5.9.0(6),PCA122,R5.9.0(6),PCA122,R5.9.0(6),PCA122,R5.9.0(6),PCA122,R5.9.0(6),PCA122,R5.9.0(6)
PCA122,R4.1.0(2),PCA122,R4.1.0(2),PCA122,R4.1.0(2),PCA122,R4.1.0(2),PCA122,R4.1.0(2),PCA122,R4.1.0(2)
PCA125,R6.5.0(1),PCA125,R6.5.0(1),PCA125,R6.5.0(1),PCA125,R6.5.0(1),PCA125,R6.5.0(1),PCA125,R6.5.0(1)
PCA128,R6.4.0(1),PCA128,R6.4.0(1),PCA128,R6.4.0(1),PCA128,R6.4.0(1),PCA128,R6.4.0(1),PCA128,R6.4.0(1)
PCA128,R6.3.0(8),PCA128,R6.3.0(8),PCA128,R6.3.0(8),PCA128,R6.3.0(8),PCA128,R6.3.0(8),PCA128,R6.3.0(8)
PCA128,R7.3.0(4),PCA128,R7.3.0(4),PCA128,R7.3.0(4),PCA128,R7.3.0(4),PCA128,R7.3.0(4),PCA128,R7.3.0(4)
PCA130,R6.3.0(9),PCA130,R6.3.0(9),PCA130,R6.3.0(9),PCA130,R6.3.0(9),PCA130,R6.3.0(9),PCA130,R6.3.0(9)
PCA133,R6.4.0(7),PCA133,R6.4.0(7),PCA133,R6.4.0(7),PCA133,R6.4.0(7),PCA133,R6.4.0(7),PCA133,R6.4.0(7)
PCA133,R5.9.0(1),PCA133,R5.9.0(1),PCA133,R5.9.0(1),PCA133,R5.9.0(1),PCA133,R5.9.0(1),PCA133,R5.9.0(1)
PCA133,R4.1.0(1),PCA133,R4.1.0(1),PCA133,R4.1.0(1),PCA133,R4.1.0(1),PCA133,R4.1.0(1),PCA133,R4.1.0(1)
PCA137,R4.1.0(2),PCA137,R4.1.0(2),PCA137,R4.1.0(2),PCA137,R4.1.0(2),PCA137,R4.1.0(2),PCA137,R4.1.0(2)
PCA137,R5.5.0(9),PCA137,R5.5.0(9),PCA137,R5.5.0(9),PCA137,R5.5.0(9),PCA137,R5.5.0(9),PCA137,R5.5.0(9)
PCA137,R6.1.0(1),PCA137,R6.1.0(1),PCA137,R6.1.0(1),PCA137,R6.1.0(1),PCA137,R6.1.0(1),PCA137,R6.1.0(1)
PCA145,R5.8.0(9),PCA145,R5.8.0(9),PCA145,R5.8.0(9),PCA145,R5.8.0(9),PCA145,R5.8.0(9),PCA145,R5.8.0(9)
PCA146,R5.9.0(6),PCA146,R5.9.0(6),PCA146,R5.9.0(6),PCA146,R5.9.0(6),PCA146,R5.9.0(6),PCA146,R5.9.0(6)
PCA146,R7.3.0(4),PCA146,R7.3.0(4),PCA146,R7.3.0(4),PCA146,R7.3.0(4),PCA146,R7.3.0(4),PCA146,R7.3.0(4)
PCA146,R6.3.0(1),PCA146,R6.3.0(1),PCA146,R6.3.0(1),PCA146,R6.3.0(1),PCA146,R6.3.0(1),PCA146,R6.3.0(1)
PCA148,R5.8.0(1),PCA148,R5.8.0(1),PCA148,R5.8.0(1),PCA148,R5.8.0(1),PCA148,R5.8.0(1),PCA148,R5.8.0(1)
PCA148,R5.6.0(8),PCA148,R5.6.0(8),PCA148,R5.6.0(8),PCA148,R5.6.0(8),PCA148,R5.6.0(8),PCA148,R5.6.0(8)
PCA148,R6.3.0(1),PCA148,R6.3.0(1),PCA148,R6.3.0(1),PCA148,R6.3.0(1),PCA148,R6.3.0(1),PCA148,R6.3.0(1)
PCA152,R6.4.0(1),PCA152,R6.4.0(1),PCA152,R6.4.0(1),PCA152,R6.4.0(1),PCA152,R6.4.0(1),PCA152,R6.4.0(1)
PCA152,R5.4.4(3),PCA152,R5.4.4(3),PCA152,R5.4.4(3),PCA152,R5.4.4(3),PCA152,R5.4.4(3),PCA152,R5.4.4(3)
PCA152,R5.5.0(9),PCA152,R5.5.0(9),PCA152,R5.5.0(9),PCA152,R5.5.0(9),PCA152,R5.5.0(9),PCA152,R5.5.0(9)
PCA153,R5.8.0(1),PCA153,R5.8.0(1),PCA153,R5.8.0(1),PCA153,R5.8.0(1),PCA153,R5.8.0(1),PCA153,R5.8.0(1)
PCA153,R5.7.0(5),PCA153,R5.7.0(5),PCA153,R5.7.0(5),PCA153,R5.7.0(5),PCA153,R5.7.0(5),PCA153,R5.7.0(5)
PCA153,R5.4.4(3),PCA153,R5.4.4(3),PCA153,R5.4.4(3),PCA153,R5.4.4(3),PCA153,R5.4.4(3),PCA153,R5.4.4(3)
PCA155,R6.4.0(1),PCA155,R6.4.0(1),PCA155,R6.4.0(1),PCA155,R6.4.0(1),PCA155,R6.4.0(1),PCA155,R6.4.0(1)
PCA160,R5.9.0(1),PCA160,R5.9.0(1),PCA160,R5.9.0(1),PCA160,R5.9.0(1),PCA160,R5.9.0(1),PCA160,R5.9.0(1)
PCA160,R6.5.0(1),PCA160,R6.5.0(1),PCA160,R6.5.0(1),PCA160,R6.5.0(1),PCA160,R6.5.0(1),PCA160,R6.5.0(1)
PCA160,R4.1.0(1),PCA160,R4.1.0(1),PCA160,R4.1.0(1),PCA160,R4.1.0(1),PCA160,R4.1.0(1),PCA160,R4.1.0(1)
PCA165,R5.6.0(1),PCA165,R5.6.0(1),PCA165,R5.6.0(1),PCA165,R5.6.0(1),PCA165,R5.6.0(1),PCA165,R5.6.0(1)
PCA169,R6.2.0(1),PCA169,R6.2.0(1),PCA169,R6.2.0(1),PCA169,R6.2.0(1),PCA169,R6.2.0(1),PCA169,R6.2.0(1)
PCA169,R5.8.0(9),PCA169,R5.8.0(9),PCA169,R5.8.0(9),PCA169,R5.8.0(9),PCA169,R5.8.0(9),PCA169,R5.8.0(9)
PCA169,R5.4.4(3),PCA169,R5.4.4(3),PCA169,R5.4.4(3),PCA169,R5.4.4(3),PCA169,R5.4.4(3),PCA169,R5.4.4(3)
PCA171,R4.1.0(2),PCA171,R4.1.0(2),PCA171,R4.1.0(2),PCA171,R4.1.0(2),PCA171,R4.1.0(2),PCA171,R4.1.0(2)
PCA171,R5.8.0(9),PCA171,R5.8.0(9),PCA171,R5.8.0(9),PCA171,R5.8.0(9),PCA171,R5.8.0(9),PCA171,R5.8.0(9)
PCA171,R5.6.0(1),PCA171,R5.6.0(1),PCA171,R5.6.0(1),PCA171,R5.6.0(1),PCA171,R5.6.0(1),PCA171,R5.6.0(1)
PCA181,R6.5.0(1),PCA181,R6.5.0(1),PCA181,R6.5.0(1),PCA181,R6.5.0(1),PCA181,R6.5.0(1),PCA181,R6.5.0(1)
PCA181,R5.8.0(9),PCA181,R5.8.0(9),PCA181,R5.8.0(9),PCA181,R5.8.0(9),PCA181,R5.8.0(9),PCA181,R5.8.0(9)
PCA181,R6.2.0(1),PCA181,R6.2.0(1),PCA181,R6.2.0(1),PCA181,R6.2.0(1),PCA181,R6.2.0(1),PCA181,R6.2.0(1)
PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1)
PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1),PCA182,R5.5.0(1)
PCA182,R5.5.0(9),PCA182,R5.5.0(9),PCA182,R5.5.0(9),PCA182,R5.5.0(9),PCA182,R5.5.0(9),PCA182,R5.5.0(9)
PCA184,R6.5.0(1),PCA184,R6.5.0(1),PCA184,R6.5.0(1),PCA184,R6.5.0(1),PCA184,R6.5.0(1),PCA184,R6.5.0(1)
PCA185,R4.1.0(1),PCA185,R4.1.0(1),PCA185,R4.1.0(1),PCA185,R4.1.0(1),PCA185,R4.1.0(1),PCA185,R4.1.0(1)
PCA186,R6.5.0(1),PCA186,R6.5.0(1),PCA186,R6.5.0(1),PCA186,R6.5.0(1),PCA186,R6.5.0(1),PCA186,R6.5.0(1)
PCA186,R5.8.0(1),PCA186,R5.8.0(1),PCA186,R5.8.0(1),PCA186,R5.8.0(1),PCA186,R5.8.0(1),PCA186,R5.8.0(1)
PCA186,R6.2.0(8),PCA186,R6.2.0(8),PCA186,R6.2.0(8),PCA186,R6.2.0(8),PCA186,R6.2.0(8),PCA186,R6.2.0(8)
PCA187,R6.4.0(7),PCA187,R6.4.0(7),PCA187,R6.4.0(7),PCA187,R6.4.0(7),PCA187,R6.4.0(7),PCA187,R6.4.0(7)
PCA187,R6.2.0(8),PCA187,R6.2.0(8),PCA187,R6.2.0(8),PCA187,R6.2.0(8),PCA187,R6.2.0(8),PCA187,R6.2.0(8)
PCA187,R5.4.4(3),PCA187,R5.4.4(3),PCA187,R5.4.4(3),PCA187,R5.4.4(3),PCA187,R5.4.4(3),PCA187,R5.4.4(3)
PCA188,R6.3.0(1),PCA188,R6.3.0(1),PCA188,R6.3.0(1),PCA188,R6.3.0(1),PCA188,R6.3.0(1),PCA188,R6.3.0(1)
PCA188,R6.4.0(7),PCA188,R6.4.0(7),PCA188,R6.4.0(7),PCA188,R6.4.0(7),PCA188,R6.4.0(7),PCA188,R6.4.0(7)
PCA188,R7.3.0(4),PCA188,R7.3.0(4),PCA188,R7.3.0(4),PCA188,R7.3.0(4),PCA188,R7.3.0(4),PCA188,R7.3.0(4)
PCA190,R5.1.0(1),PCA190,R5.1.0(1),PCA190,R5.1.0(1),PCA190,R5.1.0(1),PCA190,R5.1.0(1),PCA190,R5.1.0(1)
PCA191,R6.5.0(1),PCA191,R6.5.0(1),PCA191,R6.5.0(1),PCA191,R6.5.0(1),PCA191,R6.5.0(1),PCA191,R6.5.0(1)
PCA194,R4.1.0(1),PCA194,R4.1.0(1),PCA194,R4.1.0(1),PCA194,R4.1.0(1),PCA194,R4.1.0(1),PCA194,R4.1.0(1)
PCA194,R6.5.0(1),PCA194,R6.5.0(1),PCA194,R6.5.0(1),PCA194,R6.5.0(1),PCA194,R6.5.0(1),PCA194,R6.5.0(1)
PCA194,R5.7.0(1),PCA194,R5.7.0(1),PCA194,R5.7.0(1),PCA194,R5.7.0(1),PCA194,R5.7.0(1),PCA194,R5.7.0(1)
PCA195,R4.1.0(2),PCA195,R4.1.0(2),PCA195,R4.1.0(2),PCA195,R4.1.0(2),PCA195,R4.1.0(2),PCA195,R4.1.0(2)
PCA197,R6.3.0(8),PCA197,R6.3.0(8),PCA197,R6.3.0(8),PCA197,R6.3.0(8),PCA197,R6.3.0(8),PCA197,R6.3.0(8)
PCA197,R5.6.0(1),PCA197,R5.6.0(1),PCA197,R5.6.0(1),PCA197,R5.6.0(1),PCA197,R5.6.0(1),PCA197,R5.6.0(1)
PCA197,R4.1.0(2),PCA197,R4.1.0(2),PCA197,R4.1.0(2),PCA197,R4.1.0(2),PCA197,R4.1.0(2),PCA197,R4.1.0(2)
PCA198,R6.5.0(1),PCA198,R6.5.0(1),PCA198,R6.5.0(1),PCA198,R6.5.0(1),PCA198,R6.5.0(1),PCA198,R6.5.0(1)
PCA198,R5.5.0(9),PCA198,R5.5.0(9),PCA198,R5.5.0(9),PCA198,R5.5.0(9),PCA198,R5.5.0(9),PCA198,R5.5.0(9)
