BID,AID
BID169,AID1603
BID170,AID3843
BID170,AID826
BID171,AID5161
BID172,AID5027
BID172,AID724
BID173,AID1090
BID173,AID128
BID174,AID2812
BID174,AID4655
BID175,AID3892
BID176,AID1706
BID177,AID3029
BID178,AID3668
BID179,AID5533
BID180,AID623
BID181,AID3390
BID182,AID4287
BID183,AID5054
BID184,AID4985
BID184,AID5959
BID185,AID290
BID185,AID5536
BID186,AID1814
BID186,AID923
BID187,AID2148
BID188,AID57
BID189,AID2805
BID189,AID3045
BID190,AID747
BID191,AID3590
BID191,AID679
BID192,AID5693
BID193,AID2037
BID194,AID3742
BID194,AID4783
BID195,AID1304
BID195,AID2377
BID196,AID3009
BID197,AID5865
BID198,AID5110
BID198,AID5425
BID199,AID2557
BID200,AID1197
BID200,AID5506
BID201,AID2633
BID201,AID4334
BID202,AID4779
BID203,AID2705
BID203,AID4576
BID204,AID3801
BID204,AID5963
BID205,AID1919
BID205,AID3129
BID206,AID3780
BID206,AID4136
BID207,AID3818
BID208,AID3622
BID209,AID1366
BID209,AID2320
BID210,AID2048
BID210,AID4974
BID211,AID2298
BID211,AID510
BID212,AID4434
BID213,AID760
BID214,AID1760
BID214,AID4169
BID215,AID1808
BID215,AID4752
BID216,AID416
BID217,AID3925
BID218,AID2504
BID219,AID1845
BID219,AID2325
BID220,AID9
BID221,AID237
BID221,AID4698
BID222,AID1847
BID222,AID67
BID223,AID2272
BID224,AID4137
BID225,AID1440
BID226,AID2381
BID226,AID3064
BID227,AID1912
BID228,AID3854
BID228,AID5312
BID229,AID4184
BID230,AID1486
BID231,AID1875
BID231,AID293
BID232,AID1095
BID232,AID3261
BID233,AID3610
BID233,AID5942
BID234,AID1514
BID235,AID282
BID235,AID3740
BID236,AID1273
BID236,AID2377
BID237,AID1491
BID238,AID1442
BID238,AID2878
BID239,AID280
BID239,AID906
BID240,AID3382
BID240,AID648
BID241,AID545
BID242,AID3740
BID243,AID2076
BID244,AID3727
BID244,AID4819
BID245,AID5210
BID246,AID960
BID247,AID1092
BID248,AID356
BID248,AID5292
BID249,AID4166
BID249,AID5917
BID250,AID3436
BID250,AID5878
BID251,AID1066
BID252,AID1558
BID253,AID1411
BID253,AID3836
BID254,AID3642
BID254,AID3867
BID255,AID2501
BID255,AID3712
BID256,AID2699
BID257,AID2190
BID258,AID2468
BID258,AID4173
BID259,AID1704
BID260,AID3966
BID261,AID4723
BID262,AID5890
BID263,AID121
BID263,AID1244
BID264,AID1242
BID265,AID3662
BID265,AID5010
BID266,AID5871
BID267,AID3732
BID268,AID85
BID269,AID2618
BID270,AID4688
BID271,AID5462
BID271,AID659
BID272,AID478
BID273,AID5209
BID274,AID3787
BID275,AID2706
BID275,AID4248
BID276,AID3077
BID276,AID5416
BID277,AID5973
BID278,AID1153
BID278,AID5321
BID279,AID1224
BID280,AID2985
BID280,AID418
BID281,AID4470
BID282,AID3632
BID282,AID5100
BID283,AID3613
BID284,AID3016
BID284,AID3701
BID285,AID4747
BID286,AID1988
BID286,AID2875
BID287,AID3196
BID287,AID5182
BID288,AID2150
BID288,AID3999
BID289,AID1274
BID290,AID1116
BID290,AID3356
BID291,AID2872
BID291,AID5911
BID292,AID1727
BID292,AID3049
BID293,AID3629
BID293,AID959
BID294,AID259
BID294,AID2875
BID295,AID2952
BID295,AID307
BID296,AID1950
BID296,AID5632
BID297,AID720
BID298,AID3582
BID298,AID560
BID299,AID628
BID300,AID174
BID301,AID3914
BID302,AID1765
BID303,AID3407
BID303,AID4046
BID304,AID3532
BID305,AID3038
BID305,AID4131
BID306,AID1763
BID306,AID2027
BID307,AID4112
BID307,AID5912
BID308,AID5310
BID309,AID5171
BID310,AID1993
BID311,AID2368
BID311,AID2473
BID312,AID1920
BID312,AID398
BID313,AID836
BID314,AID5534
BID315,AID1859
BID316,AID1145
BID316,AID2568
BID317,AID1797
BID318,AID4719
BID318,AID90
BID319,AID1243
BID320,AID113
BID320,AID4147
BID321,AID264
BID321,AID5872
BID322,AID5478
BID323,AID2350
BID324,AID2309
BID324,AID5724
BID325,AID838
BID326,AID1399
BID326,AID4629
BID327,AID1810
BID328,AID2393
BID328,AID4739
BID329,AID5503
BID329,AID573
BID330,AID3374
BID331,AID1409
BID331,AID5355
BID332,AID4724
BID332,AID5742
BID333,AID2435
BID333,AID5274
BID334,AID1488
BID335,AID2405
BID335,AID572
BID336,AID39
BID337,AID1494
BID337,AID2873
BID338,AID1444
BID338,AID840
BID339,AID2046
BID339,AID5444
BID340,AID3402
BID341,AID3695
BID342,AID3099
BID342,AID4828
BID343,AID3761
BID343,AID5607
BID344,AID1904
BID344,AID304
BID345,AID800
BID346,AID4952
BID347,AID4283
BID347,AID5507
BID348,AID1130
BID349,AID2159
BID349,AID4812
BID350,AID1265
BID350,AID1763
BID351,AID3502
BID351,AID810
BID352,AID192
BID353,AID2669
BID353,AID5920
BID354,AID3233
BID355,AID1550
BID356,AID132
BID356,AID2059
BID357,AID1031
BID358,AID322
BID358,AID5182
BID359,AID1336
BID359,AID1533
BID360,AID4659
BID360,AID5564
BID361,AID1674
BID362,AID1328
BID363,AID4301
BID364,AID1957
BID364,AID4282
BID365,AID1249
BID365,AID5167
BID366,AID1688
BID366,AID3611
BID367,AID1655
BID367,AID4291
BID368,AID4963
BID369,AID3008
BID369,AID5805
BID370,AID5491
BID371,AID4504
BID372,AID5180
BID372,AID5823
BID373,AID1046
BID374,AID359
BID374,AID765
BID375,AID549
BID376,AID1509
BID376,AID4499
BID377,AID4956
BID378,AID3381
BID378,AID5346
BID379,AID2305
BID379,AID4237
BID380,AID4571
BID381,AID447
BID382,AID1996
BID382,AID873
BID383,AID4862
BID384,AID5730
BID385,AID4585
BID386,AID114
BID387,AID2244
BID388,AID1279
BID388,AID2729
BID389,AID2115
BID389,AID3473
BID390,AID149
BID390,AID2198
BID391,AID4629
BID391,AID5443
BID392,AID5763
BID393,AID796
BID394,AID1629
BID394,AID3187
BID395,AID2359
BID396,AID1319
BID396,AID559
BID397,AID2272
BID397,AID5272
BID398,AID4600
BID399,AID4302
BID399,AID4909
BID400,AID4572
BID401,AID2694
BID401,AID3619
BID402,AID1244
BID402,AID2401
BID403,AID3976
BID404,AID4640
BID404,AID711
BID405,AID2398
BID405,AID2419
BID406,AID2600
BID406,AID828
BID407,AID4437
BID407,AID5103
BID408,AID2462
BID409,AID2322
BID410,AID399
BID411,AID5712
BID412,AID5760
BID413,AID1226
BID413,AID4995
BID414,AID2384
BID414,AID5427
BID415,AID2452
BID416,AID1677
BID416,AID4405
BID417,AID4795
BID418,AID3396
BID418,AID5081
BID419,AID2578
BID419,AID3943
BID420,AID1371
BID421,AID245
BID421,AID2550
BID422,AID38
BID423,AID3774
BID423,AID5443
BID424,AID1368
BID424,AID4921
BID425,AID166
BID426,AID5043
BID427,AID2525
BID428,AID3133
BID428,AID5823
BID429,AID5530
BID429,AID740
BID430,AID3340
BID430,AID5363
BID431,AID1637
BID431,AID4754
BID432,AID2720
BID432,AID5267
BID433,AID5609
BID433,AID5766
BID434,AID3043
BID434,AID4440
BID435,AID3649
BID435,AID4908
BID436,AID4007
BID436,AID5179
BID437,AID487
BID438,AID3973
BID438,AID933
BID439,AID4619
BID440,AID361
BID440,AID4875
BID441,AID3279
BID442,AID2759
BID442,AID893
BID443,AID385
BID444,AID1439
BID445,AID2505
BID446,AID3601
BID447,AID4768
BID447,AID700
BID448,AID1182
BID448,AID5720
BID449,AID2609
BID450,AID3348
BID451,AID2121
BID451,AID5503
BID452,AID5512
BID452,AID557
BID453,AID4368
BID453,AID642
BID454,AID1916
BID455,AID1811
BID456,AID4584
BID457,AID3449
BID458,AID1023
BID458,AID5945
BID459,AID967
BID460,AID1867
BID460,AID3660
BID461,AID4861
BID462,AID2614
BID462,AID552
BID463,AID156
BID463,AID682
BID464,AID5035
BID464,AID962
BID465,AID3399
BID466,AID3320
BID466,AID3636
BID467,AID3698
BID467,AID4818
BID468,AID2036
BID469,AID2287
BID469,AID5244
BID470,AID5626
BID471,AID94
BID472,AID5049
BID473,AID527
BID474,AID94
BID475,AID2227
BID475,AID2648
BID476,AID5215
BID477,AID3161
BID477,AID4162
BID478,AID3838
BID478,AID5520
BID479,AID1620
BID480,AID3204
BID481,AID3861
BID482,AID3060
BID482,AID5154
BID483,AID2455
BID483,AID5384
BID484,AID314
BID484,AID3345
BID485,AID919
BID486,AID314
BID486,AID3815
BID487,AID2460
BID487,AID4508
BID488,AID2450
BID489,AID1602
BID490,AID1916
BID490,AID5749
BID491,AID2656
BID492,AID4352
BID492,AID905
BID493,AID2737
BID494,AID4577
BID495,AID3250
BID496,AID2704
BID496,AID4648
BID497,AID1140
BID497,AID285
BID498,AID5267
BID498,AID5364
BID499,AID5811
BID500,AID3854
BID501,AID345
BID502,AID2271
BID502,AID3359
BID503,AID2928
BID504,AID5613
BID504,AID5919
BID505,AID2459
BID505,AID3121
BID506,AID2624
BID506,AID4636
BID507,AID1315
BID507,AID4544
BID508,AID3211
BID508,AID4095
BID509,AID1751
BID509,AID3628
BID510,AID3108
BID511,AID1326
BID512,AID1427
BID512,AID3132
BID513,AID2040
BID514,AID2170
BID514,AID3474
BID515,AID2050
BID516,AID1580
BID517,AID3833
BID517,AID5884
BID518,AID2845
BID518,AID4382
BID519,AID4495
BID519,AID5431
BID520,AID3740
BID521,AID1861
BID521,AID3107
BID522,AID5513
BID523,AID1566
BID523,AID5089
BID524,AID3590
BID525,AID5872
BID525,AID617
BID526,AID1739
BID527,AID3691
BID528,AID2856
BID529,AID1907
BID530,AID4158
BID530,AID5201
BID531,AID3200
BID532,AID126
BID532,AID1434
BID533,AID3948
BID533,AID4429
BID534,AID1464
BID534,AID3646
BID535,AID2132
BID536,AID5478
BID537,AID2854
BID537,AID3260
BID538,AID1334
BID538,AID5021
BID539,AID4225
BID540,AID5412
BID540,AID5756
BID541,AID1862
BID542,AID1539
BID543,AID1957
BID543,AID2306
BID544,AID2090
BID544,AID414
BID545,AID2356
BID545,AID2387
BID546,AID5285
BID547,AID4983
BID547,AID534
BID548,AID3849
BID548,AID5358
BID549,AID3004
BID549,AID5372
BID550,AID4269
BID551,AID866
BID552,AID3077
BID552,AID4680
BID553,AID2439
BID553,AID4118
BID554,AID3587
BID554,AID635
BID555,AID2314
BID555,AID5515
BID556,AID1513
BID557,AID4206
BID557,AID618
BID558,AID1303
BID558,AID994
BID559,AID1138
BID559,AID375
BID560,AID4915
BID560,AID5226
BID561,AID1243
BID561,AID3649
BID562,AID4802
BID563,AID3354
BID563,AID3997
BID564,AID1702
BID564,AID2174
BID565,AID2740
BID565,AID3941
BID566,AID2421
BID567,AID1294
BID568,AID5201
BID569,AID2318
BID570,AID1369
BID571,AID2266
BID572,AID2852
BID573,AID3539
BID573,AID5194
BID574,AID1297
BID574,AID676
BID575,AID3662
BID576,AID5185
BID576,AID5504
BID577,AID4825
BID578,AID2557
BID579,AID5123
BID579,AID5978
BID580,AID4348
BID580,AID655
BID581,AID346
BID581,AID5862
BID582,AID1753
BID582,AID5915
BID583,AID3067
BID584,AID1610
BID584,AID5131
BID585,AID2577
BID586,AID114
BID587,AID1547
BID588,AID3309
BID589,AID2458
BID590,AID2210
BID591,AID1439
BID592,AID3623
BID592,AID3783
BID593,AID3582
BID594,AID3708
BID594,AID4252
BID595,AID3507
BID596,AID5079
BID597,AID2299
BID597,AID4800
BID598,AID2763
BID598,AID3988
BID599,AID1413
BID599,AID5534
BID600,AID4452
BID600,AID706
BID601,AID3296
BID602,AID3195
BID602,AID5580
BID603,AID5835
BID604,AID1158
BID604,AID3170
BID605,AID1270
BID605,AID4386
BID606,AID3490
BID606,AID4199
BID607,AID1396
BID607,AID5688
BID608,AID2836
BID609,AID2279
BID609,AID2348
BID610,AID5269
BID610,AID865
BID611,AID1608
BID612,AID1751
BID612,AID5857
BID613,AID3871
BID613,AID5765
BID614,AID1104
BID615,AID4282
BID616,AID3700
BID617,AID881
BID618,AID4438
BID619,AID515
BID620,AID4903
BID621,AID5372
BID622,AID4474
BID623,AID2091
BID623,AID5210
BID624,AID203
BID624,AID2720
BID625,AID3453
BID625,AID926
BID626,AID4843
BID627,AID3605
BID627,AID4819
BID628,AID2727
BID629,AID3200
BID630,AID2807
BID630,AID5923
BID631,AID4824
BID632,AID1772
BID632,AID3442
BID633,AID1196
BID633,AID1483
BID634,AID5913
BID635,AID3430
BID636,AID1370
BID636,AID4826
BID637,AID2806
BID638,AID2992
BID639,AID3815
BID640,AID2300
BID640,AID5627
BID641,AID2242
BID641,AID656
BID642,AID2037
BID643,AID879
BID644,AID2809
BID645,AID3657
BID646,AID475
BID647,AID1356
BID647,AID3254
BID648,AID5313
BID649,AID978
BID650,AID2053
BID650,AID2926
BID651,AID2647
BID652,AID4434
BID653,AID2272
BID654,AID5890
BID655,AID4013
BID655,AID5513
BID656,AID1532
BID656,AID3970
BID657,AID1873
BID657,AID940
BID658,AID5274
BID659,AID1639
BID659,AID4124
BID660,AID104
BID661,AID5145
BID661,AID784
BID662,AID2017
BID663,AID3092
BID664,AID5867
BID665,AID413
BID665,AID967
BID666,AID3296
BID666,AID3997
BID667,AID930
BID668,AID2483
BID668,AID3599
BID669,AID1990
BID670,AID3568
BID670,AID5175
BID671,AID3056
BID671,AID5814
BID672,AID2412
BID673,AID728
BID674,AID1323
BID674,AID4185
BID675,AID5295
BID676,AID3665
BID677,AID2113
BID677,AID4402
BID678,AID3400
BID679,AID1253
BID680,AID3752
BID681,AID2871
BID681,AID5442
BID682,AID88
BID683,AID249
BID684,AID3734
BID684,AID5256
BID685,AID1385
BID685,AID4197
BID686,AID1533
BID687,AID2474
BID688,AID5336
BID688,AID5697
BID689,AID2125
BID690,AID1186
BID690,AID4022
BID691,AID2689
BID692,AID1396
BID692,AID2257
BID693,AID5290
BID694,AID4426
BID695,AID2129
BID695,AID843
BID696,AID2847
BID696,AID5606
BID697,AID1330
BID698,AID1249
BID698,AID1692
BID699,AID331
BID700,AID772
BID701,AID1224
BID702,AID3121
BID703,AID4070
BID703,AID5947
BID704,AID749
BID705,AID2164
BID705,AID3759
BID706,AID2274
BID707,AID1078
BID707,AID4465
BID708,AID1742
BID709,AID2567
BID710,AID169
BID710,AID5515
BID711,AID2317
BID711,AID271
BID712,AID5963
BID713,AID3512
BID714,AID5631
BID715,AID1536
BID715,AID5278
BID716,AID204
BID716,AID5829
BID717,AID2682
BID718,AID3759
BID719,AID27
BID720,AID5732
BID720,AID5919
BID721,AID5555
BID722,AID4796
BID722,AID5456
BID723,AID3389
BID724,AID854
BID725,AID1293
BID726,AID5519
BID727,AID1027
BID728,AID5243
BID728,AID5396
BID729,AID971
BID730,AID1124
BID731,AID2444
BID732,AID2965
BID733,AID2200
BID734,AID5484
BID735,AID1168
BID736,AID5079
BID736,AID5174
BID737,AID5811
BID738,AID749
BID739,AID3866
BID740,AID2713
BID740,AID3324
BID741,AID2415
BID741,AID3247
BID742,AID3390
BID742,AID4325
BID743,AID5115
BID744,AID3742
BID744,AID4794
BID745,AID1916
BID746,AID2160
BID747,AID1446
BID748,AID1071
BID749,AID5261
BID750,AID4682
BID751,AID188
BID752,AID2864
BID752,AID3213
BID753,AID5535
BID754,AID160
BID754,AID5600
BID755,AID4395
BID756,AID5108
BID757,AID900
BID758,AID5227
BID759,AID2542
BID760,AID1295
BID761,AID1175
BID761,AID5361
BID762,AID1051
BID762,AID4135
BID763,AID5570
BID764,AID4365
BID765,AID230
BID766,AID2345
BID767,AID2887
BID768,AID1968
BID768,AID2489
BID769,AID5906
BID770,AID3163
BID770,AID5193
BID771,AID1120
BID771,AID4515
BID772,AID3545
BID772,AID3994
BID773,AID5015
BID774,AID1084
BID774,AID2553
BID775,AID5213
BID776,AID3284
BID777,AID1635
BID778,AID467
BID779,AID367
BID780,AID2910
BID780,AID4350
BID781,AID3147
BID782,AID1101
BID783,AID2296
BID784,AID3656
BID785,AID130
BID785,AID1421
BID786,AID2437
BID787,AID2034
BID787,AID5276
BID788,AID2891
BID789,AID1157
BID790,AID4573
BID791,AID1895
BID791,AID4275
BID792,AID168
BID792,AID5440
BID793,AID5929
BID794,AID6
BID794,AID620
BID795,AID3660
BID796,AID3718
BID796,AID4749
BID797,AID418
BID797,AID4755
BID798,AID249
BID798,AID491
BID799,AID1553
BID800,AID2393
BID801,AID2097
BID802,AID2550
BID802,AID2889
BID803,AID4520
BID804,AID4864
BID804,AID5948
BID805,AID2937
BID805,AID5285
BID806,AID1136
BID806,AID1555
BID807,AID2474
BID808,AID3601
BID808,AID5409
BID809,AID2357
BID810,AID4929
BID810,AID5246
BID811,AID4666
BID811,AID5359
BID812,AID3716
BID812,AID5694
BID813,AID3999
BID813,AID5303
BID814,AID4980
BID815,AID2234
BID815,AID297
BID816,AID921
BID817,AID2175
BID818,AID899
BID819,AID1570
BID820,AID5858
BID820,AID916
BID821,AID2788
BID821,AID4245
BID822,AID88
BID823,AID672
BID824,AID313
BID825,AID4745
BID825,AID4949
BID826,AID2411
BID826,AID4136
BID827,AID4461
BID827,AID4495
BID828,AID3401
BID829,AID2481
BID830,AID2785
BID831,AID1647
BID832,AID5268
BID833,AID3014
BID834,AID5439
BID835,AID1363
BID836,AID5883
BID837,AID1404
BID837,AID1896
BID838,AID3130
BID838,AID3487
BID839,AID1448
BID839,AID5363
BID840,AID1533
BID840,AID3317
BID841,AID2538
BID842,AID1880
BID842,AID2239
BID843,AID227
BID843,AID5554
BID844,AID4133
BID845,AID3354
BID846,AID4886
BID846,AID5744
BID847,AID2583
BID848,AID1069
BID848,AID886
BID849,AID5983
BID850,AID1718
BID850,AID2260
BID851,AID2211
BID852,AID3216
BID853,AID2381
BID853,AID5050
BID854,AID1234
BID854,AID3937
BID855,AID3480
BID855,AID5002
BID856,AID1997
BID856,AID5214
BID857,AID3157
BID857,AID4332
BID858,AID3433
BID859,AID3247
BID859,AID4965
BID860,AID3627
BID860,AID4377
BID861,AID5408
BID861,AID5657
BID862,AID1422
BID862,AID4573
BID863,AID560
BID864,AID1154
BID864,AID4996
BID865,AID2875
BID865,AID4242
BID866,AID2251
BID867,AID5547
BID868,AID1643
BID868,AID206
BID869,AID5427
BID870,AID2304
BID870,AID773
BID871,AID3821
BID872,AID2998
BID872,AID4284
BID873,AID1779
BID873,AID5371
BID874,AID4117
BID875,AID4302
BID875,AID5166
BID876,AID2325
BID877,AID1821
BID877,AID5696
BID878,AID1549
BID878,AID4590
BID879,AID2156
BID879,AID733
BID880,AID3396
BID881,AID1220
BID881,AID749
BID882,AID3569
BID883,AID767
BID884,AID2116
BID884,AID5302
BID885,AID2248
BID886,AID3611
BID886,AID487
BID887,AID2549
BID888,AID3809
BID888,AID434
BID889,AID3947
BID890,AID3813
BID890,AID4728
BID891,AID5247
BID892,AID2442
BID893,AID3590
BID894,AID4379
BID894,AID5809
BID895,AID2416
BID895,AID2761
BID896,AID2240
BID897,AID4599
BID898,AID5170
BID899,AID2894
BID899,AID3757
BID900,AID1809
BID900,AID2392
BID901,AID1185
BID901,AID4112
BID902,AID338
BID903,AID1560
BID904,AID325
BID904,AID568
BID905,AID2254
BID905,AID4453
BID906,AID1171
BID906,AID1787
BID907,AID2584
BID908,AID5334
BID908,AID795
BID909,AID4692
BID910,AID1038
BID910,AID3280
BID911,AID4828
BID911,AID5610
BID912,AID3932
BID912,AID718
BID913,AID827
BID914,AID664
BID915,AID1100
BID915,AID4408
BID916,AID4504
BID917,AID2396
BID917,AID962
BID918,AID5433
BID918,AID774
BID919,AID1990
BID920,AID2567
BID920,AID4824
BID921,AID2896
BID921,AID4757
BID922,AID1786
BID922,AID788
BID923,AID2359
BID924,AID2779
BID925,AID1624
BID925,AID1711
BID926,AID3543
BID927,AID3906
BID928,AID4995
BID929,AID4178
BID929,AID5389
BID930,AID3627
BID930,AID4167
BID931,AID4917
BID931,AID695
BID932,AID2409
BID932,AID4708
BID933,AID1246
BID933,AID4564
BID934,AID3570
BID935,AID688
BID936,AID3160
BID937,AID661
BID938,AID461
BID939,AID267
BID939,AID921
BID940,AID1165
BID941,AID1418
BID941,AID3594
BID942,AID5862
BID943,AID300
BID944,AID3153
BID945,AID1240
BID945,AID993
BID946,AID1245
BID946,AID3326
BID947,AID5513
BID948,AID5785
BID949,AID2480
BID950,AID345
BID950,AID5493
BID951,AID3235
BID951,AID4974
BID952,AID686
BID952,AID851
BID953,AID3478
BID953,AID510
BID954,AID4519
BID954,AID4716
BID955,AID2269
BID955,AID2774
BID956,AID5490
BID956,AID5837
BID957,AID2052
BID958,AID5603
BID959,AID2251
BID959,AID2558
BID960,AID5618
BID961,AID1661
BID962,AID2907
BID962,AID853
BID963,AID2695
BID963,AID5355
BID964,AID4976
BID964,AID514
BID965,AID2239
BID965,AID622
BID966,AID1490
BID967,AID5202
BID968,AID1968
BID968,AID4795
BID969,AID1198
BID970,AID100
BID970,AID4250
BID971,AID4818
BID972,AID2116
BID972,AID2583
BID973,AID5409
BID974,AID3363
BID975,AID2069
BID975,AID3755
BID976,AID3979
BID976,AID472
BID977,AID3152
BID977,AID5590
BID978,AID4567
BID979,AID3329
BID979,AID5859
BID980,AID1995
BID981,AID4333
BID982,AID1703
BID983,AID2369
BID984,AID4702
BID985,AID2151
BID985,AID879
BID986,AID89
BID987,AID2351
BID987,AID2464
BID988,AID3182
BID989,AID4695
BID990,AID1655
BID990,AID205
BID991,AID4947
BID991,AID509
BID992,AID1330
BID992,AID1841
BID993,AID120
BID994,AID5388
BID995,AID239
BID996,AID2945
BID997,AID3522
BID997,AID3709
BID998,AID4634
BID999,AID3946
BID999,AID4066
BID1000,AID2819
BID1000,AID3882
BID1001,AID3441
BID1001,AID932
BID1002,AID5054
BID1002,AID905
BID1003,AID3394
BID1004,AID1149
BID1004,AID4836
BID1005,AID2274
BID1005,AID3668
BID1006,AID1268
BID1006,AID5021
BID1007,AID5258
BID1008,AID4448
BID1009,AID2108
BID1009,AID5500
BID1010,AID372
BID1010,AID3725
BID1011,AID4670
BID1011,AID5456
BID1012,AID1682
BID1012,AID3304
BID1013,AID1233
BID1013,AID4899
BID1014,AID5904
BID1015,AID1781
BID1016,AID397
BID1016,AID4079
BID1017,AID3778
BID1018,AID938
BID1019,AID1338
BID1019,AID2638
BID1020,AID1622
BID1020,AID4303
BID1021,AID1122
BID1022,AID4063
BID1022,AID4301
BID1023,AID1600
BID1024,AID3425
BID1025,AID2876
BID1026,AID5790
BID1026,AID5962
BID1027,AID2190
BID1027,AID3717
BID1028,AID1299
BID1029,AID1953
BID1029,AID936
BID1030,AID5714
BID1031,AID3021
BID1031,AID3775
BID1032,AID2407
BID1033,AID3759
BID1034,AID1081
BID1035,AID5610
BID1036,AID2801
BID1036,AID3047
BID1037,AID2369
BID1038,AID1401
BID1038,AID3737
BID1039,AID1649
BID1039,AID3756
BID1040,AID1972
BID1040,AID4914
BID1041,AID5715
BID1042,AID77
BID1042,AID819
BID1043,AID3025
BID1043,AID5751
BID1044,AID5478
BID1044,AID818
BID1045,AID2176
BID1045,AID3118
BID1046,AID2467
BID1046,AID403
BID1047,AID1887
BID1047,AID449
BID1048,AID2248
BID1049,AID513
BID1050,AID1237
BID1050,AID1600
