"CLSID","PPLID"
"clsid6694","pplid4915"
"clsid4532","pplid1408"
"clsid8370","pplid1408"
"clsid8411","pplid1846"
"clsid8411","pplid2936"
"clsid8411","pplid884"
"clsid9345","pplid1846"
"clsid9345","pplid2936"
"clsid9345","pplid884"
"clsid10991","pplid3508"
"clsid10991","pplid3802"
"clsid10991","pplid484"
"clsid5011","pplid3508"
"clsid5011","pplid3802"
"clsid5011","pplid484"
"clsid12868","pplid1097"
"clsid12868","pplid3337"
"clsid10936","pplid3183"
"clsid10936","pplid4903"
"clsid7340","pplid3183"
"clsid7340","pplid4903"
"clsid2585","pplid3263"
"clsid2585","pplid3393"
"clsid2585","pplid812"
"clsid6249","pplid3263"
"clsid6249","pplid3393"
"clsid6249","pplid812"
"clsid8899","pplid3263"
"clsid8899","pplid3393"
"clsid8899","pplid812"
"clsid5785","pplid3390"
"clsid5785","pplid3938"
"clsid9425","pplid3390"
"clsid9425","pplid3938"
"clsid9737","pplid3390"
"clsid9737","pplid3938"
"clsid12783","pplid2072"
"clsid12783","pplid2843"
"clsid12783","pplid4425"
"clsid11635","pplid190"
"clsid11635","pplid4658"
"clsid2336","pplid190"
"clsid2336","pplid4658"
"clsid12732","pplid1197"
"clsid12732","pplid1410"
"clsid12732","pplid4421"
"clsid12732","pplid4911"
"clsid12858","pplid1197"
"clsid12858","pplid1410"
"clsid12858","pplid4421"
"clsid12858","pplid4911"
"clsid7867","pplid1197"
"clsid7867","pplid1410"
"clsid7867","pplid4421"
"clsid7867","pplid4911"
"clsid8737","pplid1197"
"clsid8737","pplid1410"
"clsid8737","pplid4421"
"clsid8737","pplid4911"
"clsid8888","pplid1197"
"clsid8888","pplid1410"
"clsid8888","pplid4421"
"clsid8888","pplid4911"
"clsid8496","pplid1610"
"clsid8496","pplid3369"
"clsid8496","pplid8"
"clsid9240","pplid1250"
"clsid9240","pplid1759"
"clsid9240","pplid2536"
"clsid9240","pplid3231"
"clsid4139","pplid3414"
"clsid9980","pplid3414"
"clsid10930","pplid1048"
"clsid10930","pplid2091"
"clsid10930","pplid2362"
"clsid10930","pplid2707"
"clsid10930","pplid4238"
"clsid5928","pplid1157"
"clsid5928","pplid4852"
"clsid5928","pplid4873"
"clsid2034","pplid2783"
"clsid2034","pplid4848"
"clsid3256","pplid2783"
"clsid3256","pplid4848"
"clsid2013","pplid3163"
"clsid2013","pplid3552"
"clsid6026","pplid3163"
"clsid6026","pplid3552"
"clsid1074","pplid4401"
"clsid12253","pplid4401"
"clsid3708","pplid4401"
"clsid3788","pplid4401"
"clsid1698","pplid763"
"clsid1981","pplid229"
"clsid2295","pplid1165"
"clsid2295","pplid178"
"clsid2295","pplid2376"
"clsid2295","pplid4463"
"clsid2813","pplid1308"
"clsid2813","pplid1831"
"clsid2813","pplid4065"
"clsid2813","pplid88"
"clsid5658","pplid1308"
"clsid5658","pplid1831"
"clsid5658","pplid4065"
"clsid5658","pplid88"
"clsid1890","pplid2145"
"clsid6927","pplid2145"
"clsid12082","pplid1374"
"clsid12082","pplid4979"
"clsid7926","pplid1374"
"clsid7926","pplid4979"
"clsid1029","pplid1624"
"clsid1029","pplid1893"
"clsid1029","pplid4423"
"clsid1029","pplid838"
"clsid1579","pplid1624"
"clsid1579","pplid1893"
"clsid1579","pplid4423"
"clsid1579","pplid838"
"clsid7520","pplid475"
"clsid609","pplid3170"
"clsid609","pplid4185"
"clsid609","pplid470"
"clsid8295","pplid2663"
"clsid8295","pplid613"
"clsid9906","pplid2663"
"clsid9906","pplid613"
"clsid12759","pplid972"
"clsid3614","pplid972"
"clsid640","pplid4291"
"clsid9116","pplid4291"
"clsid2873","pplid1962"
"clsid2873","pplid2302"
"clsid2873","pplid3828"
"clsid6301","pplid1962"
"clsid6301","pplid2302"
"clsid6301","pplid3828"
"clsid6414","pplid1962"
"clsid6414","pplid2302"
"clsid6414","pplid3828"
"clsid8879","pplid2824"
"clsid8879","pplid3663"
"clsid8879","pplid4400"
"clsid914","pplid2824"
"clsid914","pplid3663"
"clsid914","pplid4400"
"clsid3863","pplid1933"
"clsid3863","pplid2392"
"clsid3863","pplid4027"
"clsid3863","pplid545"
"clsid7708","pplid1545"
"clsid7708","pplid3836"
"clsid9720","pplid1545"
"clsid9720","pplid3836"
"clsid2865","pplid1250"
"clsid2865","pplid1613"
"clsid2865","pplid2050"
"clsid2865","pplid514"
"clsid2865","pplid522"
"clsid8144","pplid1250"
"clsid8144","pplid1613"
"clsid8144","pplid2050"
"clsid8144","pplid514"
"clsid8144","pplid522"
"clsid9830","pplid542"
"clsid8108","pplid1710"
"clsid8108","pplid3839"
"clsid3854","pplid1163"
"clsid11107","pplid3980"
"clsid9258","pplid3980"
"clsid2530","pplid1226"
"clsid2530","pplid3564"
"clsid6735","pplid1226"
"clsid6735","pplid3564"
"clsid10732","pplid4412"
"clsid10732","pplid4609"
"clsid5885","pplid4412"
"clsid5885","pplid4609"
"clsid7899","pplid834"
"clsid8876","pplid834"
"clsid6119","pplid115"
"clsid6119","pplid4024"
"clsid6119","pplid419"
"clsid8359","pplid115"
"clsid8359","pplid4024"
"clsid8359","pplid419"
"clsid7599","pplid1556"
"clsid9413","pplid1570"
"clsid8377","pplid1130"
"clsid8377","pplid2602"
"clsid8377","pplid4842"
"clsid9893","pplid1648"
"clsid9893","pplid4320"
"clsid11044","pplid3393"
"clsid2583","pplid3393"
"clsid8779","pplid3393"
"clsid10922","pplid3086"
"clsid9448","pplid3086"
"clsid10207","pplid1835"
"clsid10207","pplid1907"
"clsid10207","pplid2125"
"clsid3807","pplid1835"
"clsid3807","pplid1907"
"clsid3807","pplid2125"
"clsid12191","pplid1863"
"clsid10133","pplid2978"
"clsid10133","pplid3991"
"clsid10133","pplid642"
"clsid12917","pplid2978"
"clsid12917","pplid3991"
"clsid12917","pplid642"
"clsid6870","pplid2978"
"clsid6870","pplid3991"
"clsid6870","pplid642"
"clsid9683","pplid2978"
"clsid9683","pplid3991"
"clsid9683","pplid642"
"clsid12420","pplid602"
"clsid3325","pplid602"
"clsid3019","pplid1520"
"clsid3019","pplid4603"
"clsid3452","pplid1013"
"clsid10548","pplid3067"
"clsid10548","pplid4826"
"clsid10548","pplid966"
"clsid5693","pplid3067"
"clsid5693","pplid4826"
"clsid5693","pplid966"
"clsid12964","pplid2901"
"clsid12964","pplid3469"
"clsid1984","pplid1159"
"clsid789","pplid1159"
"clsid2312","pplid2684"
"clsid2312","pplid4213"
"clsid122","pplid4425"
"clsid122","pplid891"
"clsid4099","pplid4425"
"clsid4099","pplid891"
"clsid11342","pplid3217"
"clsid11342","pplid3998"
"clsid11342","pplid4921"
"clsid11342","pplid965"
"clsid4012","pplid3217"
"clsid4012","pplid3998"
"clsid4012","pplid4921"
"clsid4012","pplid965"
"clsid6018","pplid1443"
"clsid6018","pplid2662"
"clsid6018","pplid4579"
"clsid6018","pplid931"
"clsid9427","pplid1443"
"clsid9427","pplid2662"
"clsid9427","pplid4579"
"clsid9427","pplid931"
"clsid1097","pplid2202"
"clsid11525","pplid1330"
"clsid10914","pplid2618"
"clsid9141","pplid2618"
"clsid2880","pplid2139"
"clsid2880","pplid309"
"clsid6716","pplid2139"
"clsid6716","pplid309"
"clsid12701","pplid1302"
"clsid12701","pplid2979"
"clsid7916","pplid3403"
"clsid7996","pplid3403"
"clsid371","pplid1898"
"clsid371","pplid3494"
"clsid3925","pplid1898"
"clsid3925","pplid3494"
"clsid10491","pplid2424"
"clsid10491","pplid3262"
"clsid10636","pplid2424"
"clsid10636","pplid3262"
"clsid10489","pplid4952"
"clsid10489","pplid683"
"clsid1118","pplid2596"
"clsid1118","pplid2805"
"clsid6164","pplid2596"
"clsid6164","pplid2805"
"clsid2852","pplid2362"
"clsid2852","pplid3994"
"clsid3657","pplid2362"
"clsid3657","pplid3994"
"clsid6432","pplid2362"
"clsid6432","pplid3994"
"clsid9591","pplid2362"
"clsid9591","pplid3994"
"clsid1324","pplid1173"
"clsid1324","pplid3096"
"clsid6135","pplid760"
"clsid9281","pplid760"
"clsid12537","pplid1626"
"clsid12537","pplid3990"
"clsid12537","pplid4719"
"clsid12537","pplid499"
"clsid6622","pplid1626"
"clsid6622","pplid3990"
"clsid6622","pplid4719"
"clsid6622","pplid499"
"clsid9709","pplid1898"
"clsid10231","pplid1387"
"clsid10231","pplid2892"
"clsid10231","pplid3727"
"clsid10231","pplid862"
"clsid10231","pplid938"
"clsid11700","pplid1387"
"clsid11700","pplid2892"
"clsid11700","pplid3727"
"clsid11700","pplid862"
"clsid11700","pplid938"
"clsid12725","pplid1387"
"clsid12725","pplid2892"
"clsid12725","pplid3727"
"clsid12725","pplid862"
"clsid12725","pplid938"
"clsid3038","pplid1387"
"clsid3038","pplid2892"
"clsid3038","pplid3727"
"clsid3038","pplid862"
"clsid3038","pplid938"
"clsid12335","pplid1428"
"clsid12335","pplid2309"
"clsid12335","pplid729"
"clsid12762","pplid1428"
"clsid12762","pplid2309"
"clsid12762","pplid729"
"clsid12083","pplid1882"
"clsid4888","pplid1882"
"clsid7089","pplid1831"
"clsid12203","pplid1390"
"clsid12203","pplid1834"
"clsid12203","pplid2986"
"clsid12203","pplid4752"
"clsid88","pplid1390"
"clsid88","pplid1834"
"clsid88","pplid2986"
"clsid88","pplid4752"
"clsid6894","pplid1600"
"clsid6894","pplid1736"
"clsid6894","pplid2866"
"clsid5600","pplid1333"
"clsid5600","pplid4700"
"clsid12157","pplid4617"
"clsid12157","pplid54"
"clsid1658","pplid2600"
"clsid1658","pplid3527"
"clsid2249","pplid2600"
"clsid2249","pplid3527"
"clsid12780","pplid106"
"clsid12780","pplid1706"
"clsid12780","pplid2547"
"clsid12780","pplid2644"
"clsid6451","pplid1546"
"clsid6451","pplid3529"
"clsid6451","pplid4435"
"clsid8809","pplid2020"
"clsid8809","pplid2711"
"clsid242","pplid2059"
"clsid6017","pplid2059"
"clsid7527","pplid2141"
"clsid7527","pplid765"
"clsid972","pplid2141"
"clsid972","pplid765"
"clsid2056","pplid719"
"clsid1424","pplid4518"
"clsid1424","pplid4652"
"clsid337","pplid4518"
"clsid337","pplid4652"
"clsid4915","pplid4518"
"clsid4915","pplid4652"
"clsid5539","pplid4518"
"clsid5539","pplid4652"
"clsid8069","pplid4518"
"clsid8069","pplid4652"
"clsid3219","pplid1643"
"clsid4140","pplid1643"
"clsid8422","pplid1643"
"clsid9091","pplid1269"
"clsid9091","pplid1837"
"clsid15","pplid1366"
"clsid15","pplid2436"
"clsid15","pplid3727"
"clsid2470","pplid1366"
"clsid2470","pplid2436"
"clsid2470","pplid3727"
"clsid7452","pplid1366"
"clsid7452","pplid2436"
"clsid7452","pplid3727"
"clsid1519","pplid183"
"clsid1519","pplid1854"
"clsid1519","pplid800"
"clsid9625","pplid183"
"clsid9625","pplid1854"
"clsid9625","pplid800"
"clsid4308","pplid3556"
"clsid4308","pplid4021"
"clsid4308","pplid4027"
"clsid12078","pplid1778"
"clsid842","pplid1778"
"clsid3387","pplid2278"
"clsid3387","pplid3275"
"clsid3387","pplid923"
"clsid3042","pplid71"
"clsid11376","pplid3025"
"clsid11376","pplid3176"
"clsid11376","pplid3756"
"clsid12686","pplid3025"
"clsid12686","pplid3176"
"clsid12686","pplid3756"
"clsid10834","pplid2251"
"clsid10834","pplid4868"
"clsid12718","pplid2251"
"clsid12718","pplid4868"
"clsid2921","pplid2251"
"clsid2921","pplid4868"
"clsid1352","pplid1830"
"clsid6024","pplid1830"
"clsid4425","pplid3334"
"clsid4425","pplid997"
"clsid7757","pplid3334"
"clsid7757","pplid997"
"clsid10597","pplid1189"
"clsid10597","pplid1532"
"clsid10597","pplid2506"
"clsid11680","pplid1189"
"clsid11680","pplid1532"
"clsid11680","pplid2506"
"clsid11734","pplid1189"
"clsid11734","pplid1532"
"clsid11734","pplid2506"
"clsid3855","pplid1189"
"clsid3855","pplid1532"
"clsid3855","pplid2506"
"clsid11775","pplid2879"
"clsid11775","pplid419"
"clsid5259","pplid2879"
"clsid5259","pplid419"
"clsid5344","pplid2879"
"clsid5344","pplid419"
"clsid6020","pplid2879"
"clsid6020","pplid419"
"clsid8684","pplid2879"
"clsid8684","pplid419"
"clsid13000","pplid1372"
"clsid13000","pplid2781"
"clsid13000","pplid4879"
"clsid2978","pplid1372"
"clsid2978","pplid2781"
"clsid2978","pplid4879"
"clsid3424","pplid1372"
"clsid3424","pplid2781"
"clsid3424","pplid4879"
"clsid5571","pplid1372"
"clsid5571","pplid2781"
"clsid5571","pplid4879"
"clsid12442","pplid4586"
"clsid10368","pplid1726"
"clsid10368","pplid2495"
"clsid10368","pplid2551"
"clsid10368","pplid3975"
"clsid4184","pplid1726"
"clsid4184","pplid2495"
"clsid4184","pplid2551"
"clsid4184","pplid3975"
"clsid6684","pplid4677"
"clsid9545","pplid3576"
"clsid2682","pplid1606"
"clsid2682","pplid4164"
"clsid2682","pplid4811"
"clsid8107","pplid1606"
"clsid8107","pplid4164"
"clsid8107","pplid4811"
"clsid1305","pplid4334"
"clsid1305","pplid469"
"clsid1129","pplid4058"
"clsid1129","pplid636"
"clsid3268","pplid4058"
"clsid3268","pplid636"
"clsid4361","pplid4768"
"clsid937","pplid4768"
"clsid11681","pplid4838"
"clsid10521","pplid1683"
"clsid10521","pplid2110"
"clsid9782","pplid1683"
"clsid9782","pplid2110"
"clsid6842","pplid2080"
"clsid6842","pplid4169"
"clsid6842","pplid470"
"clsid5877","pplid3185"
"clsid10172","pplid3462"
"clsid10172","pplid378"
"clsid10172","pplid4641"
"clsid10478","pplid3462"
"clsid10478","pplid378"
"clsid10478","pplid4641"
"clsid1870","pplid3462"
"clsid1870","pplid378"
"clsid1870","pplid4641"
"clsid724","pplid3462"
"clsid724","pplid378"
"clsid724","pplid4641"
"clsid10010","pplid68"
"clsid1636","pplid68"
"clsid6581","pplid68"
"clsid7557","pplid68"
"clsid7941","pplid68"
"clsid889","pplid2831"
"clsid830","pplid4159"
"clsid9633","pplid4159"
"clsid10395","pplid4638"
"clsid7583","pplid4638"
"clsid1464","pplid1568"
"clsid1464","pplid3689"
"clsid6580","pplid1568"
"clsid6580","pplid3689"
"clsid10851","pplid3597"
"clsid10851","pplid871"
"clsid4601","pplid3597"
"clsid4601","pplid871"
"clsid5898","pplid3367"
"clsid5898","pplid385"
"clsid6154","pplid3367"
"clsid6154","pplid385"
"clsid6349","pplid3367"
"clsid6349","pplid385"
"clsid8096","pplid3367"
"clsid8096","pplid385"
"clsid2270","pplid933"
"clsid5599","pplid933"
"clsid1188","pplid3506"
"clsid907","pplid1722"
"clsid9229","pplid1722"
"clsid4471","pplid2221"
"clsid4471","pplid3671"
"clsid4471","pplid742"
"clsid207","pplid3441"
"clsid207","pplid625"
"clsid7350","pplid3441"
"clsid7350","pplid625"
"clsid10262","pplid2115"
"clsid10262","pplid4749"
"clsid11887","pplid1318"
"clsid11887","pplid4527"
"clsid4015","pplid1318"
"clsid4015","pplid4527"
"clsid425","pplid1318"
"clsid425","pplid4527"
"clsid8069","pplid1318"
"clsid8069","pplid4527"
"clsid7108","pplid2172"
"clsid7108","pplid3322"
"clsid11882","pplid542"
"clsid5889","pplid542"
"clsid11976","pplid2110"
"clsid11976","pplid2863"
"clsid11976","pplid898"
"clsid159","pplid1853"
"clsid159","pplid4327"
"clsid159","pplid507"
"clsid7124","pplid1853"
"clsid7124","pplid4327"
"clsid7124","pplid507"
"clsid1135","pplid3731"
"clsid12826","pplid1139"
"clsid12826","pplid767"
"clsid3869","pplid1139"
"clsid3869","pplid767"
"clsid11371","pplid3044"
"clsid4847","pplid3044"
"clsid10875","pplid4985"
"clsid2363","pplid4985"
"clsid12484","pplid1845"
"clsid12484","pplid3144"
"clsid12821","pplid1845"
"clsid12821","pplid3144"
"clsid152","pplid4755"
"clsid152","pplid643"
"clsid8052","pplid4755"
"clsid8052","pplid643"
"clsid8062","pplid4755"
"clsid8062","pplid643"
"clsid10848","pplid1813"
"clsid10848","pplid2626"
"clsid7663","pplid1813"
"clsid7663","pplid2626"
"clsid876","pplid1384"
"clsid876","pplid4626"
"clsid876","pplid4944"
"clsid9424","pplid1384"
"clsid9424","pplid4626"
"clsid9424","pplid4944"
"clsid1168","pplid1404"
"clsid1168","pplid2395"
"clsid1168","pplid3209"
"clsid6032","pplid2552"
"clsid6032","pplid3940"
"clsid5257","pplid2543"
"clsid5257","pplid3773"
"clsid10909","pplid2795"
"clsid10909","pplid4538"
"clsid3758","pplid3730"
"clsid3758","pplid579"
"clsid7329","pplid1373"
"clsid7329","pplid4547"
"clsid10844","pplid2795"
"clsid10844","pplid3881"
"clsid10844","pplid45"
"clsid10844","pplid963"
"clsid404","pplid2795"
"clsid404","pplid3881"
"clsid404","pplid45"
"clsid404","pplid963"
"clsid6314","pplid2795"
"clsid6314","pplid3881"
"clsid6314","pplid45"
"clsid6314","pplid963"
"clsid10463","pplid1089"
"clsid10463","pplid2563"
"clsid10463","pplid324"
"clsid6616","pplid1089"
"clsid6616","pplid2563"
"clsid6616","pplid324"
"clsid8042","pplid1089"
"clsid8042","pplid2563"
"clsid8042","pplid324"
"clsid155","pplid687"
"clsid155","pplid864"
"clsid3287","pplid687"
"clsid3287","pplid864"
"clsid6093","pplid687"
"clsid6093","pplid864"
"clsid2724","pplid1031"
"clsid2724","pplid4848"
"clsid2274","pplid2817"
"clsid4183","pplid2817"
"clsid10452","pplid1597"
"clsid10452","pplid426"
"clsid10452","pplid4863"
"clsid3367","pplid1597"
"clsid3367","pplid426"
"clsid3367","pplid4863"
"clsid8020","pplid1597"
"clsid8020","pplid426"
"clsid8020","pplid4863"
"clsid10840","pplid2243"
"clsid10840","pplid2255"
"clsid10840","pplid624"
"clsid9615","pplid2243"
"clsid9615","pplid2255"
"clsid9615","pplid624"
"clsid3505","pplid2539"
"clsid3505","pplid2649"
"clsid3505","pplid3691"
"clsid4596","pplid2539"
"clsid4596","pplid2649"
"clsid4596","pplid3691"
"clsid11947","pplid3542"
"clsid11947","pplid3648"
"clsid11947","pplid4290"
"clsid11947","pplid4484"
"clsid11947","pplid946"
"clsid1237","pplid3542"
"clsid1237","pplid3648"
"clsid1237","pplid4290"
"clsid1237","pplid4484"
"clsid1237","pplid946"
"clsid7288","pplid3542"
"clsid7288","pplid3648"
"clsid7288","pplid4290"
"clsid7288","pplid4484"
"clsid7288","pplid946"
"clsid12598","pplid1776"
"clsid3902","pplid2310"
"clsid7573","pplid2310"
"clsid4378","pplid2227"
"clsid4378","pplid3324"
"clsid4378","pplid451"
"clsid8359","pplid2227"
"clsid8359","pplid3324"
"clsid8359","pplid451"
"clsid11489","pplid4703"
"clsid11489","pplid486"
"clsid1210","pplid4703"
"clsid1210","pplid486"
"clsid6455","pplid3052"
"clsid6455","pplid3390"
"clsid6455","pplid3572"
"clsid6455","pplid3853"
"clsid6455","pplid4013"
"clsid6527","pplid3052"
"clsid6527","pplid3390"
"clsid6527","pplid3572"
"clsid6527","pplid3853"
"clsid6527","pplid4013"
"clsid10166","pplid4454"
"clsid4139","pplid4454"
"clsid8254","pplid1338"
"clsid8254","pplid729"
"clsid846","pplid1338"
"clsid846","pplid729"
"clsid12828","pplid4170"
"clsid1611","pplid4170"
"clsid2086","pplid4170"
"clsid2275","pplid4170"
"clsid3388","pplid4170"
"clsid4136","pplid2121"
"clsid4136","pplid2480"
"clsid4136","pplid3818"
"clsid4136","pplid68"
"clsid6016","pplid2121"
"clsid6016","pplid2480"
"clsid6016","pplid3818"
"clsid6016","pplid68"
"clsid22","pplid3940"
"clsid6123","pplid3940"
"clsid10459","pplid1660"
"clsid10459","pplid4226"
"clsid2487","pplid1660"
"clsid2487","pplid4226"
"clsid2770","pplid538"
"clsid884","pplid538"
"clsid6595","pplid2668"
"clsid6595","pplid2751"
"clsid6595","pplid3956"
"clsid6595","pplid4646"
"clsid11865","pplid1893"
"clsid11865","pplid3735"
"clsid11865","pplid3942"
"clsid11865","pplid874"
"clsid1938","pplid1893"
"clsid1938","pplid3735"
"clsid1938","pplid3942"
"clsid1938","pplid874"
"clsid5837","pplid1893"
"clsid5837","pplid3735"
"clsid5837","pplid3942"
"clsid5837","pplid874"
"clsid9019","pplid1893"
"clsid9019","pplid3735"
"clsid9019","pplid3942"
"clsid9019","pplid874"
"clsid11656","pplid1193"
"clsid12911","pplid1193"
"clsid2891","pplid1193"
"clsid10552","pplid3085"
"clsid6403","pplid3085"
"clsid12083","pplid2842"
"clsid10782","pplid1195"
"clsid2812","pplid1195"
"clsid8577","pplid1195"
"clsid6229","pplid1340"
"clsid6229","pplid626"
"clsid10486","pplid658"
"clsid10486","pplid949"
"clsid4044","pplid658"
"clsid4044","pplid949"
"clsid3545","pplid982"
"clsid877","pplid982"
"clsid9341","pplid2475"
"clsid9341","pplid303"
"clsid9967","pplid2475"
"clsid9967","pplid303"
"clsid12659","pplid2147"
"clsid12659","pplid3365"
"clsid12659","pplid3445"
"clsid12659","pplid37"
"clsid12659","pplid516"
"clsid12536","pplid1557"
"clsid7278","pplid1557"
"clsid6938","pplid3444"
"clsid7551","pplid3444"
"clsid4050","pplid1981"
"clsid4050","pplid2321"
"clsid4050","pplid3428"
"clsid1046","pplid2632"
"clsid10666","pplid2632"
"clsid8455","pplid230"
"clsid4522","pplid1269"
"clsid4522","pplid2287"
"clsid4522","pplid3704"
"clsid10526","pplid2397"
"clsid10526","pplid3987"
"clsid10526","pplid4110"
"clsid10537","pplid2397"
"clsid10537","pplid3987"
"clsid10537","pplid4110"
"clsid10963","pplid2397"
"clsid10963","pplid3987"
"clsid10963","pplid4110"
"clsid7891","pplid2938"
"clsid7891","pplid309"
"clsid7891","pplid3161"
"clsid3443","pplid3647"
"clsid5262","pplid3647"
"clsid10940","pplid345"
"clsid10940","pplid3997"
"clsid11198","pplid345"
"clsid11198","pplid3997"
"clsid12386","pplid345"
"clsid12386","pplid3997"
"clsid2542","pplid345"
"clsid2542","pplid3997"
"clsid6029","pplid1933"
"clsid6029","pplid2018"
"clsid6029","pplid2359"
"clsid6029","pplid3429"
"clsid7472","pplid1933"
"clsid7472","pplid2018"
"clsid7472","pplid2359"
"clsid7472","pplid3429"
"clsid8495","pplid1933"
"clsid8495","pplid2018"
"clsid8495","pplid2359"
"clsid8495","pplid3429"
"clsid966","pplid1189"
"clsid10731","pplid2805"
"clsid10731","pplid3040"
"clsid10731","pplid4981"
"clsid11119","pplid2805"
"clsid11119","pplid3040"
"clsid11119","pplid4981"
"clsid4309","pplid2805"
"clsid4309","pplid3040"
"clsid4309","pplid4981"
"clsid1178","pplid1857"
"clsid1178","pplid627"
"clsid11879","pplid1009"
"clsid11879","pplid3498"
"clsid11879","pplid4750"
"clsid11879","pplid513"
"clsid1765","pplid1009"
"clsid1765","pplid3498"
"clsid1765","pplid4750"
"clsid1765","pplid513"
"clsid1108","pplid1754"
"clsid1108","pplid2291"
"clsid10460","pplid652"
"clsid10460","pplid723"
"clsid6416","pplid2050"
"clsid6416","pplid2119"
"clsid9116","pplid2050"
"clsid9116","pplid2119"
"clsid11560","pplid1872"
"clsid9773","pplid2217"
"clsid9773","pplid4542"
"clsid4467","pplid267"
"clsid4467","pplid3590"
"clsid8322","pplid267"
"clsid8322","pplid3590"
"clsid1707","pplid2866"
"clsid1707","pplid3372"
"clsid1707","pplid4293"
"clsid1707","pplid98"
"clsid2471","pplid2866"
"clsid2471","pplid3372"
"clsid2471","pplid4293"
"clsid2471","pplid98"
"clsid9698","pplid2866"
"clsid9698","pplid3372"
"clsid9698","pplid4293"
"clsid9698","pplid98"
"clsid8103","pplid289"
"clsid8103","pplid4966"
"clsid8103","pplid95"
"clsid9777","pplid289"
"clsid9777","pplid4966"
"clsid9777","pplid95"
"clsid6877","pplid4101"
"clsid8592","pplid4101"
"clsid9107","pplid4101"
"clsid10348","pplid1847"
"clsid10447","pplid3433"
"clsid10447","pplid627"
"clsid4155","pplid3433"
"clsid4155","pplid627"
"clsid8513","pplid3433"
"clsid8513","pplid627"
"clsid9617","pplid3433"
"clsid9617","pplid627"
"clsid1050","pplid3099"
"clsid11365","pplid3099"
"clsid11655","pplid3099"
