ssrqid,drqid
ssrqid130,drqid3796
ssrqid131,drqid1232
ssrqid131,drqid2284
ssrqid132,drqid2798
ssrqid132,drqid812
ssrqid133,drqid3342
ssrqid134,drqid3115
ssrqid134,drqid646
ssrqid135,drqid1281
ssrqid135,drqid910
ssrqid136,drqid1238
ssrqid136,drqid396
ssrqid137,drqid1984
ssrqid138,drqid1929
ssrqid138,drqid3158
ssrqid138,drqid3474
ssrqid139,drqid2921
ssrqid140,drqid1123
ssrqid140,drqid1531
ssrqid141,drqid3476
ssrqid142,drqid112
ssrqid142,drqid3060
ssrqid142,drqid721
ssrqid143,drqid3668
ssrqid143,drqid3718
ssrqid144,drqid1195
ssrqid144,drqid2946
ssrqid145,drqid2090
ssrqid145,drqid840
ssrqid146,drqid3670
ssrqid146,drqid623
ssrqid147,drqid1323
ssrqid147,drqid2571
ssrqid147,drqid3703
ssrqid148,drqid3981
ssrqid148,drqid463
ssrqid149,drqid2472
ssrqid149,drqid2665
ssrqid150,drqid279
ssrqid150,drqid397
ssrqid151,drqid2571
ssrqid151,drqid4
ssrqid152,drqid2224
ssrqid153,drqid155
ssrqid153,drqid2127
ssrqid154,drqid104
ssrqid154,drqid2653
ssrqid154,drqid3372
ssrqid155,drqid1100
ssrqid155,drqid5
ssrqid156,drqid938
ssrqid157,drqid1940
ssrqid157,drqid2419
ssrqid158,drqid644
ssrqid158,drqid919
ssrqid159,drqid983
ssrqid160,drqid1874
ssrqid160,drqid3403
ssrqid161,drqid1415
ssrqid161,drqid784
ssrqid162,drqid2045
ssrqid162,drqid2703
ssrqid163,drqid1959
ssrqid163,drqid2882
ssrqid164,drqid1330
ssrqid164,drqid3588
ssrqid165,drqid3817
ssrqid166,drqid1368
ssrqid166,drqid2201
ssrqid167,drqid1432
ssrqid167,drqid2482
ssrqid168,drqid504
ssrqid168,drqid757
ssrqid169,drqid225
ssrqid169,drqid2799
ssrqid170,drqid1288
ssrqid171,drqid3453
ssrqid172,drqid1742
ssrqid173,drqid1053
ssrqid174,drqid256
ssrqid175,drqid1560
ssrqid175,drqid2351
ssrqid176,drqid1876
ssrqid176,drqid322
ssrqid177,drqid3654
ssrqid178,drqid1376
ssrqid179,drqid198
ssrqid179,drqid638
ssrqid180,drqid1692
ssrqid180,drqid2058
ssrqid181,drqid2046
ssrqid181,drqid997
ssrqid182,drqid1722
ssrqid183,drqid2502
ssrqid184,drqid2593
ssrqid184,drqid3068
ssrqid185,drqid692
ssrqid186,drqid2909
ssrqid187,drqid1333
ssrqid187,drqid1851
ssrqid188,drqid3855
ssrqid189,drqid726
ssrqid189,drqid91
ssrqid190,drqid1245
ssrqid190,drqid3677
ssrqid191,drqid2060
ssrqid191,drqid4000
ssrqid191,drqid934
ssrqid192,drqid1642
ssrqid192,drqid3789
ssrqid193,drqid1983
ssrqid193,drqid3509
ssrqid194,drqid1173
ssrqid194,drqid2549
ssrqid195,drqid3200
ssrqid195,drqid910
ssrqid196,drqid2301
ssrqid197,drqid2561
ssrqid198,drqid2431
ssrqid198,drqid3638
ssrqid199,drqid495
ssrqid200,drqid1989
ssrqid200,drqid3829
ssrqid200,drqid988
ssrqid201,drqid2176
ssrqid201,drqid640
ssrqid202,drqid1283
ssrqid202,drqid1309
ssrqid203,drqid3060
ssrqid203,drqid307
ssrqid203,drqid3660
ssrqid204,drqid1812
ssrqid204,drqid2055
ssrqid205,drqid2071
ssrqid205,drqid2479
ssrqid205,drqid2732
ssrqid206,drqid561
ssrqid207,drqid2143
ssrqid207,drqid2916
ssrqid208,drqid1035
ssrqid209,drqid1924
ssrqid209,drqid2601
ssrqid210,drqid1559
ssrqid210,drqid2856
ssrqid211,drqid2193
ssrqid211,drqid3430
ssrqid212,drqid1343
ssrqid213,drqid2453
ssrqid213,drqid3962
ssrqid213,drqid444
ssrqid214,drqid336
ssrqid215,drqid562
ssrqid215,drqid957
ssrqid216,drqid676
ssrqid217,drqid1951
ssrqid218,drqid2133
ssrqid218,drqid3785
ssrqid219,drqid3376
ssrqid219,drqid3801
ssrqid220,drqid1392
ssrqid220,drqid2577
ssrqid221,drqid3667
ssrqid222,drqid1965
ssrqid222,drqid3547
ssrqid223,drqid1508
ssrqid224,drqid3846
ssrqid225,drqid1421
ssrqid226,drqid3275
ssrqid226,drqid589
ssrqid226,drqid713
ssrqid227,drqid2059
ssrqid227,drqid2300
ssrqid228,drqid1472
ssrqid228,drqid3331
ssrqid228,drqid918
ssrqid229,drqid2786
ssrqid229,drqid3250
ssrqid230,drqid326
ssrqid231,drqid1025
ssrqid231,drqid1886
ssrqid232,drqid1253
ssrqid232,drqid1810
ssrqid233,drqid190
ssrqid233,drqid2898
ssrqid234,drqid1872
ssrqid234,drqid307
ssrqid235,drqid1969
ssrqid235,drqid3400
ssrqid236,drqid2743
ssrqid236,drqid3076
ssrqid237,drqid234
ssrqid238,drqid242
ssrqid239,drqid1161
ssrqid240,drqid1985
ssrqid240,drqid94
ssrqid241,drqid467
ssrqid242,drqid770
ssrqid242,drqid858
ssrqid243,drqid1406
ssrqid244,drqid2227
ssrqid245,drqid1969
ssrqid245,drqid2747
ssrqid246,drqid224
ssrqid246,drqid491
ssrqid247,drqid1862
ssrqid247,drqid2943
ssrqid248,drqid980
ssrqid249,drqid2834
ssrqid249,drqid3381
ssrqid250,drqid1063
ssrqid251,drqid1601
ssrqid251,drqid3469
ssrqid252,drqid1552
ssrqid252,drqid3145
ssrqid253,drqid3680
ssrqid253,drqid606
ssrqid254,drqid11
ssrqid254,drqid3820
ssrqid255,drqid1984
ssrqid256,drqid1515
ssrqid256,drqid2006
ssrqid257,drqid1478
ssrqid258,drqid231
ssrqid258,drqid917
ssrqid259,drqid275
ssrqid259,drqid613
ssrqid260,drqid1041
ssrqid261,drqid1259
ssrqid261,drqid3041
ssrqid262,drqid2914
ssrqid263,drqid3446
ssrqid263,drqid759
ssrqid264,drqid2066
ssrqid264,drqid3316
ssrqid265,drqid1131
ssrqid265,drqid1357
ssrqid265,drqid2984
ssrqid266,drqid1037
ssrqid266,drqid2547
ssrqid267,drqid672
ssrqid268,drqid3700
ssrqid269,drqid1175
ssrqid269,drqid3165
ssrqid270,drqid3324
ssrqid271,drqid2603
ssrqid271,drqid3668
ssrqid272,drqid1562
ssrqid272,drqid2380
ssrqid273,drqid3387
ssrqid274,drqid2486
ssrqid274,drqid919
ssrqid275,drqid1810
ssrqid275,drqid2754
ssrqid276,drqid1926
ssrqid276,drqid72
ssrqid277,drqid3179
ssrqid278,drqid159
ssrqid278,drqid5
ssrqid279,drqid1075
ssrqid279,drqid686
ssrqid280,drqid2240
ssrqid281,drqid3399
ssrqid281,drqid351
ssrqid281,drqid3692
ssrqid282,drqid388
ssrqid283,drqid774
ssrqid284,drqid1410
ssrqid284,drqid505
ssrqid284,drqid590
ssrqid285,drqid3022
ssrqid286,drqid3107
ssrqid286,drqid3731
ssrqid287,drqid2064
ssrqid287,drqid760
ssrqid288,drqid858
ssrqid288,drqid885
ssrqid289,drqid2412
ssrqid289,drqid941
ssrqid290,drqid1322
ssrqid291,drqid1066
ssrqid292,drqid2227
ssrqid292,drqid3509
ssrqid293,drqid3304
ssrqid294,drqid1400
ssrqid294,drqid77
ssrqid295,drqid1636
ssrqid295,drqid2172
ssrqid295,drqid852
ssrqid296,drqid1882
ssrqid297,drqid328
ssrqid297,drqid663
ssrqid298,drqid2701
ssrqid298,drqid3361
ssrqid299,drqid337
ssrqid299,drqid971
ssrqid300,drqid2318
ssrqid300,drqid766
ssrqid301,drqid296
ssrqid302,drqid1843
ssrqid303,drqid1840
ssrqid303,drqid3960
ssrqid304,drqid2475
ssrqid304,drqid3703
ssrqid305,drqid1941
ssrqid305,drqid1962
ssrqid305,drqid3669
ssrqid306,drqid3096
ssrqid307,drqid3566
ssrqid307,drqid739
ssrqid308,drqid596
ssrqid309,drqid1455
ssrqid309,drqid22
ssrqid309,drqid42
ssrqid310,drqid2344
ssrqid310,drqid3366
ssrqid311,drqid1876
ssrqid312,drqid2266
ssrqid312,drqid3405
ssrqid313,drqid2792
ssrqid313,drqid2844
ssrqid314,drqid479
ssrqid315,drqid2947
ssrqid316,drqid2583
ssrqid316,drqid2737
ssrqid317,drqid2299
ssrqid317,drqid2491
ssrqid318,drqid1346
ssrqid318,drqid3466
ssrqid319,drqid2136
ssrqid319,drqid2937
ssrqid320,drqid3801
ssrqid320,drqid3867
ssrqid321,drqid1164
ssrqid321,drqid416
ssrqid321,drqid897
ssrqid322,drqid1217
ssrqid322,drqid2365
ssrqid322,drqid3418
ssrqid323,drqid1700
ssrqid323,drqid47
ssrqid324,drqid3631
ssrqid324,drqid957
ssrqid325,drqid3157
ssrqid326,drqid1627
ssrqid327,drqid1897
ssrqid327,drqid3432
ssrqid328,drqid2321
ssrqid329,drqid1878
ssrqid330,drqid171
ssrqid331,drqid2391
ssrqid331,drqid428
ssrqid332,drqid1078
ssrqid332,drqid957
ssrqid333,drqid2148
ssrqid333,drqid647
ssrqid334,drqid2187
ssrqid334,drqid871
ssrqid335,drqid1077
ssrqid335,drqid1679
ssrqid335,drqid1952
ssrqid336,drqid1979
ssrqid336,drqid2206
ssrqid337,drqid1823
ssrqid337,drqid3988
ssrqid338,drqid144
ssrqid338,drqid945
ssrqid339,drqid1683
ssrqid339,drqid3002
ssrqid340,drqid1320
ssrqid340,drqid2116
ssrqid340,drqid2206
ssrqid341,drqid1905
ssrqid341,drqid951
ssrqid342,drqid1968
ssrqid342,drqid2940
ssrqid343,drqid2349
ssrqid344,drqid3157
ssrqid345,drqid1032
ssrqid345,drqid1770
ssrqid346,drqid2986
ssrqid346,drqid345
ssrqid347,drqid255
ssrqid348,drqid1000
ssrqid348,drqid1831
ssrqid349,drqid3662
ssrqid350,drqid3317
ssrqid351,drqid3882
ssrqid352,drqid3749
ssrqid353,drqid1670
ssrqid353,drqid2127
ssrqid354,drqid1435
ssrqid354,drqid1567
ssrqid355,drqid162
ssrqid355,drqid2862
ssrqid356,drqid380
ssrqid357,drqid1992
ssrqid357,drqid3310
ssrqid358,drqid485
ssrqid358,drqid78
ssrqid359,drqid671
ssrqid360,drqid2517
ssrqid361,drqid1157
ssrqid361,drqid2461
ssrqid361,drqid303
ssrqid362,drqid1261
ssrqid363,drqid3931
ssrqid364,drqid2585
ssrqid364,drqid3882
ssrqid365,drqid2620
ssrqid365,drqid3050
ssrqid366,drqid2087
ssrqid366,drqid2407
ssrqid367,drqid1806
ssrqid368,drqid2731
ssrqid368,drqid3921
ssrqid369,drqid2114
ssrqid369,drqid2162
ssrqid370,drqid3148
ssrqid370,drqid3604
ssrqid371,drqid128
ssrqid371,drqid1784
ssrqid372,drqid1729
ssrqid372,drqid3245
ssrqid373,drqid2309
ssrqid374,drqid1779
ssrqid374,drqid184
ssrqid375,drqid2256
ssrqid375,drqid2644
ssrqid376,drqid2591
ssrqid376,drqid3370
ssrqid377,drqid1333
ssrqid377,drqid909
ssrqid378,drqid2169
ssrqid379,drqid3357
ssrqid380,drqid1975
ssrqid380,drqid3636
ssrqid381,drqid3791
ssrqid382,drqid1340
ssrqid382,drqid3830
ssrqid383,drqid3160
ssrqid384,drqid209
ssrqid384,drqid254
ssrqid385,drqid1792
ssrqid386,drqid2402
ssrqid387,drqid1453
ssrqid387,drqid2427
ssrqid388,drqid58
ssrqid389,drqid1880
ssrqid390,drqid817
ssrqid391,drqid2276
ssrqid391,drqid595
ssrqid392,drqid2136
ssrqid392,drqid327
ssrqid393,drqid3712
ssrqid394,drqid2489
ssrqid394,drqid2760
ssrqid395,drqid1745
ssrqid395,drqid1815
ssrqid396,drqid3401
ssrqid396,drqid545
ssrqid397,drqid1952
ssrqid397,drqid3072
ssrqid398,drqid3171
ssrqid399,drqid1884
ssrqid399,drqid3358
ssrqid400,drqid1682
ssrqid400,drqid1923
ssrqid400,drqid938
ssrqid401,drqid2372
ssrqid401,drqid3006
ssrqid402,drqid3512
ssrqid403,drqid76
ssrqid404,drqid1813
ssrqid404,drqid566
ssrqid405,drqid2838
ssrqid405,drqid660
ssrqid406,drqid2490
ssrqid407,drqid2986
ssrqid407,drqid3686
ssrqid408,drqid2423
ssrqid408,drqid3144
ssrqid408,drqid85
ssrqid409,drqid1733
ssrqid410,drqid275
ssrqid411,drqid3335
ssrqid412,drqid3047
ssrqid412,drqid965
ssrqid413,drqid1453
ssrqid414,drqid1951
ssrqid414,drqid3494
ssrqid415,drqid3728
ssrqid416,drqid1097
ssrqid416,drqid292
ssrqid417,drqid1584
ssrqid417,drqid603
ssrqid418,drqid1757
ssrqid418,drqid2465
ssrqid419,drqid520
ssrqid420,drqid1133
ssrqid421,drqid1134
ssrqid421,drqid2317
ssrqid422,drqid1213
ssrqid422,drqid3620
ssrqid423,drqid3749
ssrqid424,drqid698
ssrqid425,drqid3239
ssrqid426,drqid3637
ssrqid426,drqid921
ssrqid427,drqid3775
ssrqid428,drqid1254
ssrqid428,drqid2258
ssrqid429,drqid10
ssrqid429,drqid2658
ssrqid430,drqid2516
ssrqid431,drqid1793
ssrqid432,drqid3871
ssrqid433,drqid1452
ssrqid433,drqid3779
ssrqid434,drqid2122
ssrqid435,drqid560
ssrqid436,drqid1486
ssrqid436,drqid2187
ssrqid437,drqid2983
ssrqid438,drqid1319
ssrqid438,drqid3478
ssrqid439,drqid1473
ssrqid439,drqid3453
ssrqid440,drqid1449
ssrqid441,drqid2116
ssrqid442,drqid1027
ssrqid442,drqid781
ssrqid443,drqid665
ssrqid444,drqid3674
ssrqid444,drqid3714
ssrqid445,drqid3675
ssrqid446,drqid887
ssrqid447,drqid1936
ssrqid448,drqid1185
ssrqid449,drqid258
ssrqid450,drqid3749
ssrqid451,drqid700
ssrqid451,drqid776
ssrqid452,drqid1529
ssrqid452,drqid420
ssrqid452,drqid822
ssrqid453,drqid969
ssrqid454,drqid1555
ssrqid454,drqid2028
ssrqid455,drqid2394
ssrqid455,drqid885
ssrqid456,drqid2145
ssrqid456,drqid3957
ssrqid457,drqid2252
ssrqid457,drqid3553
ssrqid458,drqid1961
ssrqid459,drqid78
ssrqid460,drqid2399
ssrqid460,drqid2481
ssrqid461,drqid1008
ssrqid462,drqid2011
ssrqid462,drqid3806
ssrqid463,drqid3164
ssrqid464,drqid3540
ssrqid465,drqid1773
ssrqid466,drqid2683
ssrqid466,drqid865
ssrqid467,drqid2159
ssrqid468,drqid2970
ssrqid469,drqid1332
ssrqid469,drqid2926
ssrqid470,drqid1889
ssrqid470,drqid3283
ssrqid470,drqid439
ssrqid471,drqid2364
ssrqid472,drqid2990
ssrqid473,drqid1995
ssrqid473,drqid2279
ssrqid474,drqid1869
ssrqid474,drqid1959
ssrqid475,drqid1333
ssrqid476,drqid3442
ssrqid477,drqid2799
ssrqid477,drqid840
ssrqid478,drqid174
ssrqid478,drqid557
ssrqid479,drqid3008
ssrqid480,drqid131
ssrqid480,drqid3316
ssrqid481,drqid178
ssrqid481,drqid3410
ssrqid481,drqid640
ssrqid482,drqid1313
ssrqid483,drqid1628
ssrqid484,drqid1068
ssrqid484,drqid1146
ssrqid485,drqid1144
ssrqid486,drqid1543
ssrqid486,drqid2295
ssrqid487,drqid337
ssrqid488,drqid392
ssrqid489,drqid1251
ssrqid489,drqid1544
ssrqid490,drqid1109
ssrqid490,drqid784
ssrqid491,drqid3094
ssrqid491,drqid76
ssrqid492,drqid2583
ssrqid492,drqid366
ssrqid492,drqid3679
ssrqid493,drqid2523
ssrqid493,drqid3228
ssrqid493,drqid3590
ssrqid494,drqid1912
ssrqid494,drqid3703
ssrqid495,drqid1323
ssrqid495,drqid2044
ssrqid496,drqid3008
ssrqid496,drqid3686
ssrqid497,drqid1158
ssrqid497,drqid2750
ssrqid497,drqid830
ssrqid498,drqid1796
ssrqid499,drqid205
ssrqid499,drqid633
ssrqid499,drqid882
ssrqid500,drqid2831
ssrqid501,drqid132
ssrqid501,drqid966
ssrqid502,drqid2800
ssrqid502,drqid337
ssrqid503,drqid3129
ssrqid503,drqid3679
ssrqid504,drqid1522
ssrqid504,drqid2020
ssrqid505,drqid1201
ssrqid505,drqid2286
ssrqid506,drqid3867
ssrqid506,drqid416
ssrqid507,drqid1955
ssrqid508,drqid2567
ssrqid508,drqid748
ssrqid509,drqid1345
ssrqid509,drqid228
ssrqid510,drqid599
ssrqid510,drqid765
ssrqid511,drqid250
ssrqid512,drqid3108
ssrqid512,drqid3411
ssrqid513,drqid3085
ssrqid513,drqid31
ssrqid513,drqid3315
ssrqid514,drqid2042
ssrqid514,drqid2195
ssrqid514,drqid2864
ssrqid515,drqid1358
ssrqid515,drqid2443
ssrqid516,drqid354
ssrqid516,drqid3916
ssrqid517,drqid1160
ssrqid517,drqid60
ssrqid518,drqid2670
ssrqid518,drqid3747
ssrqid519,drqid347
ssrqid520,drqid1466
ssrqid520,drqid1939
ssrqid520,drqid353
ssrqid521,drqid2036
ssrqid521,drqid3054
ssrqid522,drqid952
ssrqid523,drqid3913
ssrqid524,drqid3055
ssrqid525,drqid1079
ssrqid526,drqid1376
ssrqid527,drqid134
ssrqid527,drqid1378
ssrqid528,drqid3554
ssrqid529,drqid2035
ssrqid529,drqid2348
ssrqid530,drqid1740
ssrqid530,drqid923
ssrqid531,drqid1039
ssrqid531,drqid1456
ssrqid532,drqid2063
ssrqid533,drqid2
ssrqid533,drqid2232
ssrqid534,drqid2365
ssrqid535,drqid1362
ssrqid535,drqid1932
ssrqid535,drqid812
ssrqid536,drqid2233
ssrqid536,drqid75
ssrqid537,drqid2881
ssrqid537,drqid3120
ssrqid538,drqid1170
ssrqid538,drqid2469
ssrqid539,drqid305
ssrqid539,drqid3203
ssrqid540,drqid1739
ssrqid540,drqid2801
ssrqid541,drqid91
ssrqid542,drqid1192
ssrqid542,drqid2966
ssrqid543,drqid1112
ssrqid543,drqid3933
ssrqid544,drqid3256
ssrqid544,drqid842
ssrqid545,drqid2134
ssrqid545,drqid782
ssrqid546,drqid2335
ssrqid547,drqid2843
ssrqid547,drqid3420
ssrqid548,drqid3047
ssrqid548,drqid898
ssrqid549,drqid3617
ssrqid550,drqid1326
ssrqid551,drqid609
ssrqid552,drqid313
ssrqid553,drqid1843
ssrqid554,drqid325
ssrqid555,drqid2481
ssrqid555,drqid530
ssrqid556,drqid1850
ssrqid557,drqid2515
ssrqid558,drqid808
ssrqid558,drqid825
ssrqid559,drqid29
ssrqid559,drqid587
ssrqid560,drqid1320
ssrqid560,drqid1442
ssrqid560,drqid3566
ssrqid561,drqid2552
ssrqid561,drqid3479
ssrqid562,drqid1014
ssrqid562,drqid1410
ssrqid563,drqid3084
ssrqid564,drqid1297
ssrqid564,drqid3020
ssrqid565,drqid2198
ssrqid565,drqid2209
ssrqid566,drqid839
ssrqid567,drqid1075
ssrqid567,drqid2386
ssrqid568,drqid701
ssrqid569,drqid3424
ssrqid570,drqid1709
ssrqid571,drqid1671
ssrqid572,drqid344
ssrqid573,drqid3515
ssrqid573,drqid681
ssrqid574,drqid1177
ssrqid574,drqid84
ssrqid575,drqid3301
ssrqid576,drqid2994
ssrqid576,drqid3080
ssrqid576,drqid3329
ssrqid577,drqid3481
ssrqid578,drqid693
ssrqid579,drqid1199
ssrqid579,drqid2153
ssrqid579,drqid587
ssrqid580,drqid3790
ssrqid581,drqid1776
ssrqid581,drqid3281
ssrqid582,drqid1995
ssrqid582,drqid988
ssrqid583,drqid1222
ssrqid583,drqid694
ssrqid584,drqid3890
ssrqid585,drqid2106
ssrqid585,drqid847
ssrqid586,drqid709
ssrqid587,drqid1160
ssrqid587,drqid3638
ssrqid588,drqid1618
ssrqid588,drqid2889
ssrqid589,drqid1940
ssrqid589,drqid418
ssrqid590,drqid1764
ssrqid590,drqid2524
ssrqid591,drqid218
ssrqid592,drqid451
ssrqid592,drqid522
ssrqid593,drqid1693
ssrqid594,drqid1920
ssrqid594,drqid943
ssrqid595,drqid3654
ssrqid595,drqid427
ssrqid596,drqid2756
ssrqid597,drqid1497
ssrqid597,drqid3185
ssrqid598,drqid1771
ssrqid598,drqid3074
ssrqid599,drqid1498
ssrqid599,drqid2447
ssrqid600,drqid1093
ssrqid600,drqid3517
ssrqid601,drqid2288
ssrqid601,drqid3702
ssrqid602,drqid1020
ssrqid602,drqid3394
ssrqid602,drqid808
ssrqid603,drqid145
ssrqid603,drqid2645
ssrqid604,drqid182
ssrqid605,drqid187
ssrqid606,drqid459
ssrqid606,drqid915
ssrqid607,drqid1883
ssrqid607,drqid3271
ssrqid608,drqid1268
ssrqid608,drqid3576
ssrqid608,drqid667
ssrqid609,drqid1147
ssrqid609,drqid2079
ssrqid610,drqid1520
ssrqid610,drqid2397
ssrqid610,drqid2742
ssrqid611,drqid2092
ssrqid612,drqid1939
ssrqid613,drqid1885
ssrqid613,drqid2687
ssrqid613,drqid3154
ssrqid614,drqid1185
ssrqid614,drqid1207
ssrqid615,drqid1102
ssrqid615,drqid2298
ssrqid616,drqid3908
ssrqid617,drqid2838
ssrqid618,drqid2011
ssrqid618,drqid3927
ssrqid619,drqid1563
ssrqid619,drqid2069
ssrqid620,drqid1314
ssrqid620,drqid2108
ssrqid620,drqid999
ssrqid621,drqid2359
ssrqid621,drqid869
ssrqid622,drqid556
ssrqid623,drqid2456
ssrqid623,drqid781
ssrqid624,drqid389
ssrqid625,drqid246
ssrqid626,drqid2949
ssrqid627,drqid2191
ssrqid627,drqid3223
ssrqid627,drqid473
ssrqid628,drqid3648
ssrqid629,drqid291
ssrqid630,drqid64
ssrqid631,drqid3625
ssrqid631,drqid975
ssrqid632,drqid3374
ssrqid632,drqid3657
ssrqid633,drqid211
ssrqid633,drqid2181
ssrqid634,drqid3103
ssrqid635,drqid2894
ssrqid636,drqid1060
ssrqid636,drqid2336
ssrqid636,drqid3364
ssrqid637,drqid3617
ssrqid637,drqid3886
ssrqid638,drqid1295
ssrqid639,drqid2435
ssrqid640,drqid1633
ssrqid640,drqid2234
ssrqid641,drqid2707
ssrqid642,drqid1095
ssrqid643,drqid2174
ssrqid643,drqid2853
ssrqid644,drqid1105
ssrqid644,drqid2659
ssrqid645,drqid1712
ssrqid645,drqid2856
ssrqid646,drqid2248
ssrqid647,drqid1071
ssrqid648,drqid1835
ssrqid648,drqid1911
ssrqid649,drqid1386
ssrqid649,drqid3484
ssrqid649,drqid796
