"DRQID","BGRID"
"drqid13","bgrid12691"
"drqid13","bgrid2121"
"drqid13","bgrid8825"
"drqid13","bgrid8930"
"drqid13","bgrid12952"
"drqid13","bgrid5730"
"drqid13","bgrid12126"
"drqid13","bgrid9189"
"drqid13","bgrid11217"
"drqid13","bgrid11416"
"drqid13","bgrid1575"
"drqid13","bgrid9833"
"drqid13","bgrid11901"
"drqid13","bgrid5278"
"drqid13","bgrid6643"
"drqid13","bgrid8966"
"drqid13","bgrid9235"
"drqid13","bgrid10945"
"drqid13","bgrid11411"
"drqid14","bgrid2674"
"drqid14","bgrid5522"
"drqid14","bgrid165"
"drqid14","bgrid10564"
"drqid14","bgrid1230"
"drqid14","bgrid7977"
"drqid14","bgrid8960"
"drqid15","bgrid2195"
"drqid15","bgrid2376"
"drqid15","bgrid3245"
"drqid15","bgrid5480"
"drqid15","bgrid9407"
"drqid15","bgrid81"
"drqid15","bgrid1163"
"drqid15","bgrid6933"
"drqid15","bgrid12144"
"drqid16","bgrid4923"
"drqid16","bgrid6367"
"drqid16","bgrid7816"
"drqid16","bgrid8271"
"drqid17","bgrid103"
"drqid17","bgrid4668"
"drqid17","bgrid2477"
"drqid17","bgrid5899"
"drqid17","bgrid6182"
"drqid17","bgrid11371"
"drqid19","bgrid10575"
"drqid19","bgrid11049"
"drqid19","bgrid11028"
"drqid19","bgrid6569"
"drqid19","bgrid3041"
"drqid19","bgrid5433"
"drqid19","bgrid6920"
"drqid19","bgrid8287"
"drqid19","bgrid9459"
"drqid19","bgrid9744"
"drqid19","bgrid10310"
"drqid19","bgrid2357"
"drqid19","bgrid3148"
"drqid19","bgrid5364"
"drqid19","bgrid5598"
"drqid19","bgrid11043"
"drqid19","bgrid7403"
"drqid19","bgrid12326"
"drqid20","bgrid2087"
"drqid20","bgrid2575"
"drqid20","bgrid4385"
"drqid20","bgrid11379"
"drqid20","bgrid8666"
"drqid20","bgrid4297"
"drqid22","bgrid5617"
"drqid22","bgrid8335"
"drqid22","bgrid5254"
"drqid23","bgrid6948"
"drqid23","bgrid8545"
"drqid23","bgrid2002"
"drqid23","bgrid3447"
"drqid23","bgrid9758"
"drqid23","bgrid4469"
"drqid23","bgrid5217"
"drqid24","bgrid3165"
"drqid24","bgrid5867"
"drqid25","bgrid507"
"drqid25","bgrid7153"
"drqid25","bgrid11247"
"drqid25","bgrid9587"
"drqid25","bgrid3607"
"drqid25","bgrid7335"
"drqid25","bgrid9768"
"drqid26","bgrid3943"
"drqid26","bgrid5793"
"drqid26","bgrid1329"
"drqid26","bgrid4386"
"drqid26","bgrid7472"
"drqid26","bgrid8451"
"drqid28","bgrid2438"
"drqid28","bgrid7673"
"drqid28","bgrid9925"
"drqid28","bgrid3266"
"drqid28","bgrid3268"
"drqid28","bgrid9637"
"drqid29","bgrid870"
"drqid29","bgrid12943"
"drqid29","bgrid5714"
"drqid29","bgrid8381"
"drqid30","bgrid1176"
"drqid30","bgrid1683"
"drqid30","bgrid2445"
"drqid30","bgrid3309"
"drqid30","bgrid8969"
"drqid30","bgrid12480"
"drqid31","bgrid4197"
"drqid31","bgrid7826"
"drqid31","bgrid8930"
"drqid31","bgrid6712"
"drqid31","bgrid11866"
"drqid31","bgrid11274"
"drqid31","bgrid12516"
"drqid32","bgrid7068"
"drqid32","bgrid9194"
"drqid32","bgrid1141"
"drqid32","bgrid1491"
"drqid32","bgrid2618"
"drqid32","bgrid8087"
"drqid32","bgrid10971"
"drqid32","bgrid4632"
"drqid32","bgrid9770"
"drqid32","bgrid9897"
"drqid32","bgrid11834"
"drqid32","bgrid2477"
"drqid32","bgrid5899"
"drqid32","bgrid6182"
"drqid32","bgrid721"
"drqid32","bgrid11360"
"drqid32","bgrid5531"
"drqid32","bgrid7299"
"drqid32","bgrid10516"
"drqid33","bgrid3705"
"drqid33","bgrid9233"
"drqid33","bgrid12604"
"drqid33","bgrid2691"
"drqid33","bgrid12973"
"drqid34","bgrid571"
"drqid34","bgrid8117"
"drqid34","bgrid7596"
"drqid34","bgrid7286"
"drqid34","bgrid3019"
"drqid34","bgrid3570"
"drqid34","bgrid1466"
"drqid34","bgrid6394"
"drqid34","bgrid4778"
"drqid34","bgrid3187"
"drqid34","bgrid8249"
"drqid34","bgrid5462"
"drqid34","bgrid8911"
"drqid34","bgrid10433"
"drqid34","bgrid5485"
"drqid34","bgrid12479"
"drqid34","bgrid1872"
"drqid34","bgrid6367"
"drqid34","bgrid5162"
"drqid34","bgrid11021"
"drqid34","bgrid7480"
"drqid34","bgrid9004"
"drqid34","bgrid199"
"drqid34","bgrid1221"
"drqid34","bgrid4459"
"drqid34","bgrid6519"
"drqid34","bgrid4526"
"drqid34","bgrid5979"
"drqid34","bgrid9501"
"drqid34","bgrid4014"
"drqid34","bgrid4780"
"drqid34","bgrid6906"
"drqid34","bgrid7430"
"drqid34","bgrid7583"
"drqid34","bgrid10454"
"drqid34","bgrid8570"
"drqid34","bgrid1832"
"drqid34","bgrid10146"
"drqid34","bgrid4361"
"drqid35","bgrid3669"
"drqid35","bgrid6579"
"drqid35","bgrid7160"
"drqid35","bgrid11524"
"drqid35","bgrid12818"
"drqid35","bgrid1609"
"drqid35","bgrid1131"
"drqid35","bgrid5423"
"drqid35","bgrid10792"
"drqid36","bgrid7935"
"drqid36","bgrid9742"
"drqid36","bgrid10392"
"drqid36","bgrid6448"
"drqid36","bgrid5225"
"drqid36","bgrid12437"
"drqid37","bgrid3695"
"drqid37","bgrid1813"
"drqid37","bgrid12816"
"drqid37","bgrid931"
"drqid37","bgrid3813"
"drqid37","bgrid8834"
"drqid38","bgrid10129"
"drqid38","bgrid1799"
"drqid38","bgrid10773"
"drqid38","bgrid2357"
"drqid38","bgrid5914"
"drqid38","bgrid4242"
"drqid38","bgrid8279"
"drqid38","bgrid8483"
"drqid38","bgrid9035"
"drqid38","bgrid6515"
"drqid38","bgrid3586"
"drqid38","bgrid5732"
"drqid38","bgrid9073"
"drqid38","bgrid11865"
"drqid38","bgrid10206"
"drqid38","bgrid2839"
"drqid38","bgrid4965"
"drqid38","bgrid9874"
"drqid38","bgrid10038"
"drqid38","bgrid12185"
"drqid38","bgrid153"
"drqid38","bgrid11572"
"drqid38","bgrid12545"
"drqid38","bgrid1105"
"drqid38","bgrid1910"
"drqid38","bgrid6344"
"drqid38","bgrid9471"
"drqid38","bgrid1238"
"drqid38","bgrid6619"
"drqid38","bgrid10715"
"drqid38","bgrid3504"
"drqid38","bgrid12268"
"drqid38","bgrid4451"
"drqid39","bgrid12180"
"drqid40","bgrid3412"
"drqid40","bgrid9219"
"drqid40","bgrid3662"
"drqid40","bgrid6719"
"drqid40","bgrid2455"
"drqid40","bgrid993"
"drqid40","bgrid3758"
"drqid41","bgrid3426"
"drqid42","bgrid2815"
"drqid42","bgrid4449"
"drqid42","bgrid5396"
"drqid42","bgrid2240"
"drqid43","bgrid4999"
"drqid43","bgrid8483"
"drqid45","bgrid6846"
"drqid45","bgrid8823"
"drqid45","bgrid1122"
"drqid45","bgrid1371"
"drqid45","bgrid2447"
"drqid45","bgrid1922"
"drqid45","bgrid2256"
"drqid45","bgrid5554"
"drqid45","bgrid6678"
"drqid46","bgrid11058"
"drqid46","bgrid10419"
"drqid46","bgrid3946"
"drqid46","bgrid10594"
"drqid46","bgrid8283"
"drqid46","bgrid6015"
"drqid46","bgrid5705"
"drqid46","bgrid5806"
"drqid46","bgrid4923"
"drqid46","bgrid6367"
"drqid46","bgrid7816"
"drqid46","bgrid8271"
"drqid46","bgrid923"
"drqid46","bgrid6261"
"drqid46","bgrid7755"
"drqid46","bgrid7899"
"drqid46","bgrid12311"
"drqid46","bgrid1666"
"drqid46","bgrid6848"
"drqid46","bgrid822"
"drqid46","bgrid4351"
"drqid47","bgrid2884"
"drqid47","bgrid3183"
"drqid47","bgrid11464"
"drqid49","bgrid9633"
"drqid49","bgrid3041"
"drqid49","bgrid3749"
"drqid50","bgrid41"
"drqid50","bgrid5931"
"drqid50","bgrid8800"
"drqid50","bgrid397"
"drqid50","bgrid602"
"drqid50","bgrid5304"
"drqid50","bgrid1565"
"drqid50","bgrid4603"
"drqid50","bgrid5731"
"drqid50","bgrid2434"
"drqid50","bgrid2747"
"drqid50","bgrid7350"
"drqid50","bgrid7737"
"drqid50","bgrid9315"
"drqid50","bgrid11532"
"drqid50","bgrid2385"
"drqid50","bgrid1635"
"drqid50","bgrid5197"
"drqid50","bgrid8676"
"drqid50","bgrid6614"
"drqid52","bgrid7822"
"drqid52","bgrid5288"
"drqid52","bgrid6894"
"drqid52","bgrid8396"
"drqid52","bgrid7346"
"drqid52","bgrid7369"
"drqid52","bgrid8137"
"drqid52","bgrid10443"
"drqid52","bgrid465"
"drqid53","bgrid3308"
"drqid53","bgrid3693"
"drqid53","bgrid8334"
"drqid53","bgrid2490"
"drqid54","bgrid2956"
"drqid54","bgrid5676"
"drqid54","bgrid11494"
"drqid54","bgrid2853"
"drqid54","bgrid9044"
"drqid54","bgrid8408"
"drqid54","bgrid11402"
"drqid54","bgrid9832"
"drqid54","bgrid12784"
"drqid55","bgrid2493"
"drqid55","bgrid6907"
"drqid55","bgrid7459"
"drqid55","bgrid5931"
"drqid55","bgrid9"
"drqid55","bgrid1317"
"drqid55","bgrid1456"
"drqid55","bgrid3919"
"drqid55","bgrid7650"
"drqid55","bgrid9675"
"drqid56","bgrid2851"
"drqid56","bgrid9948"
"drqid56","bgrid3903"
"drqid56","bgrid10671"
"drqid56","bgrid2942"
"drqid56","bgrid4839"
"drqid56","bgrid8366"
"drqid57","bgrid5370"
"drqid57","bgrid5593"
"drqid57","bgrid4897"
"drqid57","bgrid2603"
"drqid57","bgrid5080"
"drqid57","bgrid7093"
"drqid57","bgrid7731"
"drqid57","bgrid11795"
"drqid57","bgrid4969"
"drqid57","bgrid5362"
"drqid57","bgrid6421"
"drqid57","bgrid7240"
"drqid57","bgrid10446"
"drqid57","bgrid10611"
"drqid58","bgrid1065"
"drqid58","bgrid7972"
"drqid59","bgrid9643"
"drqid59","bgrid5236"
"drqid59","bgrid5628"
"drqid59","bgrid7747"
"drqid59","bgrid5910"
"drqid59","bgrid7551"
"drqid60","bgrid5490"
"drqid60","bgrid7261"
"drqid60","bgrid7729"
"drqid62","bgrid3351"
"drqid62","bgrid5558"
"drqid62","bgrid6112"
"drqid62","bgrid7776"
"drqid63","bgrid8590"
"drqid63","bgrid8836"
"drqid63","bgrid5033"
"drqid63","bgrid11267"
"drqid64","bgrid1802"
"drqid64","bgrid2330"
"drqid64","bgrid6330"
"drqid64","bgrid12828"
"drqid64","bgrid553"
"drqid64","bgrid877"
"drqid64","bgrid1691"
"drqid64","bgrid2638"
"drqid64","bgrid1269"
"drqid64","bgrid1989"
"drqid64","bgrid2273"
"drqid64","bgrid3955"
"drqid64","bgrid8347"
"drqid64","bgrid1880"
"drqid64","bgrid3039"
"drqid64","bgrid3144"
"drqid64","bgrid8388"
"drqid64","bgrid11410"
"drqid64","bgrid1004"
"drqid64","bgrid7253"
"drqid64","bgrid11453"
"drqid64","bgrid12837"
"drqid64","bgrid1832"
"drqid64","bgrid10146"
"drqid64","bgrid4241"
"drqid64","bgrid8512"
"drqid65","bgrid5877"
"drqid65","bgrid1424"
"drqid65","bgrid10099"
"drqid65","bgrid10490"
"drqid65","bgrid12725"
"drqid65","bgrid7962"
"drqid65","bgrid8237"
"drqid65","bgrid4471"
"drqid65","bgrid5592"
"drqid65","bgrid9009"
"drqid65","bgrid12607"
"drqid65","bgrid4279"
"drqid65","bgrid7254"
"drqid65","bgrid7332"
"drqid66","bgrid224"
"drqid66","bgrid244"
"drqid66","bgrid1525"
"drqid66","bgrid5132"
"drqid66","bgrid4113"
"drqid66","bgrid67"
"drqid66","bgrid3463"
"drqid66","bgrid8731"
"drqid66","bgrid6684"
"drqid66","bgrid8292"
"drqid66","bgrid8033"
"drqid66","bgrid10717"
"drqid66","bgrid159"
"drqid66","bgrid1172"
"drqid66","bgrid2881"
"drqid66","bgrid5263"
"drqid66","bgrid12326"
"drqid66","bgrid4503"
"drqid66","bgrid12862"
"drqid66","bgrid7276"
"drqid66","bgrid12997"
"drqid66","bgrid7988"
"drqid66","bgrid10266"
"drqid66","bgrid3806"
"drqid66","bgrid7085"
"drqid67","bgrid3968"
"drqid67","bgrid10381"
"drqid67","bgrid11047"
"drqid67","bgrid11240"
"drqid67","bgrid1845"
"drqid67","bgrid3064"
"drqid67","bgrid1232"
"drqid67","bgrid2894"
"drqid67","bgrid8875"
"drqid67","bgrid7252"
"drqid67","bgrid12723"
"drqid67","bgrid2090"
"drqid67","bgrid2930"
"drqid67","bgrid4046"
"drqid67","bgrid4165"
"drqid67","bgrid10479"
"drqid67","bgrid2070"
"drqid67","bgrid10709"
"drqid67","bgrid3104"
"drqid67","bgrid12469"
"drqid67","bgrid8494"
"drqid67","bgrid12175"
"drqid67","bgrid3578"
"drqid67","bgrid6187"
"drqid67","bgrid1047"
"drqid67","bgrid6685"
"drqid67","bgrid7762"
"drqid67","bgrid7382"
"drqid67","bgrid12575"
"drqid67","bgrid10108"
"drqid67","bgrid11522"
"drqid67","bgrid2318"
"drqid67","bgrid8552"
"drqid67","bgrid11094"
"drqid67","bgrid11150"
"drqid67","bgrid502"
"drqid67","bgrid2352"
"drqid67","bgrid6583"
"drqid67","bgrid9363"
"drqid67","bgrid1424"
"drqid67","bgrid1465"
"drqid67","bgrid2474"
"drqid67","bgrid4049"
"drqid67","bgrid6314"
"drqid67","bgrid7922"
"drqid67","bgrid9278"
"drqid67","bgrid12480"
"drqid67","bgrid10018"
"drqid67","bgrid3770"
"drqid68","bgrid139"
"drqid68","bgrid10610"
"drqid68","bgrid2723"
"drqid69","bgrid705"
"drqid69","bgrid7159"
"drqid69","bgrid8080"
"drqid69","bgrid1964"
"drqid69","bgrid10499"
"drqid70","bgrid364"
"drqid70","bgrid10535"
"drqid70","bgrid10977"
"drqid71","bgrid2803"
"drqid71","bgrid5838"
"drqid71","bgrid5669"
"drqid71","bgrid1717"
"drqid71","bgrid2304"
"drqid71","bgrid8872"
"drqid71","bgrid10905"
"drqid72","bgrid7630"
"drqid72","bgrid5066"
"drqid72","bgrid5081"
"drqid72","bgrid12445"
"drqid72","bgrid5016"
"drqid72","bgrid7403"
"drqid72","bgrid10243"
"drqid72","bgrid9348"
"drqid72","bgrid10369"
"drqid72","bgrid4727"
"drqid72","bgrid5371"
"drqid72","bgrid7308"
"drqid72","bgrid10245"
"drqid72","bgrid5258"
"drqid72","bgrid7276"
"drqid72","bgrid12997"
"drqid72","bgrid6813"
"drqid72","bgrid7561"
"drqid72","bgrid10831"
"drqid73","bgrid3816"
"drqid73","bgrid7849"
"drqid73","bgrid12312"
"drqid74","bgrid5204"
"drqid74","bgrid6298"
"drqid74","bgrid3113"
"drqid74","bgrid3738"
"drqid74","bgrid9530"
"drqid74","bgrid4974"
"drqid75","bgrid4046"
"drqid75","bgrid9181"
"drqid75","bgrid8494"
"drqid75","bgrid12175"
"drqid75","bgrid1487"
"drqid75","bgrid12552"
"drqid75","bgrid537"
"drqid75","bgrid11397"
"drqid75","bgrid12730"
"drqid75","bgrid920"
"drqid75","bgrid3766"
"drqid76","bgrid9006"
"drqid76","bgrid6913"
"drqid76","bgrid847"
"drqid76","bgrid2021"
"drqid76","bgrid2389"
"drqid76","bgrid3029"
"drqid76","bgrid4363"
"drqid77","bgrid9699"
"drqid77","bgrid1149"
"drqid77","bgrid1738"
"drqid78","bgrid4217"
"drqid78","bgrid8128"
"drqid78","bgrid12594"
"drqid78","bgrid7771"
"drqid78","bgrid5935"
"drqid78","bgrid8924"
"drqid79","bgrid4565"
"drqid80","bgrid3665"
"drqid80","bgrid7827"
"drqid81","bgrid3378"
"drqid81","bgrid12199"
"drqid81","bgrid1747"
"drqid81","bgrid2231"
"drqid81","bgrid1664"
"drqid81","bgrid2946"
"drqid81","bgrid6176"
"drqid81","bgrid6358"
"drqid81","bgrid1777"
"drqid81","bgrid11153"
"drqid82","bgrid1109"
"drqid82","bgrid1591"
"drqid82","bgrid3269"
"drqid82","bgrid3390"
"drqid82","bgrid9471"
"drqid82","bgrid4424"
"drqid82","bgrid11694"
"drqid82","bgrid3816"
"drqid82","bgrid2989"
"drqid82","bgrid5654"
"drqid82","bgrid11746"
"drqid82","bgrid12949"
"drqid82","bgrid2270"
"drqid82","bgrid4010"
"drqid82","bgrid7804"
"drqid82","bgrid10827"
"drqid83","bgrid555"
"drqid83","bgrid7784"
"drqid83","bgrid1250"
"drqid83","bgrid11575"
"drqid83","bgrid12767"
"drqid84","bgrid7262"
"drqid84","bgrid8163"
"drqid84","bgrid9436"
"drqid84","bgrid12319"
"drqid85","bgrid4337"
"drqid85","bgrid5155"
"drqid85","bgrid5663"
"drqid85","bgrid8501"
"drqid85","bgrid9935"
"drqid85","bgrid10081"
"drqid85","bgrid12066"
"drqid85","bgrid4792"
"drqid85","bgrid9216"
"drqid85","bgrid3129"
"drqid85","bgrid6331"
"drqid85","bgrid5066"
"drqid85","bgrid5081"
"drqid85","bgrid12445"
"drqid85","bgrid9245"
"drqid85","bgrid4668"
"drqid85","bgrid6067"
"drqid85","bgrid11610"
"drqid85","bgrid12004"
"drqid85","bgrid614"
"drqid85","bgrid10914"
"drqid85","bgrid1334"
"drqid85","bgrid1566"
"drqid85","bgrid5961"
"drqid85","bgrid8581"
"drqid85","bgrid6653"
"drqid86","bgrid4881"
"drqid87","bgrid8471"
"drqid87","bgrid8769"
"drqid87","bgrid12510"
"drqid87","bgrid1925"
"drqid87","bgrid6705"
"drqid87","bgrid8855"
"drqid87","bgrid9027"
"drqid87","bgrid9737"
"drqid87","bgrid10220"
"drqid87","bgrid532"
"drqid87","bgrid8370"
"drqid87","bgrid8578"
"drqid87","bgrid12343"
"drqid88","bgrid12771"
"drqid89","bgrid822"
"drqid89","bgrid4351"
"drqid90","bgrid410"
"drqid90","bgrid2528"
"drqid90","bgrid12686"
"drqid90","bgrid328"
"drqid90","bgrid2394"
"drqid90","bgrid3726"
"drqid90","bgrid1393"
"drqid90","bgrid11202"
"drqid90","bgrid4957"
"drqid91","bgrid5400"
"drqid91","bgrid12656"
"drqid91","bgrid1894"
"drqid91","bgrid5639"
"drqid91","bgrid12162"
"drqid91","bgrid5297"
"drqid91","bgrid5796"
"drqid91","bgrid6681"
"drqid91","bgrid10954"
"drqid91","bgrid589"
"drqid91","bgrid1363"
"drqid91","bgrid5044"
"drqid91","bgrid5147"
"drqid91","bgrid4235"
"drqid91","bgrid6526"
"drqid91","bgrid7247"
"drqid91","bgrid10097"
"drqid91","bgrid4202"
"drqid91","bgrid1737"
"drqid91","bgrid5110"
"drqid91","bgrid5153"
"drqid92","bgrid1918"
"drqid92","bgrid7026"
"drqid92","bgrid914"
"drqid92","bgrid3382"
"drqid92","bgrid9282"
"drqid92","bgrid9667"
"drqid92","bgrid890"
"drqid92","bgrid11843"
"drqid92","bgrid12734"
"drqid93","bgrid1344"
"drqid93","bgrid6710"
"drqid93","bgrid7450"
"drqid93","bgrid12384"
"drqid94","bgrid1466"
"drqid94","bgrid4519"
"drqid94","bgrid6202"
"drqid94","bgrid8265"
"drqid94","bgrid289"
"drqid94","bgrid1557"
"drqid94","bgrid1892"
"drqid94","bgrid12578"
"drqid95","bgrid6747"
"drqid95","bgrid8875"
"drqid95","bgrid9308"
"drqid95","bgrid2429"
"drqid95","bgrid2974"
"drqid95","bgrid8286"
"drqid95","bgrid11317"
"drqid96","bgrid7861"
"drqid96","bgrid11953"
"drqid96","bgrid610"
"drqid96","bgrid8680"
"drqid96","bgrid11769"
"drqid96","bgrid12307"
"drqid97","bgrid2103"
"drqid97","bgrid757"
"drqid97","bgrid2354"
"drqid97","bgrid4343"
"drqid97","bgrid8081"
"drqid97","bgrid1424"
"drqid97","bgrid1465"
"drqid97","bgrid2474"
"drqid97","bgrid4049"
"drqid97","bgrid6314"
"drqid97","bgrid7922"
"drqid97","bgrid9278"
"drqid97","bgrid12480"
"drqid98","bgrid5308"
"drqid98","bgrid6499"
"drqid98","bgrid10587"
"drqid98","bgrid3690"
"drqid98","bgrid7607"
"drqid98","bgrid2577"
"drqid98","bgrid7878"
"drqid98","bgrid8862"
"drqid99","bgrid1599"
"drqid99","bgrid7501"
"drqid99","bgrid8190"
"drqid99","bgrid2874"
"drqid99","bgrid7772"
"drqid99","bgrid12372"
"drqid99","bgrid9196"
"drqid99","bgrid11747"
"drqid99","bgrid5534"
"drqid99","bgrid12992"
"drqid99","bgrid9774"
"drqid99","bgrid11535"
"drqid99","bgrid1"
"drqid99","bgrid613"
"drqid99","bgrid819"
"drqid99","bgrid12875"
"drqid99","bgrid2409"
"drqid99","bgrid1210"
"drqid99","bgrid10551"
"drqid99","bgrid1822"
"drqid99","bgrid9705"
"drqid99","bgrid11092"
"drqid99","bgrid4392"
"drqid99","bgrid5967"
"drqid99","bgrid11405"
"drqid99","bgrid8121"
"drqid99","bgrid4380"
"drqid99","bgrid7675"
"drqid99","bgrid8150"
"drqid99","bgrid6867"
"drqid99","bgrid3411"
"drqid99","bgrid8120"
"drqid99","bgrid486"
"drqid99","bgrid576"
"drqid99","bgrid4012"
"drqid99","bgrid7395"
"drqid99","bgrid2161"
"drqid99","bgrid3069"
"drqid99","bgrid8061"
"drqid99","bgrid8761"
"drqid100","bgrid92"
"drqid100","bgrid789"
"drqid100","bgrid1447"
"drqid100","bgrid515"
"drqid100","bgrid4774"
"drqid100","bgrid5805"
"drqid100","bgrid2794"
"drqid100","bgrid7476"
"drqid100","bgrid8400"
"drqid101","bgrid3130"
"drqid101","bgrid7912"
"drqid101","bgrid41"
"drqid101","bgrid12408"
"drqid101","bgrid2386"
"drqid101","bgrid2898"
"drqid101","bgrid2936"
"drqid101","bgrid3559"
"drqid101","bgrid7216"
"drqid101","bgrid9279"
"drqid101","bgrid10102"
"drqid101","bgrid5696"
"drqid101","bgrid7487"
"drqid101","bgrid3589"
"drqid101","bgrid7437"
"drqid101","bgrid10818"
"drqid101","bgrid11775"
"drqid101","bgrid337"
"drqid101","bgrid2867"
"drqid101","bgrid4080"
"drqid101","bgrid12089"
"drqid101","bgrid6659"
"drqid102","bgrid5004"
"drqid102","bgrid8233"
"drqid102","bgrid10299"
"drqid102","bgrid12161"
"drqid102","bgrid5509"
"drqid102","bgrid10494"
"drqid102","bgrid11859"
"drqid102","bgrid9290"
"drqid102","bgrid875"
"drqid102","bgrid2360"
"drqid102","bgrid4502"
"drqid102","bgrid5705"
"drqid102","bgrid7238"
"drqid102","bgrid10475"
"drqid102","bgrid11387"
"drqid102","bgrid2766"
"drqid102","bgrid11853"
"drqid102","bgrid230"
"drqid102","bgrid2968"
"drqid102","bgrid6628"
"drqid102","bgrid9534"
"drqid102","bgrid3629"
"drqid102","bgrid7773"
"drqid102","bgrid8660"
"drqid102","bgrid11831"
"drqid102","bgrid12012"
"drqid102","bgrid6575"
"drqid102","bgrid6388"
"drqid102","bgrid5830"
"drqid102","bgrid11317"
"drqid102","bgrid513"
"drqid102","bgrid2548"
"drqid102","bgrid838"
"drqid102","bgrid3955"
"drqid102","bgrid8406"
"drqid103","bgrid5672"
"drqid103","bgrid11009"
"drqid104","bgrid8370"
"drqid104","bgrid8578"
"drqid104","bgrid12343"
"drqid105","bgrid3068"
"drqid105","bgrid5228"
"drqid105","bgrid6021"
"drqid105","bgrid6910"
"drqid105","bgrid1373"
"drqid105","bgrid4099"
"drqid105","bgrid12010"
"drqid105","bgrid12941"
"drqid106","bgrid9971"
"drqid107","bgrid2618"
"drqid107","bgrid8004"
"drqid107","bgrid3132"
"drqid107","bgrid8312"
"drqid109","bgrid12549"
"drqid109","bgrid11019"
"drqid109","bgrid12050"
"drqid109","bgrid2575"
"drqid109","bgrid3148"
"drqid109","bgrid10942"
"drqid110","bgrid850"
"drqid110","bgrid12716"
"drqid110","bgrid2039"
"drqid110","bgrid8065"
"drqid110","bgrid3113"
"drqid110","bgrid3738"
"drqid110","bgrid590"
"drqid110","bgrid11523"
"drqid111","bgrid3281"
"drqid111","bgrid6085"
"drqid111","bgrid6622"
"drqid111","bgrid6943"
"drqid111","bgrid7306"
"drqid111","bgrid9703"
"drqid111","bgrid12675"
"drqid111","bgrid4253"
"drqid111","bgrid647"
"drqid111","bgrid1114"
"drqid111","bgrid11689"
"drqid111","bgrid8146"
"drqid111","bgrid2819"
"drqid111","bgrid10372"
"drqid111","bgrid11677"
"drqid112","bgrid8344"
"drqid112","bgrid10513"
"drqid113","bgrid3254"
"drqid113","bgrid9417"
"drqid113","bgrid10788"
"drqid113","bgrid5895"
"drqid113","bgrid11055"
"drqid113","bgrid1853"
"drqid113","bgrid8361"
"drqid113","bgrid9812"
"drqid113","bgrid748"
"drqid113","bgrid1459"
"drqid113","bgrid4232"
"drqid113","bgrid6644"
"drqid113","bgrid12707"
"drqid114","bgrid5509"
"drqid114","bgrid10494"
"drqid114","bgrid2631"
"drqid114","bgrid3219"
"drqid114","bgrid9570"
"drqid114","bgrid4060"
"drqid114","bgrid6611"
"drqid114","bgrid7660"
"drqid114","bgrid5728"
"drqid114","bgrid8830"
"drqid114","bgrid10902"
"drqid114","bgrid12360"
"drqid114","bgrid6261"
"drqid114","bgrid7755"
"drqid114","bgrid7899"
"drqid114","bgrid12311"
