ssrqid,ssrqtype,ssrqdesc
ssrqid178,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid179,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid180,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid181,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid182,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid183,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid184,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid185,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid186,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid187,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid188,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid189,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid190,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid191,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid192,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid193,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid194,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid195,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid196,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid197,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid198,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid199,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid200,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid201,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid202,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid203,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid204,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid205,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid206,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid207,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid208,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid209,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid210,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid211,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid212,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid213,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid214,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid215,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid216,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid217,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid218,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid219,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid220,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid221,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid222,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid223,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid224,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid225,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid226,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid227,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid228,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid229,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid230,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid231,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid232,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid233,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid234,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid235,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid236,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid237,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid238,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
ssrqid239,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
ssrqid240,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
ssrqid241,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid242,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
ssrqid243,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
ssrqid244,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
