fltid,fltdesc,flttype
fltid84,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid85,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid86,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid87,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid88,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid89,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid90,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid91,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid92,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid93,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid94,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid95,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid96,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid97,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid98,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid99,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid100,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid101,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid102,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid103,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid104,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid105,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid106,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid107,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid108,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid109,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid110,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid111,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid112,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid113,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid114,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid115,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid116,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid117,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid118,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid119,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid120,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid121,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid122,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid123,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid124,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid125,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid126,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid127,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid128,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid129,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid130,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid131,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid132,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid133,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid134,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid135,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid136,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid137,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid138,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid139,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid140,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid141,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid142,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid143,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid144,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid145,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid146,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid147,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid148,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid149,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid150,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid151,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid152,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid153,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid154,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid155,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid156,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid157,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid158,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid159,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid160,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid161,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid162,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid163,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid164,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid165,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid166,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid167,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid168,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid169,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid170,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid171,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid172,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid173,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid174,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid175,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid176,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid177,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid178,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid179,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid180,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid181,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid182,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid183,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid184,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid185,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid186,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid187,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid188,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid189,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid190,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid191,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid192,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid193,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid194,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid195,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid196,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid197,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid198,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid199,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid200,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid201,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid202,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid203,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid204,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid205,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid206,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid207,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid208,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid209,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid210,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid211,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid212,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid213,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid214,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid215,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid216,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid217,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid218,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid219,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid220,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid221,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid222,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid223,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid224,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid225,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid226,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid227,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid228,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid229,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid230,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid231,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid232,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid233,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid234,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid235,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid236,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid237,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid238,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid239,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid240,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid241,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid242,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid243,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid244,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid245,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid246,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid247,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid248,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid249,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid250,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid251,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid252,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid253,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid254,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid255,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid256,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid257,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid258,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid259,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid260,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid261,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
fltid262,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Data problems
fltid263,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Intergration faults
fltid264,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Other faults
fltid265,The programmer was not careful and consumed more memory than the hardware has available.,Requirements faults
fltid266,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Design faults
fltid267,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Coding faults
fltid268,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Data problems
fltid269,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Intergration faults
fltid270,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Other faults
fltid271,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Requirements faults
fltid272,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Design faults
fltid273,The programmer was not careful and consumed more memory than the hardware has available.,Coding faults
fltid274,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Data problems
fltid275,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Intergration faults
fltid276,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Other faults
fltid277,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Requirements faults
fltid278,"Software fault becomes a software failure only when the exact computation conditions are met, and the faulty portion of the code is executed on the CPU.",Design faults
fltid279,"As various components in the system interact, failure of one component might introduce one or more faults in another. how’s this cyclic behavior.",Coding faults
fltid280,"During operation, maintain strict controls on the kind and quality of software that is added to the system, including updates to existing programs.",Data problems
fltid281,The programmer was not careful and consumed more memory than the hardware has available.,Intergration faults
fltid282,"The programmer attempts to point to a portion of memory that is not in its ""space"".",Other faults
fltid283,The most common causes of software failures are improper software configuration and incompatibilities between software products.,Requirements faults
fltid284,Software fault tolerance is the ability for software to detect and recover from a fault that is happening or has already happened in either the software or hardware in the system.,Design faults
fltid285,"Software faults are most often caused by design faults. Design faults occur when a designer, (in this case a programmer,) either misunderstands a specification or simply makes a mistake.",Coding faults
