drqid,drqtype,drqdesc
drqid105,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid106,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid107,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid108,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid109,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid110,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid111,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid112,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid113,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid114,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid115,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid116,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid117,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid118,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid119,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid120,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid121,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid122,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid123,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid124,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid125,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid126,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid127,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid128,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid129,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid130,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid131,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid132,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid133,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid134,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid135,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid136,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid137,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid138,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid139,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid140,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid141,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid142,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid143,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid144,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid145,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid146,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid147,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid148,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid149,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid150,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid151,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid152,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid153,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid154,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid155,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid156,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid157,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid158,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid159,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid160,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid161,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid162,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid163,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid164,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid165,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid166,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid167,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid168,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid169,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid170,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid171,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid172,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid173,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid174,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid175,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid176,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid177,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid178,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid179,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid180,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid181,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid182,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid183,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid184,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid185,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid186,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid187,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid188,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid189,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid190,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid191,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid192,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid193,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid194,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid195,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid196,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid197,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid198,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid199,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid200,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid201,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid202,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid203,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid204,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid205,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid206,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid207,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid208,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid209,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid210,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid211,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid212,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid213,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid214,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid215,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid216,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid217,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid218,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid219,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid220,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid221,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid222,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
drqid223,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid224,Adaptability ,"Define potential extension, growth, or scalability during the life of the system."
drqid225,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid226,Functional ,Describe qualitatively the system functions or tasks to be performed in operation.
drqid227,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid228,Performance ,"Define quantitatively the extent, or how well, and under what conditions a function or task is to be performed (e.g. rates, velocities). These are quantitative requirements of system performance and are verifiable individually. Note that there may be more than one performance requirement associated with a single function, functional requirement, or task."
drqid229,Usability ,"Define the quality of system use (e.g. measurable effectiveness, efficiency, and satisfaction criteria)."
drqid230,Operational ,"Define the operational conditions or properties that are required for the system to operate or exist. This type of requirement includes: human factors, ergonomics, availability, maintainability, reliability, and security."
