atid,ucid
atid33,ucid93
atid34,ucid22
atid34,ucid267
atid34,ucid306
atid34,ucid313
atid34,ucid353
atid34,ucid390
atid34,ucid397
atid34,ucid421
atid34,ucid452
atid34,ucid65
atid35,ucid100
atid35,ucid117
atid35,ucid210
atid35,ucid232
atid35,ucid301
atid35,ucid318
atid35,ucid344
atid35,ucid400
atid35,ucid406
atid35,ucid419
atid35,ucid429
atid35,ucid47
atid35,ucid494
atid35,ucid6
atid36,ucid122
atid36,ucid165
atid36,ucid199
atid36,ucid234
atid36,ucid272
atid36,ucid3
atid36,ucid366
atid36,ucid391
atid36,ucid429
atid36,ucid461
atid37,ucid11
atid37,ucid129
atid37,ucid191
atid37,ucid21
atid37,ucid220
atid37,ucid306
atid37,ucid428
atid38,ucid186
atid38,ucid275
atid38,ucid312
atid38,ucid318
atid38,ucid360
atid38,ucid63
atid39,ucid229
atid39,ucid253
atid39,ucid283
atid39,ucid291
atid39,ucid370
atid39,ucid372
atid39,ucid378
atid39,ucid407
atid39,ucid440
atid39,ucid449
atid39,ucid83
atid40,ucid174
atid40,ucid212
atid40,ucid249
atid40,ucid281
atid40,ucid292
atid40,ucid395
atid40,ucid405
atid40,ucid410
atid40,ucid51
atid40,ucid60
atid40,ucid91
atid41,ucid168
atid41,ucid186
atid41,ucid318
atid41,ucid329
atid41,ucid333
atid41,ucid364
atid41,ucid375
atid41,ucid398
atid41,ucid399
atid41,ucid45
atid41,ucid461
atid41,ucid489
atid42,ucid212
atid42,ucid243
atid42,ucid246
atid42,ucid311
atid42,ucid324
atid42,ucid337
atid42,ucid393
atid42,ucid397
atid42,ucid407
atid42,ucid463
atid42,ucid495
atid43,ucid110
atid43,ucid180
atid43,ucid216
atid43,ucid229
atid43,ucid248
atid43,ucid344
atid43,ucid352
atid43,ucid360
atid43,ucid366
atid43,ucid396
atid43,ucid415
atid44,ucid147
atid44,ucid311
atid44,ucid7
atid45,ucid110
atid45,ucid145
atid45,ucid163
atid45,ucid188
atid45,ucid198
atid45,ucid290
atid45,ucid314
atid45,ucid329
atid45,ucid358
atid45,ucid375
atid45,ucid382
atid45,ucid446
atid45,ucid500
atid45,ucid75
atid46,ucid118
atid46,ucid127
atid46,ucid129
atid46,ucid195
atid46,ucid220
atid46,ucid255
atid46,ucid374
atid46,ucid387
atid46,ucid403
atid46,ucid419
atid46,ucid438
atid46,ucid466
atid46,ucid81
atid47,ucid105
atid47,ucid125
atid47,ucid163
atid47,ucid189
atid47,ucid24
atid47,ucid261
atid47,ucid307
atid47,ucid364
atid47,ucid379
atid47,ucid451
atid47,ucid61
atid47,ucid94
atid48,ucid134
atid48,ucid223
atid48,ucid392
atid48,ucid448
atid49,ucid158
atid49,ucid196
atid49,ucid232
atid49,ucid312
atid49,ucid383
atid49,ucid389
atid49,ucid423
atid49,ucid44
atid49,ucid447
atid49,ucid480
atid49,ucid59
atid49,ucid69
atid49,ucid92
atid50,ucid1
atid50,ucid253
atid50,ucid267
atid50,ucid289
atid50,ucid363
atid50,ucid38
atid50,ucid447
atid50,ucid454
atid50,ucid472
atid50,ucid51
