clsid,clsdesc,CLSAUTHOR,clsstartdate,clsversion,clsclasses
clsid38,Codes related to other Child Care services,Caleb2,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\NopCacheProvider.java
clsid39,Codes related to other Child Care services,Caleb1,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\OHCProvider.java
clsid40,Codes for child support services,Caleb2,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RefCountedMemory.java
clsid41,Codes related to other Child Care services,Caleb1,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheKey.java
clsid42,Codes for Juvenile Justice (Youth Aids) services,Caleb1,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheSentinel.java
clsid43,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\SerializingCache.java
clsid44,Used for the majority of grant programs processed in CORe,Caleb31,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\SerializingCacheProvider.java
clsid45,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\client\RingCache.java
clsid46,Used for the majority of grant programs processed in CORe,Caleb2,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\AbstractTracingAwareExecutorService.java
clsid47,Used for the majority of grant programs processed in CORe,Caleb2,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\DebuggableScheduledThreadPoolExecutor.java
clsid48,Codes for child support services,Caleb1,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\DebuggableThreadPoolExecutor.java
clsid49,Codes for Juvenile Justice (Youth Aids) services,Caleb25,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutor.java
clsid50,Codes related to other Child Care services,Caleb1,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutorMBean.java
clsid51,Codes for child support services,Caleb2,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledScheduledThreadPoolExecutor.java
clsid52,Codes for child support services,Caleb1,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledScheduledThreadPoolExecutorMBean.java
clsid53,Codes related to County and Tribe Child Care services,Caleb26,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledThreadPoolExecutor.java
clsid54,Used for the majority of grant programs processed in CORe,Caleb1,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledThreadPoolExecutorMBean.java
clsid55,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\NamedThreadFactory.java
clsid56,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\ScheduledExecutors.java
clsid57,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb39,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SEPExecutor.java
clsid58,Codes for child support services,Caleb2,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SEPWorker.java
clsid59,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SharedExecutorPool.java
clsid60,Codes for Juvenile Justice (Youth Aids) services,Caleb37,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\Stage.java
clsid61,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\StageManager.java
clsid62,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\TracingAwareExecutorService.java
clsid63,Codes related to County and Tribe Child Care services,Caleb2,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\CFMetaData.java
clsid64,Codes related to County and Tribe Child Care services,Caleb27,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ColumnDefinition.java
clsid65,Codes for child support services,Caleb26,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\Config.java
clsid66,Codes for child support services,Caleb36,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ConfigurationLoader.java
clsid67,Codes related to State County Contract  for Human or Social  Services contracts,Caleb37,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\DatabaseDescriptor.java
clsid68,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb46,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\EncryptionOptions.java
clsid69,Codes for Juvenile Justice (Youth Aids) services,Caleb25,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\IndexType.java
clsid70,Codes for child support services,Caleb2,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\KSMetaData.java
clsid71,Codes related to other Child Care services,Caleb2,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ParameterizedClass.java
clsid72,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ReadRepairDecision.java
clsid73,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb21,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\RequestSchedulerOptions.java
clsid74,Codes for Juvenile Justice (Youth Aids) services,Caleb25,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\Schema.java
clsid75,Codes related to County and Tribe Child Care services,Caleb5,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\TriggerDefinition.java
clsid76,Codes related to County and Tribe Child Care services,Caleb33,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\UTMetaData.java
clsid77,Codes related to State County Contract  for Human or Social  Services contracts,Caleb25,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\YamlConfigurationLoader.java
clsid78,Codes related to other Child Care services,Caleb2,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\AbstractMarker.java
clsid79,Codes related to County and Tribe Child Care services,Caleb1,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\AssignmentTestable.java
clsid80,Codes for child support services,Caleb1,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Attributes.java
clsid81,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\BatchQueryOptions.java
clsid82,Codes for Juvenile Justice (Youth Aids) services,Caleb2,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CFName.java
clsid83,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnCondition.java
clsid84,Codes related to other Child Care services,Caleb2,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnIdentifier.java
clsid85,Used for the majority of grant programs processed in CORe,Caleb10,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnSpecification.java
clsid86,Codes for child support services,Caleb1,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Constants.java
clsid87,Codes for child support services,Caleb36,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQL3Row.java
clsid88,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQL3Type.java
clsid89,Codes for child support services,Caleb2,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQLStatement.java
clsid90,Codes for Juvenile Justice (Youth Aids) services,Caleb22,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CustomPayloadMirroringQueryHandler.java
clsid91,Codes for Juvenile Justice (Youth Aids) services,Caleb24,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ErrorCollector.java
clsid92,Codes related to County and Tribe Child Care services,Caleb2,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ErrorListener.java
clsid93,Used for the majority of grant programs processed in CORe,Caleb2,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\AbstractFunction.java
clsid94,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\AggregateFcts.java
clsid95,Codes for Juvenile Justice (Youth Aids) services,Caleb2,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\AggregateFunction.java
clsid96,Codes for Juvenile Justice (Youth Aids) services,Caleb1,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\BytesConversionFcts.java
clsid97,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\FromJsonFct.java
clsid98,Codes for child support services,Caleb1,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\Function.java
clsid99,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb42,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\FunctionCall.java
clsid100,Used for the majority of grant programs processed in CORe,Caleb1,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\FunctionName.java
clsid101,Codes for child support services,Caleb1,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\Functions.java
clsid102,Codes related to other Child Care services,Caleb2,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\JavaSourceUDFFactory.java
clsid103,Used for the majority of grant programs processed in CORe,Caleb2,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\NativeAggregateFunction.java
clsid104,Used for the majority of grant programs processed in CORe,Caleb1,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\NativeFunction.java
clsid105,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb4,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\NativeScalarFunction.java
clsid106,Codes related to other Child Care services,Caleb2,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\ScalarFunction.java
clsid107,Used for the majority of grant programs processed in CORe,Caleb2,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\ScriptBasedUDF.java
clsid108,Codes related to other Child Care services,Caleb1,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\TimeFcts.java
clsid109,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\ToJsonFct.java
clsid110,Codes for Juvenile Justice (Youth Aids) services,Caleb1,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\TokenFct.java
clsid111,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UDAggregate.java
clsid112,Codes related to State County Contract  for Human or Social  Services contracts,Caleb21,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UDFunction.java
clsid113,Used for the majority of grant programs processed in CORe,Caleb16,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UDHelper.java
clsid114,Codes related to County and Tribe Child Care services,Caleb2,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UuidFcts.java
clsid115,Codes related to other Child Care services,Caleb2,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\IndexName.java
clsid116,Used for the majority of grant programs processed in CORe,Caleb1,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Json.java
clsid117,Codes related to other Child Care services,Caleb2,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\KeyspaceElementName.java
clsid118,Codes related to other Child Care services,Caleb1,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Lists.java
clsid119,Codes for child support services,Caleb2,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Maps.java
clsid120,Used for the majority of grant programs processed in CORe,Caleb1,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\MultiColumnRelation.java
clsid121,Codes related to County and Tribe Child Care services,Caleb1,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Operation.java
clsid122,Codes for Juvenile Justice (Youth Aids) services,Caleb2,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Operator.java
clsid123,Codes for Juvenile Justice (Youth Aids) services,Caleb1,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\QueryHandler.java
clsid124,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb15,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\QueryOptions.java
clsid125,Codes related to other Child Care services,Caleb30,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\QueryProcessor.java
clsid126,Codes related to other Child Care services,Caleb1,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Relation.java
clsid127,Codes related to other Child Care services,Caleb1,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\AbstractPrimaryKeyRestrictions.java
clsid128,Codes related to other Child Care services,Caleb2,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\AbstractRestriction.java
clsid129,Codes related to County and Tribe Child Care services,Caleb2,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\ForwardingPrimaryKeyRestrictions.java
clsid130,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\MultiColumnRestriction.java
clsid131,Codes related to other Child Care services,Caleb23,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\PrimaryKeyRestrictions.java
clsid132,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb40,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\PrimaryKeyRestrictionSet.java
clsid133,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\Restriction.java
clsid134,Codes related to other Child Care services,Caleb5,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\Restrictions.java
clsid135,Codes for Juvenile Justice (Youth Aids) services,Caleb36,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\RestrictionSet.java
clsid136,Codes related to County and Tribe Child Care services,Caleb35,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\ReversedPrimaryKeyRestrictions.java
clsid137,Codes for Juvenile Justice (Youth Aids) services,Caleb1,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\SingleColumnRestriction.java
clsid138,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\StatementRestrictions.java
clsid139,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb7,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\TermSlice.java
clsid140,Codes for child support services,Caleb1,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\TokenFilter.java
clsid141,Used for the majority of grant programs processed in CORe,Caleb1,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\TokenRestriction.java
clsid142,Used for the majority of grant programs processed in CORe,Caleb2,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ResultSet.java
clsid143,Codes for child support services,Caleb1,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\RoleName.java
clsid144,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\AbstractFunctionSelector.java
clsid145,Codes related to other Child Care services,Caleb1,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\AggregateFunctionSelector.java
clsid146,Codes related to other Child Care services,Caleb1,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\FieldSelector.java
clsid147,Codes for Juvenile Justice (Youth Aids) services,Caleb11,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\RawSelector.java
clsid148,Codes for Juvenile Justice (Youth Aids) services,Caleb42,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\ScalarFunctionSelector.java
clsid149,Codes related to other Child Care services,Caleb1,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\Selectable.java
clsid150,Codes for Juvenile Justice (Youth Aids) services,Caleb34,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\Selection.java
clsid151,Codes for child support services,Caleb19,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\SelectionColumnMapping.java
clsid152,Codes related to County and Tribe Child Care services,Caleb2,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\SelectionColumns.java
clsid153,Used for the majority of grant programs processed in CORe,Caleb42,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\Selector.java
clsid154,Codes related to other Child Care services,Caleb2,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\SelectorFactories.java
clsid155,Codes related to County and Tribe Child Care services,Caleb41,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\SimpleSelector.java
clsid156,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\WritetimeOrTTLSelector.java
clsid157,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Sets.java
clsid158,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\SingleColumnRelation.java
clsid159,Codes related to other Child Care services,Caleb1,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\AlterKeyspaceStatement.java
