ucid,ucpactor,uctitle,ucdesc
ucid66,ICE app,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid67,Clinician,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid68,Clinician or APP,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid69,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid70,Clinician,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid71,Patient,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid72,Clinician,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid73,ICE app,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid74,Clinician,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid75,Clinician or APP,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid76,Clinician,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid77,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid78,Patient,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid79,Clinician,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid80,ICE app,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid81,Clinician,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid82,Clinician or APP,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid83,Clinician,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid84,Clinician,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid85,Patient,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid86,Clinician,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid87,ICE app,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid88,Clinician,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid89,Clinician or APP,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid90,Clinician,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid91,Clinician,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid92,Patient,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid93,Clinician,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid94,ICE app,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid95,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid96,Clinician or APP,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid97,Clinician,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid98,Clinician,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid99,Patient,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid100,Clinician,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid101,ICE app,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid102,Clinician,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid103,Clinician or APP,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid104,Clinician,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid105,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid106,Patient,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid107,Clinician,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid108,ICE app,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid109,Clinician,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid110,Clinician or APP,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid111,Clinician,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid112,Clinician,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid113,Patient,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid114,Clinician,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid115,ICE app,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid116,Clinician,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid117,Clinician or APP,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid118,Clinician,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid119,Clinician,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid120,Patient,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid121,Clinician,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid122,ICE app,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid123,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid124,Clinician or APP,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid125,Clinician,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid126,Clinician,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid127,Patient,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid128,Clinician,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid129,ICE app,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid130,Clinician,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid131,Clinician or APP,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid132,Clinician,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid133,Clinician,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid134,Patient,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid135,Clinician,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid136,ICE app,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid137,Clinician,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid138,Clinician or APP,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid139,Clinician,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid140,Clinician,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid141,Patient,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid142,Clinician,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid143,ICE app,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid144,Clinician,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid145,Clinician or APP,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid146,Clinician,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid147,Clinician,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid148,Patient,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid149,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid150,ICE app,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid151,Clinician,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid152,Clinician or APP,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid153,Clinician,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid154,Clinician,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid155,Patient,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid156,Clinician,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid157,ICE app,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid158,Clinician,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid159,Clinician or APP,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid160,Clinician,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid161,Clinician,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid162,Patient,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid163,Clinician,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid164,ICE app,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid165,Clinician,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid166,Clinician or APP,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid167,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid168,Clinician,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid169,Patient,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid170,Clinician,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid171,ICE app,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid172,Clinician,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid173,Clinician or APP,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid174,Clinician,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid175,Clinician,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid176,Patient,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid177,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid178,ICE app,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid179,Clinician,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid180,Clinician or APP,Prime Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid181,Clinician,normal Operation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid182,Clinician,Patient-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid183,Patient,Clinician-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid184,Clinician,ICE-Dectected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid185,ICE app,Resume Operation After ICE-Dected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid186,Clinician,ICE-initiated Audible Alarm Inactivation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid187,Clinician or APP,Resume Infusion,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid188,Clinician,Flush Pump,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid189,Clinician,Prime Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid190,Patient,normal Operation,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid191,Clinician,Patient-Requested Bolus,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid192,ICE app,Clinician-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid193,Clinician,ICE-Dectected Hazard,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid194,Clinician or APP,Resume Operation After ICE-Dected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid195,Clinician,ICE-initiated Audible Alarm Inactivation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid196,Clinician,Resume Infusion,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid197,Patient,Flush Pump,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid198,Clinician,Prime Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid199,ICE app,normal Operation,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid200,Clinician,Patient-Requested Bolus,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid201,Clinician or APP,Clinician-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid202,Clinician,ICE-Dectected Hazard,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid203,Clinician,Resume Operation After ICE-Dected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid204,Patient,ICE-initiated Audible Alarm Inactivation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid205,Clinician,Resume Infusion,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid206,ICE app,Flush Pump,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid207,Clinician,Prime Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid208,Clinician or APP,normal Operation,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid209,Clinician,Patient-Requested Bolus,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid210,Clinician,Clinician-Requested Bolus,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid211,Patient,ICE-Dectected Hazard,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
ucid212,Clinician,Resume Operation After ICE-Dected Hazard,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
ucid213,ICE app,ICE-initiated Audible Alarm Inactivation,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.
ucid214,Clinician,Resume Infusion,"""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
ucid215,Clinician or APP,Flush Pump,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)
