"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP145","Drug Libary Thread","Performs primary pump operation"
"CP146","Event Logger Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP147","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP148","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP149","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP150","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP151","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP152","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP153","Drug Reservoir","The patient should receive enough drug to relieve the pain."
"CP154","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP155","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP156","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP157","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP158","Pump fault manager","The patient should not receive so much drug that makes him unaware"
"CP159","Error Dector","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP160","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP161","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP162","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP163","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP164","Commands","Performs primary pump operation"
"CP165","Parameters","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP166","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP167","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP168","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP169","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP170","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP171","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP172","Drug Libary Thread","The patient should receive enough drug to relieve the pain."
"CP173","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP174","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP175","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP176","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP177","Pump","The patient should not receive so much drug that makes him unaware"
"CP178","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP179","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP180","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP181","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP182","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP183","Failture LED","Performs primary pump operation"
"CP184","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP185","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP186","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP187","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP188","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP189","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP190","ICE Bus Adapter","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP191","Commands","The patient should receive enough drug to relieve the pain."
"CP192","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP193","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP194","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP195","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP196","Control Panel","The patient should not receive so much drug that makes him unaware"
"CP197","Operation Process","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP198","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP199","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP200","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP201","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP202","Security Subsystem","Performs primary pump operation"
"CP203","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP204","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP205","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP206","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP207","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP208","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP209","Safety","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP210","Failture LED","The patient should receive enough drug to relieve the pain."
"CP211","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP212","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP213","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP214","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP215","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP216","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP217","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP218","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP219","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP220","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP221","Alarms","Performs primary pump operation"
"CP222","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP223","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP224","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP225","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP226","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP227","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP228","Scanner","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP229","Security Subsystem","The patient should receive enough drug to relieve the pain."
"CP230","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP231","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP232","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP233","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP234","Drug Reservoir","The patient should not receive so much drug that makes him unaware"
"CP235","Patient Button","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP236","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP237","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP238","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP239","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP240","Error Dector","Performs primary pump operation"
"CP241","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP242","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP243","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP244","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP245","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP246","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP247","Security Status","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP248","Alarms","The patient should receive enough drug to relieve the pain."
"CP249","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP250","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP251","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP252","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP253","Drug Libary Thread","The patient should not receive so much drug that makes him unaware"
"CP254","Event Logger Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP255","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP256","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP257","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP258","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP259","Upstream Monitor","Performs primary pump operation"
"CP260","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP261","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP262","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP263","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP264","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP265","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP266","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP267","Error Dector","The patient should receive enough drug to relieve the pain."
"CP268","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP269","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP270","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP271","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP272","Commands","The patient should not receive so much drug that makes him unaware"
"CP273","Parameters","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP274","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP275","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP276","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP277","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP278","Operation Process","Performs primary pump operation"
"CP279","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP280","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP281","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP282","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP283","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP284","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP285","Pump","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP286","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"CP287","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP288","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP289","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP290","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP291","Failture LED","The patient should not receive so much drug that makes him unaware"
"CP292","Alarm Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP293","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP294","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP295","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP296","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP297","Downstream Monitor","Performs primary pump operation"
"CP298","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP299","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP300","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP301","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP302","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP303","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP304","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP305","Operation Process","The patient should receive enough drug to relieve the pain."
"CP306","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP307","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP308","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP309","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP310","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"CP311","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP312","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP313","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP314","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP315","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP316","Patient Button","Performs primary pump operation"
"CP317","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP318","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP319","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP320","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP321","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP322","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP323","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP324","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"CP325","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP326","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP327","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP328","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP329","Alarms","The patient should not receive so much drug that makes him unaware"
"CP330","Power Control","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP331","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP332","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP333","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP334","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP335","Event Logger Thread","Performs primary pump operation"
"CP336","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP337","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP338","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP339","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP340","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP341","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP342","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP343","Patient Button","The patient should receive enough drug to relieve the pain."
"CP344","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP345","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP346","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP347","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP348","Error Dector","The patient should not receive so much drug that makes him unaware"
"CP349","Fault Logger","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP350","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP351","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP352","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
