"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP170","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP171","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP172","Pump fault manager","Performs primary pump operation"
"SCP173","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP174","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP175","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP176","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP177","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP178","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP179","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP180","Drug Reservoir","The patient should receive enough drug to relieve the pain."
"SCP181","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP182","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP183","Failture LED","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP184","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP185","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP186","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP187","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP188","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP189","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP190","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP191","Operation Thread","The patient should not receive so much drug that makes him unaware"
"SCP192","Drug Libary Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP193","Event Logger Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP194","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP195","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP196","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP197","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"SCP198","Error Dector","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP199","Fault Logger","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP200","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP201","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP202","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP203","Commands","Performs primary pump operation"
"SCP204","Parameters","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP205","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP206","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP207","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP208","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP209","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP210","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP211","Operation Process","The patient should receive enough drug to relieve the pain."
"SCP212","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP213","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP214","Drug Reservoir","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP215","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP216","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP217","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP218","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP219","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP220","Security Status","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP221","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP222","Power Control","The patient should not receive so much drug that makes him unaware"
"SCP223","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP224","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP225","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP226","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP227","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP228","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"SCP229","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP230","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP231","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP232","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP233","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP234","Upstream Monitor","Performs primary pump operation"
"SCP235","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP236","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP237","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP238","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP239","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP240","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP241","Security Status","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP242","Alarms","The patient should receive enough drug to relieve the pain."
"SCP243","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP244","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP245","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP246","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP247","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP248","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP249","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"SCP250","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP251","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP252","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP253","Pump fault manager","The patient should not receive so much drug that makes him unaware"
"SCP254","Security Status","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP255","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP256","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP257","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP258","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP259","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP260","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP261","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP262","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP263","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP264","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP265","Pump","Performs primary pump operation"
"SCP266","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP267","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP268","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP269","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP270","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP271","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP272","Parameters","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP273","Alarm Thread","The patient should receive enough drug to relieve the pain."
"SCP274","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP275","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP276","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP277","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP278","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP279","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP280","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP281","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP282","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP283","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"SCP284","Safety","The patient should not receive so much drug that makes him unaware"
"SCP285","Failture LED","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP286","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP287","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP288","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP289","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP290","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP291","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP292","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP293","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP294","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP295","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP296","Scanner","Performs primary pump operation"
"SCP297","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP298","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP299","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP300","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP301","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP302","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP303","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP304","ICE Bus Adapter","The patient should receive enough drug to relieve the pain."
"SCP305","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP306","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP307","Alarm Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP308","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP309","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP310","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP311","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"SCP312","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP313","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP314","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP315","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"SCP316","Drug Reservoir","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP317","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP318","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP319","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP320","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP321","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP322","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP323","Alarms","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP324","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP325","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP326","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
