"CLASSNAME","DESCRIPTION","CREATEDBY","CREATEDON","VERSION","CLASSES"
"PCA12","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-10","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IAuthorizer.java"
"PCA13","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-10","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IInternodeAuthenticator.java"
"PCA14","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-10","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IResource.java"
"PCA15"," ","Alex","2016-07-10","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\IRoleManager.java"
"PCA16","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-10","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PasswordAuthenticator.java"
"PCA17","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-10","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Permission.java"
"PCA18","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-10","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionDetails.java"
"PCA19","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-10","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionsCache.java"
"PCA20"," ","Alex","2016-07-10","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\PermissionsCacheMBean.java"
"PCA21","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-10","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Resources.java"
"PCA22","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-09","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RoleOptions.java"
"PCA23","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-09","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RoleResource.java"
"PCA24","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-09","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\Roles.java"
"PCA25"," ","Caleb","2016-07-09","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCache.java"
"PCA26","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-09","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCacheMBean.java"
"PCA27","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-09","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\AutoSavingCache.java"
"PCA28","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-09","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheKey.java"
"PCA29","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-09","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CacheProvider.java"
"PCA30"," ","Caleb","2016-07-09","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CachingOptions.java"
"PCA31","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-09","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ConcurrentLinkedHashCache.java"
"PCA32","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-09","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\CounterCacheKey.java"
"PCA33","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-09","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\ICache.java"
"PCA34","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-08","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\IMeasurableMemory.java"
"PCA35"," ","Alex","2016-07-08","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\InstrumentingCache.java"
"PCA36","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-08","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\IRowCacheEntry.java"
"PCA37","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-08","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\KeyCacheKey.java"
"PCA38","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-08","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\NopCacheProvider.java"
"PCA39","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-08","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\OHCProvider.java"
"PCA40"," ","Alex","2016-07-08","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RefCountedMemory.java"
"PCA41","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-08","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheKey.java"
"PCA42","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-08","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\RowCacheSentinel.java"
"PCA43","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-08","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\SerializingCache.java"
"PCA44","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-08","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cache\SerializingCacheProvider.java"
"PCA45"," ","Caleb","2016-07-08","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\client\RingCache.java"
"PCA46","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-07","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\AbstractTracingAwareExecutorService.java"
"PCA47","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-07","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\DebuggableScheduledThreadPoolExecutor.java"
"PCA48","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-07","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\DebuggableThreadPoolExecutor.java"
"PCA49","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-07","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutor.java"
"PCA50"," ","Caleb","2016-07-07","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXConfigurableThreadPoolExecutorMBean.java"
"PCA51","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-07","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledScheduledThreadPoolExecutor.java"
"PCA52","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-07","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledScheduledThreadPoolExecutorMBean.java"
"PCA53","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-07","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledThreadPoolExecutor.java"
"PCA54","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-07","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\JMXEnabledThreadPoolExecutorMBean.java"
"PCA55"," ","Alex","2016-07-07","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\NamedThreadFactory.java"
"PCA56","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-07","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\ScheduledExecutors.java"
"PCA57","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-07","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SEPExecutor.java"
"PCA58","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-06","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SEPWorker.java"
"PCA59","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-06","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\SharedExecutorPool.java"
"PCA60"," ","Alex","2016-07-06","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\Stage.java"
"PCA61","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-06","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\StageManager.java"
"PCA62","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-06","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\concurrent\TracingAwareExecutorService.java"
"PCA63","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-06","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\CFMetaData.java"
"PCA64","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-06","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ColumnDefinition.java"
"PCA65"," ","Caleb","2016-07-06","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\Config.java"
"PCA66","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-06","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ConfigurationLoader.java"
"PCA67","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-06","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\DatabaseDescriptor.java"
"PCA68","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-06","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\EncryptionOptions.java"
"PCA69","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-06","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\IndexType.java"
"PCA70"," ","Caleb","2016-07-05","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\KSMetaData.java"
"PCA71","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-05","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ParameterizedClass.java"
"PCA72","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-05","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\ReadRepairDecision.java"
"PCA73","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-05","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\RequestSchedulerOptions.java"
"PCA74","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-05","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\Schema.java"
"PCA75"," ","Alex","2016-07-05","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\TriggerDefinition.java"
"PCA76","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-05","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\UTMetaData.java"
"PCA77","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-05","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\YamlConfigurationLoader.java"
"PCA78","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-05","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\AbstractMarker.java"
"PCA79","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-05","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\AssignmentTestable.java"
"PCA80"," ","Alex","2016-07-05","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Attributes.java"
"PCA81","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-05","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\BatchQueryOptions.java"
"PCA82","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-04","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CFName.java"
"PCA83","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-04","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnCondition.java"
"PCA84","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-04","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnIdentifier.java"
"PCA85"," ","Caleb","2016-07-04","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ColumnSpecification.java"
"PCA86","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-04","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Constants.java"
"PCA87","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-04","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQL3Row.java"
"PCA88","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-04","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQL3Type.java"
"PCA89","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-04","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CQLStatement.java"
"PCA90"," ","Caleb","2016-07-04","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\CustomPayloadMirroringQueryHandler.java"
"PCA91","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-04","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ErrorCollector.java"
"PCA92","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-04","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\ErrorListener.java"
"PCA93","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-04","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\AbstractFunction.java"
"PCA94","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-03","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\AggregateFcts.java"
"PCA95"," ","Alex","2016-07-03","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\AggregateFunction.java"
"PCA96","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-03","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\BytesConversionFcts.java"
"PCA97","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-03","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\FromJsonFct.java"
"PCA98","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-03","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\Function.java"
"PCA99","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-03","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\FunctionCall.java"
"PCA100"," ","Alex","2016-07-03","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\FunctionName.java"
"PCA101","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-03","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\Functions.java"
"PCA102","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-03","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\JavaSourceUDFFactory.java"
"PCA103","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-03","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\NativeAggregateFunction.java"
"PCA104","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-03","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\NativeFunction.java"
"PCA105"," ","Caleb","2016-07-03","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\NativeScalarFunction.java"
"PCA106","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-02","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\ScalarFunction.java"
"PCA107","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-02","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\ScriptBasedUDF.java"
"PCA108","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-02","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\TimeFcts.java"
"PCA109","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-02","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\ToJsonFct.java"
"PCA110"," ","Caleb","2016-07-02","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\TokenFct.java"
"PCA111","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-02","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UDAggregate.java"
"PCA112","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-02","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UDFunction.java"
"PCA113","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-02","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UDHelper.java"
"PCA114","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-02","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\UuidFcts.java"
"PCA115"," ","Alex","2016-07-02","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\IndexName.java"
"PCA116","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-07-02","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Json.java"
"PCA117","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-02","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\KeyspaceElementName.java"
"PCA118","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-07-01","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Lists.java"
"PCA119","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-01","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Maps.java"
"PCA120"," ","Alex","2016-07-01","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\MultiColumnRelation.java"
"PCA121","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-01","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Operation.java"
"PCA122","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Caleb","2016-07-01","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Operator.java"
"PCA123","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-01","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\QueryHandler.java"
"PCA124","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Alex","2016-07-01","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\QueryOptions.java"
"PCA125"," ","Caleb","2016-07-01","V4.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\QueryProcessor.java"
"PCA126","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Caleb","2016-07-01","V5.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Relation.java"
"PCA127","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-07-01","V6.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\AbstractPrimaryKeyRestrictions.java"
"PCA128","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Alex","2016-07-01","V7.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\AbstractRestriction.java"
"PCA129","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-07-01","V8.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\ForwardingPrimaryKeyRestrictions.java"
"PCA130"," ","Caleb","2016-06-30","V9.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\MultiColumnRestriction.java"
"PCA131","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-06-30","V10.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\PrimaryKeyRestrictions.java"
"PCA132","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft","Alex","2016-06-30","V11.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\PrimaryKeyRestrictionSet.java"
"PCA133","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)","Caleb","2016-06-30","V0.0",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\Restriction.java"
"PCA134","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.","Caleb","2016-06-30","V1.1",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\Restrictions.java"
"PCA135"," ","Alex","2016-06-30","V2.2",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\RestrictionSet.java"
"PCA136","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.","Alex","2016-06-30","V3.3",".\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\restrictions\ReversedPrimaryKeyRestrictions.java"
