"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS163","pump temperature exceeds 55 C"
"ECS164","ng drug reservoir"
"ECS165","measured flow rate exceeds setting"
"ECS166","patient not admitted to hospital"
"ECS167","drug or prescription not intended for this patient"
"ECS168","no audible alarm"
"ECS169","indication of no ICE alarms enabled"
"ECS170","Bolus request denied because minimum time between boluses had not elapsed."
"ECS171","blockage between pump and patient"
"ECS172","blockage between reservoir and pump"
"ECS173","bubble detection"
"ECS174","dose reaches maximum allowed by drug library"
"ECS175","clinician not authorized to operate pump"
"ECS176","patient not admitted to hospital"
"ECS177","the drug libary fails authenticity or integrity check"
"ECS178","basal rate or bolus VTBI exceeded soft limit"
"ECS179","measured flow rate below setting"
"ECS180","pump temperature exceeds 55 C"
"ECS181","Bolus request denied because minimum time between boluses had not elapsed."
"ECS182","blockage between pump and patient"
"ECS183","blockage between reservoir and pump"
"ECS184","bubble detection"
"ECS185","dose reaches maximum allowed by drug library"
"ECS186","clinician not authorized to operate pump"
"ECS187","basal rate or bolus VTBI exceeded hard limit"
"ECS188","power-on self test fails"
"ECS189","PCA pump detects its own failure"
"ECS190","pump fails to prime after loading drug reservoir"
"ECS191","measured flow rate exceeds setting"
"ECS192","measured flow rate below setting"
"ECS193","pump temperature exceeds 55 C"
"ECS194","ng drug reservoir"
"ECS195","measured flow rate exceeds setting"
"ECS196","patient not admitted to hospital"
"ECS197","drug or prescription not intended for this patient"
"ECS198","no audible alarm"
"ECS199","indication of no ICE alarms enabled"
"ECS200","Bolus request denied because minimum time between boluses had not elapsed."
"ECS201","blockage between pump and patient"
"ECS202","blockage between reservoir and pump"
"ECS203","bubble detection"
"ECS204","dose reaches maximum allowed by drug library"
"ECS205","clinician not authorized to operate pump"
"ECS206","patient not admitted to hospital"
"ECS207","the drug libary fails authenticity or integrity check"
"ECS208","basal rate or bolus VTBI exceeded soft limit"
"ECS209","measured flow rate below setting"
"ECS210","pump temperature exceeds 55 C"
"ECS211","Bolus request denied because minimum time between boluses had not elapsed."
"ECS212","blockage between pump and patient"
"ECS213","blockage between reservoir and pump"
"ECS214","bubble detection"
"ECS215","dose reaches maximum allowed by drug library"
"ECS216","clinician not authorized to operate pump"
"ECS217","basal rate or bolus VTBI exceeded hard limit"
"ECS218","power-on self test fails"
"ECS219","PCA pump detects its own failure"
"ECS220","pump fails to prime after loading drug reservoir"
"ECS221","measured flow rate exceeds setting"
"ECS222","measured flow rate below setting"
"ECS223","pump temperature exceeds 55 C"
"ECS224","ng drug reservoir"
"ECS225","measured flow rate exceeds setting"
"ECS226","patient not admitted to hospital"
"ECS227","drug or prescription not intended for this patient"
"ECS228","no audible alarm"
"ECS229","indication of no ICE alarms enabled"
"ECS230","Bolus request denied because minimum time between boluses had not elapsed."
"ECS231","blockage between pump and patient"
"ECS232","blockage between reservoir and pump"
"ECS233","bubble detection"
"ECS234","dose reaches maximum allowed by drug library"
"ECS235","clinician not authorized to operate pump"
"ECS236","patient not admitted to hospital"
"ECS237","the drug libary fails authenticity or integrity check"
"ECS238","basal rate or bolus VTBI exceeded soft limit"
"ECS239","measured flow rate below setting"
"ECS240","pump temperature exceeds 55 C"
"ECS241","Bolus request denied because minimum time between boluses had not elapsed."
"ECS242","blockage between pump and patient"
"ECS243","blockage between reservoir and pump"
"ECS244","bubble detection"
"ECS245","dose reaches maximum allowed by drug library"
"ECS246","clinician not authorized to operate pump"
"ECS247","basal rate or bolus VTBI exceeded hard limit"
"ECS248","power-on self test fails"
"ECS249","PCA pump detects its own failure"
"ECS250","pump fails to prime after loading drug reservoir"
"ECS251","measured flow rate exceeds setting"
"ECS252","measured flow rate below setting"
"ECS253","pump temperature exceeds 55 C"
"ECS254","ng drug reservoir"
"ECS255","measured flow rate exceeds setting"
"ECS256","patient not admitted to hospital"
"ECS257","drug or prescription not intended for this patient"
"ECS258","no audible alarm"
"ECS259","indication of no ICE alarms enabled"
"ECS260","Bolus request denied because minimum time between boluses had not elapsed."
"ECS261","blockage between pump and patient"
"ECS262","blockage between reservoir and pump"
"ECS263","bubble detection"
"ECS264","dose reaches maximum allowed by drug library"
"ECS265","clinician not authorized to operate pump"
"ECS266","patient not admitted to hospital"
"ECS267","the drug libary fails authenticity or integrity check"
"ECS268","basal rate or bolus VTBI exceeded soft limit"
"ECS269","measured flow rate below setting"
"ECS270","pump temperature exceeds 55 C"
"ECS271","Bolus request denied because minimum time between boluses had not elapsed."
"ECS272","blockage between pump and patient"
"ECS273","blockage between reservoir and pump"
"ECS274","bubble detection"
"ECS275","dose reaches maximum allowed by drug library"
"ECS276","clinician not authorized to operate pump"
"ECS277","basal rate or bolus VTBI exceeded hard limit"
"ECS278","power-on self test fails"
"ECS279","PCA pump detects its own failure"
"ECS280","pump fails to prime after loading drug reservoir"
"ECS281","measured flow rate exceeds setting"
"ECS282","measured flow rate below setting"
"ECS283","pump temperature exceeds 55 C"
"ECS284","ng drug reservoir"
"ECS285","measured flow rate exceeds setting"
"ECS286","patient not admitted to hospital"
"ECS287","drug or prescription not intended for this patient"
"ECS288","no audible alarm"
"ECS289","indication of no ICE alarms enabled"
"ECS290","Bolus request denied because minimum time between boluses had not elapsed."
"ECS291","blockage between pump and patient"
"ECS292","blockage between reservoir and pump"
"ECS293","bubble detection"
"ECS294","dose reaches maximum allowed by drug library"
"ECS295","clinician not authorized to operate pump"
"ECS296","patient not admitted to hospital"
"ECS297","the drug libary fails authenticity or integrity check"
"ECS298","basal rate or bolus VTBI exceeded soft limit"
"ECS299","measured flow rate below setting"
"ECS300","pump temperature exceeds 55 C"
"ECS301","Bolus request denied because minimum time between boluses had not elapsed."
"ECS302","blockage between pump and patient"
"ECS303","blockage between reservoir and pump"
"ECS304","bubble detection"
"ECS305","dose reaches maximum allowed by drug library"
"ECS306","clinician not authorized to operate pump"
"ECS307","basal rate or bolus VTBI exceeded hard limit"
"ECS308","power-on self test fails"
"ECS309","PCA pump detects its own failure"
"ECS310","pump fails to prime after loading drug reservoir"
"ECS311","measured flow rate exceeds setting"
"ECS312","measured flow rate below setting"
"ECS313","pump temperature exceeds 55 C"
"ECS314","ng drug reservoir"
"ECS315","measured flow rate exceeds setting"
"ECS316","patient not admitted to hospital"
"ECS317","drug or prescription not intended for this patient"
"ECS318","no audible alarm"
"ECS319","indication of no ICE alarms enabled"
"ECS320","Bolus request denied because minimum time between boluses had not elapsed."
"ECS321","blockage between pump and patient"
"ECS322","blockage between reservoir and pump"
"ECS323","bubble detection"
"ECS324","dose reaches maximum allowed by drug library"
"ECS325","clinician not authorized to operate pump"
"ECS326","patient not admitted to hospital"
"ECS327","the drug libary fails authenticity or integrity check"
"ECS328","basal rate or bolus VTBI exceeded soft limit"
"ECS329","measured flow rate below setting"
"ECS330","pump temperature exceeds 55 C"
"ECS331","Bolus request denied because minimum time between boluses had not elapsed."
"ECS332","blockage between pump and patient"
"ECS333","blockage between reservoir and pump"
"ECS334","bubble detection"
"ECS335","dose reaches maximum allowed by drug library"
"ECS336","clinician not authorized to operate pump"
"ECS337","basal rate or bolus VTBI exceeded hard limit"
"ECS338","power-on self test fails"
"ECS339","PCA pump detects its own failure"
"ECS340","pump fails to prime after loading drug reservoir"
"ECS341","measured flow rate exceeds setting"
"ECS342","measured flow rate below setting"
"ECS343","pump temperature exceeds 55 C"
"ECS344","ng drug reservoir"
"ECS345","measured flow rate exceeds setting"
"ECS346","patient not admitted to hospital"
"ECS347","drug or prescription not intended for this patient"
"ECS348","no audible alarm"
"ECS349","indication of no ICE alarms enabled"
"ECS350","Bolus request denied because minimum time between boluses had not elapsed."
"ECS351","blockage between pump and patient"
"ECS352","blockage between reservoir and pump"
"ECS353","bubble detection"
"ECS354","dose reaches maximum allowed by drug library"
"ECS355","clinician not authorized to operate pump"
"ECS356","patient not admitted to hospital"
"ECS357","the drug libary fails authenticity or integrity check"
"ECS358","basal rate or bolus VTBI exceeded soft limit"
"ECS359","measured flow rate below setting"
"ECS360","pump temperature exceeds 55 C"
"ECS361","Bolus request denied because minimum time between boluses had not elapsed."
"ECS362","blockage between pump and patient"
"ECS363","blockage between reservoir and pump"
"ECS364","bubble detection"
"ECS365","dose reaches maximum allowed by drug library"
"ECS366","clinician not authorized to operate pump"
"ECS367","basal rate or bolus VTBI exceeded hard limit"
"ECS368","power-on self test fails"
"ECS369","PCA pump detects its own failure"
"ECS370","pump fails to prime after loading drug reservoir"
"ECS371","measured flow rate exceeds setting"
"ECS372","measured flow rate below setting"
"ECS373","pump temperature exceeds 55 C"
"ECS374","ng drug reservoir"
"ECS375","measured flow rate exceeds setting"
"ECS376","patient not admitted to hospital"
"ECS377","drug or prescription not intended for this patient"
"ECS378","no audible alarm"
"ECS379","indication of no ICE alarms enabled"
"ECS380","Bolus request denied because minimum time between boluses had not elapsed."
"ECS381","blockage between pump and patient"
"ECS382","blockage between reservoir and pump"
"ECS383","bubble detection"
"ECS384","dose reaches maximum allowed by drug library"
"ECS385","clinician not authorized to operate pump"
"ECS386","patient not admitted to hospital"
"ECS387","the drug libary fails authenticity or integrity check"
"ECS388","basal rate or bolus VTBI exceeded soft limit"
"ECS389","measured flow rate below setting"
"ECS390","pump temperature exceeds 55 C"
"ECS391","Bolus request denied because minimum time between boluses had not elapsed."
"ECS392","blockage between pump and patient"
"ECS393","blockage between reservoir and pump"
"ECS394","bubble detection"
"ECS395","dose reaches maximum allowed by drug library"
"ECS396","clinician not authorized to operate pump"
"ECS397","basal rate or bolus VTBI exceeded hard limit"
"ECS398","power-on self test fails"
"ECS399","PCA pump detects its own failure"
"ECS400","pump fails to prime after loading drug reservoir"
"ECS401","measured flow rate exceeds setting"
"ECS402","measured flow rate below setting"
"ECS403","pump temperature exceeds 55 C"
"ECS404","ng drug reservoir"
"ECS405","measured flow rate exceeds setting"
"ECS406","patient not admitted to hospital"
"ECS407","drug or prescription not intended for this patient"
"ECS408","no audible alarm"
"ECS409","indication of no ICE alarms enabled"
"ECS410","Bolus request denied because minimum time between boluses had not elapsed."
"ECS411","blockage between pump and patient"
"ECS412","blockage between reservoir and pump"
"ECS413","bubble detection"
"ECS414","dose reaches maximum allowed by drug library"
"ECS415","clinician not authorized to operate pump"
"ECS416","patient not admitted to hospital"
"ECS417","the drug libary fails authenticity or integrity check"
"ECS418","basal rate or bolus VTBI exceeded soft limit"
"ECS419","measured flow rate below setting"
"ECS420","pump temperature exceeds 55 C"
"ECS421","Bolus request denied because minimum time between boluses had not elapsed."
"ECS422","blockage between pump and patient"
"ECS423","blockage between reservoir and pump"
"ECS424","bubble detection"
"ECS425","dose reaches maximum allowed by drug library"
"ECS426","clinician not authorized to operate pump"
"ECS427","basal rate or bolus VTBI exceeded hard limit"
"ECS428","power-on self test fails"
"ECS429","PCA pump detects its own failure"
"ECS430","pump fails to prime after loading drug reservoir"
"ECS431","measured flow rate exceeds setting"
"ECS432","measured flow rate below setting"
"ECS433","pump temperature exceeds 55 C"
"ECS434","ng drug reservoir"
"ECS435","measured flow rate exceeds setting"
"ECS436","patient not admitted to hospital"
"ECS437","drug or prescription not intended for this patient"
"ECS438","no audible alarm"
"ECS439","indication of no ICE alarms enabled"
"ECS440","Bolus request denied because minimum time between boluses had not elapsed."
"ECS441","blockage between pump and patient"
"ECS442","blockage between reservoir and pump"
"ECS443","bubble detection"
"ECS444","dose reaches maximum allowed by drug library"
"ECS445","clinician not authorized to operate pump"
"ECS446","patient not admitted to hospital"
"ECS447","the drug libary fails authenticity or integrity check"
"ECS448","basal rate or bolus VTBI exceeded soft limit"
"ECS449","measured flow rate below setting"
"ECS450","pump temperature exceeds 55 C"
"ECS451","Bolus request denied because minimum time between boluses had not elapsed."
"ECS452","blockage between pump and patient"
"ECS453","blockage between reservoir and pump"
"ECS454","bubble detection"
"ECS455","dose reaches maximum allowed by drug library"
"ECS456","clinician not authorized to operate pump"
"ECS457","basal rate or bolus VTBI exceeded hard limit"
"ECS458","power-on self test fails"
"ECS459","PCA pump detects its own failure"
"ECS460","pump fails to prime after loading drug reservoir"
"ECS461","measured flow rate exceeds setting"
"ECS462","measured flow rate below setting"
"ECS463","pump temperature exceeds 55 C"
"ECS464","ng drug reservoir"
"ECS465","measured flow rate exceeds setting"
"ECS466","patient not admitted to hospital"
"ECS467","drug or prescription not intended for this patient"
"ECS468","no audible alarm"
"ECS469","indication of no ICE alarms enabled"
"ECS470","Bolus request denied because minimum time between boluses had not elapsed."
"ECS471","blockage between pump and patient"
"ECS472","blockage between reservoir and pump"
"ECS473","bubble detection"
"ECS474","dose reaches maximum allowed by drug library"
"ECS475","clinician not authorized to operate pump"
"ECS476","patient not admitted to hospital"
"ECS477","the drug libary fails authenticity or integrity check"
"ECS478","basal rate or bolus VTBI exceeded soft limit"
"ECS479","measured flow rate below setting"
"ECS480","pump temperature exceeds 55 C"
"ECS481","Bolus request denied because minimum time between boluses had not elapsed."
"ECS482","blockage between pump and patient"
"ECS483","blockage between reservoir and pump"
"ECS484","bubble detection"
"ECS485","dose reaches maximum allowed by drug library"
"ECS486","clinician not authorized to operate pump"
"ECS487","basal rate or bolus VTBI exceeded hard limit"
"ECS488","power-on self test fails"
"ECS489","PCA pump detects its own failure"
"ECS490","pump fails to prime after loading drug reservoir"
"ECS491","measured flow rate exceeds setting"
"ECS492","measured flow rate below setting"
"ECS493","pump temperature exceeds 55 C"
"ECS494","ng drug reservoir"
"ECS495","measured flow rate exceeds setting"
"ECS496","patient not admitted to hospital"
"ECS497","drug or prescription not intended for this patient"
"ECS498","no audible alarm"
"ECS499","indication of no ICE alarms enabled"
"ECS500","Bolus request denied because minimum time between boluses had not elapsed."
"ECS501","blockage between pump and patient"
"ECS502","blockage between reservoir and pump"
"ECS503","bubble detection"
"ECS504","dose reaches maximum allowed by drug library"
"ECS505","clinician not authorized to operate pump"
"ECS506","patient not admitted to hospital"
"ECS507","the drug libary fails authenticity or integrity check"
"ECS508","basal rate or bolus VTBI exceeded soft limit"
"ECS509","measured flow rate below setting"
"ECS510","pump temperature exceeds 55 C"
"ECS511","Bolus request denied because minimum time between boluses had not elapsed."
"ECS512","blockage between pump and patient"
"ECS513","blockage between reservoir and pump"
"ECS514","bubble detection"
"ECS515","dose reaches maximum allowed by drug library"
"ECS516","clinician not authorized to operate pump"
"ECS517","basal rate or bolus VTBI exceeded hard limit"
"ECS518","power-on self test fails"
"ECS519","PCA pump detects its own failure"
"ECS520","pump fails to prime after loading drug reservoir"
"ECS521","measured flow rate exceeds setting"
"ECS522","measured flow rate below setting"
"ECS523","pump temperature exceeds 55 C"
"ECS524","ng drug reservoir"
"ECS525","measured flow rate exceeds setting"
"ECS526","patient not admitted to hospital"
"ECS527","drug or prescription not intended for this patient"
"ECS528","no audible alarm"
"ECS529","indication of no ICE alarms enabled"
"ECS530","Bolus request denied because minimum time between boluses had not elapsed."
"ECS531","blockage between pump and patient"
"ECS532","blockage between reservoir and pump"
"ECS533","bubble detection"
"ECS534","dose reaches maximum allowed by drug library"
"ECS535","clinician not authorized to operate pump"
"ECS536","patient not admitted to hospital"
"ECS537","the drug libary fails authenticity or integrity check"
"ECS538","basal rate or bolus VTBI exceeded soft limit"
"ECS539","measured flow rate below setting"
"ECS540","pump temperature exceeds 55 C"
"ECS541","Bolus request denied because minimum time between boluses had not elapsed."
"ECS542","blockage between pump and patient"
"ECS543","blockage between reservoir and pump"
"ECS544","bubble detection"
"ECS545","dose reaches maximum allowed by drug library"
"ECS546","clinician not authorized to operate pump"
"ECS547","basal rate or bolus VTBI exceeded hard limit"
"ECS548","power-on self test fails"
"ECS549","PCA pump detects its own failure"
"ECS550","pump fails to prime after loading drug reservoir"
"ECS551","measured flow rate exceeds setting"
"ECS552","measured flow rate below setting"
"ECS553","pump temperature exceeds 55 C"
"ECS554","ng drug reservoir"
"ECS555","measured flow rate exceeds setting"
"ECS556","patient not admitted to hospital"
"ECS557","drug or prescription not intended for this patient"
"ECS558","no audible alarm"
"ECS559","indication of no ICE alarms enabled"
"ECS560","Bolus request denied because minimum time between boluses had not elapsed."
"ECS561","blockage between pump and patient"
"ECS562","blockage between reservoir and pump"
"ECS563","bubble detection"
"ECS564","dose reaches maximum allowed by drug library"
"ECS565","clinician not authorized to operate pump"
"ECS566","patient not admitted to hospital"
"ECS567","the drug libary fails authenticity or integrity check"
"ECS568","basal rate or bolus VTBI exceeded soft limit"
"ECS569","measured flow rate below setting"
"ECS570","pump temperature exceeds 55 C"
"ECS571","Bolus request denied because minimum time between boluses had not elapsed."
"ECS572","blockage between pump and patient"
"ECS573","blockage between reservoir and pump"
"ECS574","bubble detection"
"ECS575","dose reaches maximum allowed by drug library"
"ECS576","clinician not authorized to operate pump"
"ECS577","basal rate or bolus VTBI exceeded hard limit"
"ECS578","power-on self test fails"
"ECS579","PCA pump detects its own failure"
"ECS580","pump fails to prime after loading drug reservoir"
"ECS581","measured flow rate exceeds setting"
"ECS582","measured flow rate below setting"
"ECS583","pump temperature exceeds 55 C"
"ECS584","ng drug reservoir"
"ECS585","measured flow rate exceeds setting"
"ECS586","patient not admitted to hospital"
"ECS587","drug or prescription not intended for this patient"
"ECS588","no audible alarm"
"ECS589","indication of no ICE alarms enabled"
"ECS590","Bolus request denied because minimum time between boluses had not elapsed."
"ECS591","blockage between pump and patient"
"ECS592","blockage between reservoir and pump"
"ECS593","bubble detection"
"ECS594","dose reaches maximum allowed by drug library"
"ECS595","clinician not authorized to operate pump"
"ECS596","patient not admitted to hospital"
"ECS597","the drug libary fails authenticity or integrity check"
"ECS598","basal rate or bolus VTBI exceeded soft limit"
"ECS599","measured flow rate below setting"
"ECS600","pump temperature exceeds 55 C"
"ECS601","Bolus request denied because minimum time between boluses had not elapsed."
"ECS602","blockage between pump and patient"
"ECS603","blockage between reservoir and pump"
"ECS604","bubble detection"
"ECS605","dose reaches maximum allowed by drug library"
"ECS606","clinician not authorized to operate pump"
"ECS607","basal rate or bolus VTBI exceeded hard limit"
"ECS608","power-on self test fails"
"ECS609","PCA pump detects its own failure"
"ECS610","pump fails to prime after loading drug reservoir"
"ECS611","measured flow rate exceeds setting"
"ECS612","measured flow rate below setting"
"ECS613","pump temperature exceeds 55 C"
"ECS614","ng drug reservoir"
"ECS615","measured flow rate exceeds setting"
"ECS616","patient not admitted to hospital"
"ECS617","drug or prescription not intended for this patient"
"ECS618","no audible alarm"
"ECS619","indication of no ICE alarms enabled"
"ECS620","Bolus request denied because minimum time between boluses had not elapsed."
"ECS621","blockage between pump and patient"
"ECS622","blockage between reservoir and pump"
"ECS623","bubble detection"
"ECS624","dose reaches maximum allowed by drug library"
"ECS625","clinician not authorized to operate pump"
"ECS626","patient not admitted to hospital"
"ECS627","the drug libary fails authenticity or integrity check"
"ECS628","basal rate or bolus VTBI exceeded soft limit"
"ECS629","measured flow rate below setting"
"ECS630","pump temperature exceeds 55 C"
"ECS631","Bolus request denied because minimum time between boluses had not elapsed."
"ECS632","blockage between pump and patient"
"ECS633","blockage between reservoir and pump"
"ECS634","bubble detection"
"ECS635","dose reaches maximum allowed by drug library"
"ECS636","clinician not authorized to operate pump"
"ECS637","basal rate or bolus VTBI exceeded hard limit"
"ECS638","power-on self test fails"
"ECS639","PCA pump detects its own failure"
"ECS640","pump fails to prime after loading drug reservoir"
"ECS641","measured flow rate exceeds setting"
"ECS642","measured flow rate below setting"
"ECS643","pump temperature exceeds 55 C"
"ECS644","ng drug reservoir"
"ECS645","measured flow rate exceeds setting"
"ECS646","patient not admitted to hospital"
"ECS647","drug or prescription not intended for this patient"
"ECS648","no audible alarm"
"ECS649","indication of no ICE alarms enabled"
"ECS650","Bolus request denied because minimum time between boluses had not elapsed."
"ECS651","blockage between pump and patient"
"ECS652","blockage between reservoir and pump"
"ECS653","bubble detection"
"ECS654","dose reaches maximum allowed by drug library"
"ECS655","clinician not authorized to operate pump"
"ECS656","patient not admitted to hospital"
"ECS657","the drug libary fails authenticity or integrity check"
"ECS658","basal rate or bolus VTBI exceeded soft limit"
"ECS659","measured flow rate below setting"
"ECS660","pump temperature exceeds 55 C"
"ECS661","Bolus request denied because minimum time between boluses had not elapsed."
"ECS662","blockage between pump and patient"
"ECS663","blockage between reservoir and pump"
"ECS664","bubble detection"
"ECS665","dose reaches maximum allowed by drug library"
"ECS666","clinician not authorized to operate pump"
"ECS667","basal rate or bolus VTBI exceeded hard limit"
"ECS668","power-on self test fails"
"ECS669","PCA pump detects its own failure"
"ECS670","pump fails to prime after loading drug reservoir"
"ECS671","measured flow rate exceeds setting"
"ECS672","measured flow rate below setting"
"ECS673","pump temperature exceeds 55 C"
"ECS674","ng drug reservoir"
"ECS675","measured flow rate exceeds setting"
"ECS676","patient not admitted to hospital"
"ECS677","drug or prescription not intended for this patient"
"ECS678","no audible alarm"
"ECS679","indication of no ICE alarms enabled"
"ECS680","Bolus request denied because minimum time between boluses had not elapsed."
"ECS681","blockage between pump and patient"
"ECS682","blockage between reservoir and pump"
"ECS683","bubble detection"
"ECS684","dose reaches maximum allowed by drug library"
"ECS685","clinician not authorized to operate pump"
"ECS686","patient not admitted to hospital"
"ECS687","the drug libary fails authenticity or integrity check"
"ECS688","basal rate or bolus VTBI exceeded soft limit"
"ECS689","measured flow rate below setting"
"ECS690","pump temperature exceeds 55 C"
