"COMPONENTID","USECASESTEPID"
"CP6138","UseCaseStep9961"
"CP6138","UseCaseStep10142"
"CP6138","UseCaseStep10388"
"CP6138","UseCaseStep10490"
"CP6138","UseCaseStep10883"
"CP6138","UseCaseStep10977"
"CP6138","UseCaseStep11656"
"CP6138","UseCaseStep11890"
"CP6138","UseCaseStep12006"
"CP6138","UseCaseStep12046"
"CP6138","UseCaseStep12132"
"CP6138","UseCaseStep12978"
"CP6138","UseCaseStep14334"
"CP6138","UseCaseStep14378"
"CP6138","UseCaseStep14599"
"CP6138","UseCaseStep15142"
"CP6138","UseCaseStep15267"
"CP6138","UseCaseStep15613"
"CP6138","UseCaseStep15955"
"CP6138","UseCaseStep16411"
"CP6138","UseCaseStep16537"
"CP6138","UseCaseStep16549"
"CP6138","UseCaseStep16630"
"CP6138","UseCaseStep16973"
"CP6138","UseCaseStep17091"
"CP6138","UseCaseStep17596"
"CP6138","UseCaseStep17662"
"CP6138","UseCaseStep18265"
"CP6138","UseCaseStep19504"
"CP6138","UseCaseStep19594"
"CP6138","UseCaseStep19597"
"CP5477","UseCaseStep140"
"CP5477","UseCaseStep198"
"CP5477","UseCaseStep413"
"CP5477","UseCaseStep1006"
"CP5477","UseCaseStep1202"
"CP5477","UseCaseStep1218"
"CP5477","UseCaseStep1365"
"CP5477","UseCaseStep1655"
"CP5477","UseCaseStep1748"
"CP5477","UseCaseStep1990"
"CP5477","UseCaseStep2865"
"CP5477","UseCaseStep2886"
"CP5477","UseCaseStep3042"
"CP5477","UseCaseStep3715"
"CP5477","UseCaseStep4204"
"CP5477","UseCaseStep4922"
"CP5477","UseCaseStep5297"
"CP5477","UseCaseStep5324"
"CP5477","UseCaseStep5867"
"CP5477","UseCaseStep6262"
"CP5477","UseCaseStep6434"
"CP5477","UseCaseStep6445"
"CP5477","UseCaseStep6665"
"CP5477","UseCaseStep7633"
"CP5477","UseCaseStep7755"
"CP5477","UseCaseStep8117"
"CP5477","UseCaseStep8188"
"CP5477","UseCaseStep8566"
"CP5477","UseCaseStep8885"
"CP5477","UseCaseStep8940"
"CP5477","UseCaseStep8958"
"CP5477","UseCaseStep9639"
"CP5477","UseCaseStep9945"
"CP5477","UseCaseStep9961"
"CP5477","UseCaseStep10142"
"CP5477","UseCaseStep10388"
"CP5477","UseCaseStep10490"
"CP5477","UseCaseStep10883"
"CP5477","UseCaseStep10977"
"CP5477","UseCaseStep11656"
"CP5477","UseCaseStep11890"
"CP5477","UseCaseStep12006"
"CP5477","UseCaseStep12046"
"CP5477","UseCaseStep12132"
"CP5477","UseCaseStep12978"
"CP5477","UseCaseStep14334"
"CP5477","UseCaseStep14378"
"CP5477","UseCaseStep14599"
"CP5477","UseCaseStep15142"
"CP5477","UseCaseStep15267"
"CP5477","UseCaseStep15613"
"CP5477","UseCaseStep15955"
"CP5477","UseCaseStep16411"
"CP5477","UseCaseStep16537"
"CP5477","UseCaseStep16549"
"CP5477","UseCaseStep16630"
"CP5477","UseCaseStep16973"
"CP5477","UseCaseStep17091"
"CP5477","UseCaseStep17596"
"CP5477","UseCaseStep17662"
"CP5477","UseCaseStep18265"
"CP5477","UseCaseStep19504"
"CP5477","UseCaseStep19594"
"CP5477","UseCaseStep19597"
"CP51","UseCaseStep1270"
"CP51","UseCaseStep1303"
"CP51","UseCaseStep1345"
"CP51","UseCaseStep1715"
"CP51","UseCaseStep1747"
"CP51","UseCaseStep2452"
"CP51","UseCaseStep2574"
"CP51","UseCaseStep2649"
"CP51","UseCaseStep2807"
"CP51","UseCaseStep2815"
"CP51","UseCaseStep3120"
"CP51","UseCaseStep3187"
"CP51","UseCaseStep3280"
"CP51","UseCaseStep3368"
"CP51","UseCaseStep3398"
"CP51","UseCaseStep3805"
"CP51","UseCaseStep3925"
"CP51","UseCaseStep5169"
"CP51","UseCaseStep5289"
"CP51","UseCaseStep5843"
"CP51","UseCaseStep7062"
"CP51","UseCaseStep7260"
"CP51","UseCaseStep7433"
"CP51","UseCaseStep8316"
"CP51","UseCaseStep8629"
"CP51","UseCaseStep9672"
"CP51","UseCaseStep10072"
"CP51","UseCaseStep10236"
"CP51","UseCaseStep10250"
"CP51","UseCaseStep10415"
"CP51","UseCaseStep11614"
"CP51","UseCaseStep11914"
"CP51","UseCaseStep12448"
"CP51","UseCaseStep12517"
"CP51","UseCaseStep12923"
"CP51","UseCaseStep13491"
"CP51","UseCaseStep13572"
"CP51","UseCaseStep14050"
"CP51","UseCaseStep14751"
"CP51","UseCaseStep14952"
"CP51","UseCaseStep15147"
"CP51","UseCaseStep15218"
"CP51","UseCaseStep15241"
"CP51","UseCaseStep15666"
"CP51","UseCaseStep15960"
"CP51","UseCaseStep16149"
"CP51","UseCaseStep16450"
"CP51","UseCaseStep16472"
"CP51","UseCaseStep16521"
"CP51","UseCaseStep18119"
"CP51","UseCaseStep18766"
"CP51","UseCaseStep18782"
"CP51","UseCaseStep19508"
"CP51","UseCaseStep19845"
"CP51","UseCaseStep19956"
"CP66","UseCaseStep5002"
"CP66","UseCaseStep16177"
"CP66","UseCaseStep18314"
"CP6220","UseCaseStep287"
"CP6220","UseCaseStep359"
"CP6220","UseCaseStep405"
"CP6220","UseCaseStep786"
"CP6220","UseCaseStep2058"
"CP6220","UseCaseStep2257"
"CP6220","UseCaseStep2753"
"CP6220","UseCaseStep3058"
"CP6220","UseCaseStep3437"
"CP6220","UseCaseStep3995"
"CP6220","UseCaseStep4019"
"CP6220","UseCaseStep4090"
"CP6220","UseCaseStep4954"
"CP6220","UseCaseStep5803"
"CP6220","UseCaseStep5985"
"CP6220","UseCaseStep6499"
"CP6220","UseCaseStep7203"
"CP6220","UseCaseStep7357"
"CP6220","UseCaseStep7464"
"CP6220","UseCaseStep7925"
"CP6220","UseCaseStep8002"
"CP6220","UseCaseStep8031"
"CP6220","UseCaseStep8409"
"CP6220","UseCaseStep8424"
"CP6220","UseCaseStep8479"
"CP6220","UseCaseStep8626"
"CP6220","UseCaseStep8798"
"CP6220","UseCaseStep8977"
"CP6220","UseCaseStep9127"
"CP6220","UseCaseStep9174"
"CP6220","UseCaseStep9643"
"CP6220","UseCaseStep9892"
"CP6220","UseCaseStep9974"
"CP6220","UseCaseStep10040"
"CP6220","UseCaseStep10125"
"CP6220","UseCaseStep10148"
"CP6220","UseCaseStep10304"
"CP6220","UseCaseStep10509"
"CP6220","UseCaseStep10740"
"CP6220","UseCaseStep12349"
"CP6220","UseCaseStep12383"
"CP6220","UseCaseStep13262"
"CP6220","UseCaseStep13506"
"CP6220","UseCaseStep14047"
"CP6220","UseCaseStep14450"
"CP6220","UseCaseStep15160"
"CP6220","UseCaseStep15474"
"CP6220","UseCaseStep15804"
"CP6220","UseCaseStep16495"
"CP6220","UseCaseStep17527"
"CP6220","UseCaseStep18540"
"CP6220","UseCaseStep18625"
"CP6220","UseCaseStep18729"
"CP6220","UseCaseStep18760"
"CP6220","UseCaseStep18838"
"CP6220","UseCaseStep19471"
"CP6220","UseCaseStep19557"
"CP6220","UseCaseStep19659"
"CP1647","UseCaseStep287"
"CP1647","UseCaseStep359"
"CP1647","UseCaseStep405"
"CP1647","UseCaseStep786"
"CP1647","UseCaseStep2058"
"CP1647","UseCaseStep2257"
"CP1647","UseCaseStep2753"
"CP1647","UseCaseStep3058"
"CP1647","UseCaseStep3437"
"CP1647","UseCaseStep3995"
"CP1647","UseCaseStep4019"
"CP1647","UseCaseStep4090"
"CP1647","UseCaseStep4954"
"CP1647","UseCaseStep5803"
"CP1647","UseCaseStep5985"
"CP1647","UseCaseStep6499"
"CP1647","UseCaseStep7203"
"CP1647","UseCaseStep7357"
"CP1647","UseCaseStep7464"
"CP1647","UseCaseStep7925"
"CP1647","UseCaseStep8002"
"CP1647","UseCaseStep8031"
"CP1647","UseCaseStep8409"
"CP1647","UseCaseStep8424"
"CP1647","UseCaseStep8479"
"CP1647","UseCaseStep8626"
"CP1647","UseCaseStep8798"
"CP1647","UseCaseStep8977"
"CP1647","UseCaseStep9127"
"CP1647","UseCaseStep9174"
"CP1647","UseCaseStep9643"
"CP1647","UseCaseStep9892"
"CP1647","UseCaseStep9974"
"CP1647","UseCaseStep10040"
"CP1647","UseCaseStep10125"
"CP1647","UseCaseStep10148"
"CP1647","UseCaseStep10304"
"CP1647","UseCaseStep10509"
"CP1647","UseCaseStep10740"
"CP1647","UseCaseStep12349"
"CP1647","UseCaseStep12383"
"CP1647","UseCaseStep13262"
"CP1647","UseCaseStep13506"
"CP1647","UseCaseStep14047"
"CP1647","UseCaseStep14450"
"CP1647","UseCaseStep15160"
"CP1647","UseCaseStep15474"
"CP1647","UseCaseStep15804"
"CP1647","UseCaseStep16495"
"CP1647","UseCaseStep17527"
"CP1647","UseCaseStep18540"
"CP1647","UseCaseStep18625"
"CP1647","UseCaseStep18729"
"CP1647","UseCaseStep18760"
"CP1647","UseCaseStep18838"
"CP1647","UseCaseStep19471"
"CP1647","UseCaseStep19557"
"CP1647","UseCaseStep19659"
"CP1662","UseCaseStep287"
"CP1662","UseCaseStep359"
"CP1662","UseCaseStep405"
"CP1662","UseCaseStep786"
"CP1662","UseCaseStep2058"
"CP1662","UseCaseStep2257"
"CP1662","UseCaseStep2753"
"CP1662","UseCaseStep3058"
"CP1662","UseCaseStep3437"
"CP1662","UseCaseStep3995"
"CP1662","UseCaseStep4019"
"CP1662","UseCaseStep4090"
"CP1662","UseCaseStep4954"
"CP1662","UseCaseStep5803"
"CP1662","UseCaseStep5985"
"CP1662","UseCaseStep6499"
"CP1662","UseCaseStep7203"
"CP1662","UseCaseStep7357"
"CP1662","UseCaseStep7464"
"CP1662","UseCaseStep7925"
"CP1662","UseCaseStep8002"
"CP1662","UseCaseStep8031"
"CP1662","UseCaseStep8409"
"CP1662","UseCaseStep8424"
"CP1662","UseCaseStep8479"
"CP1662","UseCaseStep8626"
"CP1662","UseCaseStep8798"
"CP1662","UseCaseStep8977"
"CP1662","UseCaseStep9127"
"CP1662","UseCaseStep9174"
"CP1662","UseCaseStep9643"
"CP1662","UseCaseStep9892"
"CP1662","UseCaseStep9974"
"CP1662","UseCaseStep10040"
"CP1662","UseCaseStep10125"
"CP1662","UseCaseStep10148"
"CP1662","UseCaseStep10304"
"CP1662","UseCaseStep10509"
"CP1662","UseCaseStep10740"
"CP1662","UseCaseStep12349"
"CP1662","UseCaseStep12383"
"CP1662","UseCaseStep13262"
"CP1662","UseCaseStep13506"
"CP1662","UseCaseStep14047"
"CP1662","UseCaseStep14450"
"CP1662","UseCaseStep15160"
"CP1662","UseCaseStep15474"
"CP1662","UseCaseStep15804"
"CP1662","UseCaseStep16495"
"CP1662","UseCaseStep17527"
"CP1662","UseCaseStep18540"
"CP1662","UseCaseStep18625"
"CP1662","UseCaseStep18729"
"CP1662","UseCaseStep18760"
"CP1662","UseCaseStep18838"
"CP1662","UseCaseStep19471"
"CP1662","UseCaseStep19557"
"CP1662","UseCaseStep19659"
"CP20","UseCaseStep14963"
"CP20","UseCaseStep18563"
"CP53","UseCaseStep6413"
"CP53","UseCaseStep10277"
"CP53","UseCaseStep17514"
"CP53","UseCaseStep5539"
"CP53","UseCaseStep11639"
"CP53","UseCaseStep13829"
"CP8073","UseCaseStep172"
"CP8073","UseCaseStep277"
"CP8073","UseCaseStep1340"
"CP8073","UseCaseStep1795"
"CP8073","UseCaseStep2188"
"CP8073","UseCaseStep2389"
"CP8073","UseCaseStep2612"
"CP8073","UseCaseStep2788"
"CP8073","UseCaseStep2989"
"CP8073","UseCaseStep3080"
"CP8073","UseCaseStep3212"
"CP8073","UseCaseStep3554"
"CP8073","UseCaseStep3769"
"CP8073","UseCaseStep3923"
"CP8073","UseCaseStep5142"
"CP8073","UseCaseStep5579"
"CP8073","UseCaseStep5848"
"CP8073","UseCaseStep5906"
"CP8073","UseCaseStep6562"
"CP8073","UseCaseStep6843"
"CP8073","UseCaseStep7028"
"CP8073","UseCaseStep7788"
"CP8073","UseCaseStep8205"
"CP8073","UseCaseStep9141"
"CP8073","UseCaseStep9591"
"CP8073","UseCaseStep10391"
"CP8073","UseCaseStep10577"
"CP8073","UseCaseStep11456"
"CP8073","UseCaseStep11646"
"CP8073","UseCaseStep11767"
"CP8073","UseCaseStep12075"
"CP8073","UseCaseStep12089"
"CP8073","UseCaseStep12442"
"CP8073","UseCaseStep12521"
"CP8073","UseCaseStep12778"
"CP8073","UseCaseStep13588"
"CP8073","UseCaseStep13715"
"CP8073","UseCaseStep14085"
"CP8073","UseCaseStep14426"
"CP8073","UseCaseStep14649"
"CP8073","UseCaseStep15549"
"CP8073","UseCaseStep15559"
"CP8073","UseCaseStep15654"
"CP8073","UseCaseStep16781"
"CP8073","UseCaseStep17131"
"CP8073","UseCaseStep17160"
"CP8073","UseCaseStep17363"
"CP8073","UseCaseStep17397"
"CP8073","UseCaseStep17742"
"CP8073","UseCaseStep17839"
"CP8073","UseCaseStep17874"
"CP8073","UseCaseStep17954"
"CP8073","UseCaseStep18106"
"CP8073","UseCaseStep18226"
"CP4981","UseCaseStep172"
"CP4981","UseCaseStep277"
"CP4981","UseCaseStep1340"
"CP4981","UseCaseStep1795"
"CP4981","UseCaseStep2188"
"CP4981","UseCaseStep2389"
"CP4981","UseCaseStep2612"
"CP4981","UseCaseStep2788"
"CP4981","UseCaseStep2989"
"CP4981","UseCaseStep3080"
"CP4981","UseCaseStep3212"
"CP4981","UseCaseStep3554"
"CP4981","UseCaseStep3769"
"CP4981","UseCaseStep3923"
"CP4981","UseCaseStep5142"
"CP4981","UseCaseStep5579"
"CP4981","UseCaseStep5848"
"CP4981","UseCaseStep5906"
"CP4981","UseCaseStep6562"
"CP4981","UseCaseStep6843"
"CP4981","UseCaseStep7028"
"CP4981","UseCaseStep7788"
"CP4981","UseCaseStep8205"
"CP4981","UseCaseStep9141"
"CP4981","UseCaseStep9591"
"CP4981","UseCaseStep10391"
"CP4981","UseCaseStep10577"
"CP4981","UseCaseStep11456"
"CP4981","UseCaseStep11646"
"CP4981","UseCaseStep11767"
"CP4981","UseCaseStep12075"
"CP4981","UseCaseStep12089"
"CP4981","UseCaseStep12442"
"CP4981","UseCaseStep12521"
"CP4981","UseCaseStep12778"
"CP4981","UseCaseStep13588"
"CP4981","UseCaseStep13715"
"CP4981","UseCaseStep14085"
"CP4981","UseCaseStep14426"
"CP4981","UseCaseStep14649"
"CP4981","UseCaseStep15549"
"CP4981","UseCaseStep15559"
"CP4981","UseCaseStep15654"
"CP4981","UseCaseStep16781"
"CP4981","UseCaseStep17131"
"CP4981","UseCaseStep17160"
"CP4981","UseCaseStep17363"
"CP4981","UseCaseStep17397"
"CP4981","UseCaseStep17742"
"CP4981","UseCaseStep17839"
"CP4981","UseCaseStep17874"
"CP4981","UseCaseStep17954"
"CP4981","UseCaseStep18106"
"CP4981","UseCaseStep18226"
"CP9587","UseCaseStep172"
"CP9587","UseCaseStep277"
"CP9587","UseCaseStep1340"
"CP9587","UseCaseStep1795"
"CP9587","UseCaseStep2188"
"CP9587","UseCaseStep2389"
"CP9587","UseCaseStep2612"
"CP9587","UseCaseStep2788"
"CP9587","UseCaseStep2989"
"CP9587","UseCaseStep3080"
"CP9587","UseCaseStep3212"
"CP9587","UseCaseStep3554"
"CP9587","UseCaseStep3769"
"CP9587","UseCaseStep3923"
"CP9587","UseCaseStep5142"
"CP9587","UseCaseStep5579"
"CP9587","UseCaseStep5848"
"CP9587","UseCaseStep5906"
"CP9587","UseCaseStep6562"
"CP9587","UseCaseStep6843"
"CP9587","UseCaseStep7028"
"CP9587","UseCaseStep7788"
"CP9587","UseCaseStep8205"
"CP9587","UseCaseStep9141"
"CP9587","UseCaseStep9591"
"CP9587","UseCaseStep10391"
"CP9587","UseCaseStep10577"
"CP9587","UseCaseStep11456"
"CP9587","UseCaseStep11646"
"CP9587","UseCaseStep11767"
"CP9587","UseCaseStep12075"
"CP9587","UseCaseStep12089"
"CP9587","UseCaseStep12442"
"CP9587","UseCaseStep12521"
"CP9587","UseCaseStep12778"
"CP9587","UseCaseStep13588"
"CP9587","UseCaseStep13715"
