"GOALID","EXCEPTIONCASEID"
"G70","EC28"
"G30","EC6388"
"G30","EC193"
"G30","EC5047"
"G30","EC28"
"G30","EC3521"
"G30","EC561"
"G30","EC6028"
"G62","EC6388"
"G62","EC193"
"G62","EC5047"
"G62","EC28"
"G62","EC3521"
"G62","EC561"
"G62","EC6028"
"G28","EC6388"
"G28","EC193"
"G28","EC5047"
"G28","EC28"
"G28","EC3521"
"G28","EC561"
"G28","EC6028"
"G56","EC1574"
"G56","EC9694"
"G56","EC1412"
"G65","EC338"
"G65","EC8552"
"G65","EC4112"
"G3","EC54"
"G3","EC4898"
"G3","EC1425"
"G3","EC2795"
"G25","EC54"
"G25","EC4898"
"G25","EC1425"
"G25","EC2795"
"G58","EC54"
"G58","EC4898"
"G58","EC1425"
"G58","EC2795"
"G52","EC47"
"G33","EC56"
"G47","EC56"
"G43","EC56"
"G4","EC37"
"G4","EC2658"
"G4","EC9427"
"G4","EC7354"
"G4","EC2837"
"G4","EC2279"
"G4","EC360"
"G4","EC7388"
"G4","EC4458"
"G4","EC4198"
"G57","EC37"
"G57","EC2658"
"G57","EC9427"
"G57","EC7354"
"G57","EC2837"
"G57","EC2279"
"G57","EC360"
"G57","EC7388"
"G57","EC4458"
"G57","EC4198"
"G6","EC37"
"G6","EC2658"
"G6","EC9427"
"G6","EC7354"
"G6","EC2837"
"G6","EC2279"
"G6","EC360"
"G6","EC7388"
"G6","EC4458"
"G6","EC4198"
"G28","EC33"
"G47","EC33"
"G3","EC33"
"G30","EC5837"
"G30","EC5577"
"G30","EC9787"
"G62","EC13"
"G26","EC33"
"G36","EC33"
"G1","EC33"
"G22","EC4697"
"G22","EC6184"
"G22","EC9324"
"G22","EC15"
"G49","EC3016"
"G49","EC2438"
"G49","EC7346"
"G49","EC9558"
"G49","EC6114"
"G49","EC9957"
"G19","EC7900"
"G19","EC1369"
"G19","EC5748"
"G36","EC16"
"G36","EC14"
"G67","EC14"
"G7","EC14"
"G19","EC1968"
"G19","EC3317"
"G19","EC8345"
"G47","EC7"
"G18","EC309"
"G18","EC2817"
"G18","EC3094"
"G18","EC20"
"G62","EC309"
"G62","EC2817"
"G62","EC3094"
"G62","EC20"
"G27","EC309"
"G27","EC2817"
"G27","EC3094"
"G27","EC20"
"G42","EC8630"
"G42","EC5357"
"G42","EC4443"
"G11","EC8630"
"G11","EC5357"
"G11","EC4443"
"G64","EC8630"
"G64","EC5357"
"G64","EC4443"
"G16","EC2023"
"G16","EC9872"
"G16","EC5877"
"G32","EC2023"
"G32","EC9872"
"G32","EC5877"
"G49","EC2023"
"G49","EC9872"
"G49","EC5877"
"G26","EC56"
"G30","EC1561"
"G30","EC5739"
"G30","EC1476"
"G30","EC29"
"G63","EC1561"
"G63","EC5739"
"G63","EC1476"
"G63","EC29"
"G1","EC1561"
"G1","EC5739"
"G1","EC1476"
"G1","EC29"
"G64","EC6521"
"G64","EC9156"
"G64","EC5483"
"G19","EC6521"
"G19","EC9156"
"G19","EC5483"
"G26","EC6521"
"G26","EC9156"
"G26","EC5483"
"G64","EC7447"
"G64","EC1867"
"G64","EC5969"
"G9","EC7447"
"G9","EC1867"
"G9","EC5969"
"G56","EC7447"
"G56","EC1867"
"G56","EC5969"
"G58","EC5992"
"G58","EC8965"
"G58","EC6151"
"G58","EC5864"
"G58","EC4406"
"G58","EC345"
"G58","EC2901"
"G58","EC6240"
"G58","EC7717"
"G36","EC53"
"G34","EC53"
"G47","EC53"
"G61","EC51"
"G61","EC66"
"G51","EC51"
"G51","EC66"
"G15","EC51"
"G15","EC66"
"G53","EC57"
"G54","EC57"
"G1","EC57"
"G53","EC9359"
"G53","EC2541"
"G53","EC3802"
"G22","EC9359"
"G22","EC2541"
"G22","EC3802"
"G32","EC9359"
"G32","EC2541"
"G32","EC3802"
"G24","EC13"
"G4","EC56"
"G4","EC34"
"G33","EC56"
"G33","EC34"
"G31","EC56"
"G31","EC34"
"G41","EC29"
"G41","EC44"
"G50","EC42"
"G39","EC42"
"G7","EC42"
"G28","EC42"
"G42","EC4368"
"G42","EC9930"
"G42","EC2795"
"G38","EC4368"
"G38","EC9930"
"G38","EC2795"
"G28","EC4368"
"G28","EC9930"
"G28","EC2795"
"G40","EC385"
"G40","EC9076"
"G40","EC2939"
"G19","EC6064"
"G19","EC4247"
"G19","EC9930"
"G60","EC17"
"G60","EC8641"
"G60","EC30"
"G60","EC3332"
"G23","EC2"
"G3","EC2"
"G65","EC2"
"G1","EC5982"
"G1","EC79"
"G1","EC7398"
"G1","EC3753"
"G1","EC8064"
"G1","EC4237"
"G69","EC5982"
"G69","EC79"
"G69","EC7398"
"G69","EC3753"
"G69","EC8064"
"G69","EC4237"
"G7","EC5982"
"G7","EC79"
"G7","EC7398"
"G7","EC3753"
"G7","EC8064"
"G7","EC4237"
"G28","EC9617"
"G28","EC5025"
"G28","EC4676"
"G24","EC2257"
"G24","EC7116"
"G24","EC1422"
"G43","EC2257"
"G43","EC7116"
"G43","EC1422"
"G39","EC2257"
"G39","EC7116"
"G39","EC1422"
"G15","EC8667"
"G15","EC1470"
"G15","EC7774"
"G50","EC8667"
"G50","EC1470"
"G50","EC7774"
"G47","EC8667"
"G47","EC1470"
"G47","EC7774"
"G60","EC2371"
"G60","EC765"
"G60","EC3840"
"G60","EC53"
"G60","EC1062"
"G60","EC4691"
"G60","EC6208"
"G43","EC2371"
"G43","EC765"
"G43","EC3840"
"G43","EC53"
"G43","EC1062"
"G43","EC4691"
"G43","EC6208"
"G15","EC2371"
"G15","EC765"
"G15","EC3840"
"G15","EC53"
"G15","EC1062"
"G15","EC4691"
"G15","EC6208"
"G31","EC59"
"G31","EC1"
"G31","EC9810"
"G31","EC3224"
"G31","EC6006"
"G48","EC66"
"G25","EC9332"
"G25","EC7408"
"G25","EC1793"
"G23","EC70"
"G46","EC70"
"G69","EC70"
"G56","EC25"
"G56","EC13"
"G11","EC25"
"G11","EC13"
"G2","EC25"
"G2","EC13"
"G40","EC61"
"G40","EC1543"
"G40","EC1673"
"G40","EC4798"
"G15","EC67"
"G20","EC6733"
"G20","EC2619"
"G20","EC7142"
"G20","EC5477"
"G20","EC1243"
"G20","EC806"
"G44","EC6733"
"G44","EC2619"
"G44","EC7142"
"G44","EC5477"
"G44","EC1243"
"G44","EC806"
"G21","EC6733"
"G21","EC2619"
"G21","EC7142"
"G21","EC5477"
"G21","EC1243"
"G21","EC806"
"G31","EC8270"
"G31","EC2633"
"G31","EC4240"
"G31","EC25"
"G19","EC8750"
"G19","EC5420"
"G19","EC3442"
"G14","EC29"
"G14","EC59"
"G14","EC8210"
"G14","EC5874"
"G14","EC2873"
"G1","EC6141"
"G1","EC2840"
"G1","EC8"
"G33","EC6141"
"G33","EC2840"
"G33","EC8"
"G70","EC6141"
"G70","EC2840"
"G70","EC8"
"G70","EC9512"
"G70","EC3494"
"G70","EC9787"
"G51","EC21"
"G70","EC21"
"G3","EC21"
"G49","EC21"
"G49","EC10"
"G11","EC4835"
"G11","EC518"
"G11","EC652"
"G11","EC1"
"G59","EC1297"
"G59","EC9675"
"G59","EC8199"
"G12","EC22"
"G9","EC9046"
"G9","EC9102"
"G9","EC7670"
"G70","EC31"
"G35","EC2"
"G7","EC387"
"G7","EC6280"
"G7","EC647"
"G24","EC8"
"G26","EC7439"
"G26","EC810"
"G26","EC6689"
"G45","EC7439"
"G45","EC810"
"G45","EC6689"
"G61","EC7439"
"G61","EC810"
"G61","EC6689"
"G36","EC30"
"G15","EC1381"
"G15","EC8264"
"G15","EC8252"
"G46","EC1381"
"G46","EC8264"
"G46","EC8252"
"G51","EC1381"
"G51","EC8264"
"G51","EC8252"
"G60","EC28"
"G33","EC16"
"G47","EC15"
"G58","EC15"
"G10","EC15"
"G58","EC17"
"G35","EC17"
"G69","EC17"
"G57","EC3610"
"G57","EC4697"
"G57","EC656"
"G3","EC3610"
"G3","EC4697"
"G3","EC656"
"G59","EC3610"
"G59","EC4697"
"G59","EC656"
"G39","EC39"
"G31","EC8993"
"G31","EC7493"
"G31","EC4303"
"G36","EC778"
"G36","EC4871"
"G36","EC5721"
"G61","EC57"
"G18","EC64"
"G33","EC1925"
"G33","EC9290"
"G33","EC1634"
"G33","EC3686"
"G33","EC5434"
"G33","EC7656"
"G11","EC1925"
"G11","EC9290"
"G11","EC1634"
"G11","EC3686"
"G11","EC5434"
"G11","EC7656"
"G16","EC1925"
"G16","EC9290"
"G16","EC1634"
"G16","EC3686"
"G16","EC5434"
"G16","EC7656"
"G49","EC6934"
"G49","EC4564"
"G49","EC5306"
"G70","EC6934"
"G70","EC4564"
"G70","EC5306"
"G56","EC6934"
"G56","EC4564"
"G56","EC5306"
"G34","EC9053"
"G34","EC2119"
"G34","EC4226"
"G27","EC9053"
"G27","EC2119"
"G27","EC4226"
"G41","EC9053"
"G41","EC2119"
"G41","EC4226"
"G30","EC6"
"G64","EC6"
"G4","EC6"
"G41","EC4"
"G28","EC4"
"G54","EC4"
"G32","EC24"
"G16","EC4219"
"G16","EC834"
"G16","EC9938"
"G19","EC4219"
"G19","EC834"
"G19","EC9938"
"G64","EC4219"
"G64","EC834"
"G64","EC9938"
"G24","EC5979"
"G24","EC6575"
"G24","EC7209"
"G24","EC43"
"G38","EC5979"
"G38","EC6575"
"G38","EC7209"
"G38","EC43"
"G16","EC5979"
"G16","EC6575"
"G16","EC7209"
"G16","EC43"
"G51","EC4820"
"G51","EC1257"
"G51","EC5616"
"G17","EC3549"
"G17","EC3017"
"G17","EC8405"
"G18","EC3549"
"G18","EC3017"
"G18","EC8405"
"G23","EC3549"
"G23","EC3017"
"G23","EC8405"
"G7","EC59"
"G44","EC50"
"G6","EC50"
"G70","EC50"
"G18","EC46"
"G70","EC13"
"G57","EC13"
"G59","EC13"
"G51","EC8876"
"G51","EC9033"
"G51","EC3622"
"G66","EC61"
"G66","EC5898"
"G66","EC6454"
"G66","EC8292"
"G8","EC11"
"G59","EC8247"
"G59","EC8728"
"G59","EC9641"
"G8","EC8247"
"G8","EC8728"
"G8","EC9641"
"G29","EC8247"
"G29","EC8728"
"G29","EC9641"
"G16","EC12"
"G16","EC23"
"G13","EC12"
"G13","EC23"
"G68","EC12"
"G68","EC23"
"G60","EC7448"
"G60","EC6"
"G60","EC1259"
"G60","EC9654"
"G60","EC4363"
"G60","EC3917"
"G60","EC10"
"G15","EC7448"
"G15","EC6"
"G15","EC1259"
"G15","EC9654"
"G15","EC4363"
"G15","EC3917"
"G15","EC10"
"G46","EC7448"
"G46","EC6"
"G46","EC1259"
"G46","EC9654"
"G46","EC4363"
"G46","EC3917"
"G46","EC10"
"G1","EC1279"
"G1","EC6880"
"G1","EC3802"
"G7","EC185"
"G7","EC936"
"G7","EC7826"
"G48","EC185"
"G48","EC936"
"G48","EC7826"
"G41","EC185"
"G41","EC936"
"G41","EC7826"
"G51","EC5683"
"G51","EC2729"
"G51","EC9151"
"G21","EC5683"
"G21","EC2729"
"G21","EC9151"
"G57","EC5683"
"G57","EC2729"
"G57","EC9151"
"G11","EC9274"
"G11","EC4919"
"G11","EC7153"
"G11","EC49"
"G22","EC66"
"G22","EC20"
"G56","EC66"
"G56","EC20"
"G21","EC66"
"G21","EC20"
"G62","EC68"
"G9","EC6303"
"G9","EC3796"
"G9","EC9909"
"G9","EC55"
"G9","EC6"
"G60","EC6303"
"G60","EC3796"
"G60","EC9909"
"G60","EC55"
"G60","EC6"
"G50","EC6303"
"G50","EC3796"
"G50","EC9909"
"G50","EC55"
"G50","EC6"
"G58","EC27"
"G1","EC27"
"G69","EC27"
"G57","EC8352"
"G57","EC2076"
"G57","EC1385"
"G57","EC817"
"G57","EC7423"
"G57","EC3006"
"G42","EC8352"
"G42","EC2076"
"G42","EC1385"
"G42","EC817"
"G42","EC7423"
"G42","EC3006"
"G37","EC8352"
"G37","EC2076"
"G37","EC1385"
"G37","EC817"
"G37","EC7423"
"G37","EC3006"
"G6","EC61"
"G5","EC61"
"G19","EC61"
"G59","EC4607"
"G59","EC6286"
"G59","EC1321"
"G46","EC4607"
"G46","EC6286"
"G46","EC1321"
"G51","EC4607"
"G51","EC6286"
"G51","EC1321"
"G29","EC17"
"G29","EC21"
"G32","EC3"
"G35","EC3"
"G7","EC3"
"G15","EC57"
"G18","EC6592"
"G18","EC9326"
"G18","EC8365"
"G54","EC56"
"G15","EC6064"
"G15","EC4247"
"G15","EC9930"
"G9","EC6064"
"G9","EC4247"
"G9","EC9930"
"G18","EC6064"
"G18","EC4247"
"G18","EC9930"
"G52","EC6535"
"G52","EC2095"
"G52","EC7714"
"G39","EC3392"
"G39","EC9803"
"G39","EC6116"
"G8","EC9679"
"G8","EC6447"
"G8","EC9955"
"G44","EC42"
"G66","EC5698"
"G66","EC9276"
"G66","EC6295"
"G66","EC28"
"G19","EC5698"
"G19","EC9276"
"G19","EC6295"
"G19","EC28"
"G45","EC5698"
"G45","EC9276"
"G45","EC6295"
"G45","EC28"
"G62","EC6627"
"G62","EC4584"
"G62","EC4207"
"G22","EC30"
"G5","EC30"
"G56","EC30"
"G2","EC1701"
"G2","EC7734"
"G2","EC2163"
"G66","EC7974"
"G66","EC1629"
"G66","EC5561"
"G50","EC7974"
"G50","EC1629"
"G50","EC5561"
"G67","EC7974"
"G67","EC1629"
"G67","EC5561"
"G35","EC43"
"G5","EC24"
"G41","EC24"
"G60","EC24"
"G26","EC335"
"G26","EC6955"
"G26","EC6824"
"G7","EC22"
"G63","EC22"
"G19","EC22"
"G38","EC771"
"G38","EC5452"
"G38","EC7058"
"G38","EC4283"
"G38","EC683"
"G38","EC4398"
"G38","EC4393"
"G38","EC8258"
"G38","EC7682"
"G38","EC21"
"G56","EC771"
"G56","EC5452"
"G56","EC7058"
"G56","EC4283"
"G56","EC683"
"G56","EC4398"
"G56","EC4393"
"G56","EC8258"
"G56","EC7682"
"G56","EC21"
"G49","EC771"
"G49","EC5452"
"G49","EC7058"
"G49","EC4283"
"G49","EC683"
"G49","EC4398"
"G49","EC4393"
"G49","EC8258"
"G49","EC7682"
"G49","EC21"
"G10","EC3401"
"G10","EC4353"
"G10","EC4831"
"G36","EC3401"
"G36","EC4353"
"G36","EC4831"
"G57","EC3401"
"G57","EC4353"
"G57","EC4831"
"G3","EC666"
"G3","EC5918"
"G3","EC9171"
"G69","EC53"
"G13","EC31"
"G59","EC42"
"G4","EC42"
"G31","EC42"
"G38","EC4882"
"G38","EC8827"
"G38","EC6341"
"G52","EC4882"
"G52","EC8827"
"G52","EC6341"
"G29","EC4882"
"G29","EC8827"
"G29","EC6341"
"G27","EC214"
"G27","EC2369"
"G27","EC8213"
"G2","EC3054"
"G2","EC4176"
"G2","EC3015"
"G11","EC3054"
"G11","EC4176"
"G11","EC3015"
"G36","EC3054"
"G36","EC4176"
"G36","EC3015"
"G68","EC22"
"G53","EC44"
"G60","EC44"
"G49","EC44"
"G21","EC10"
"G21","EC1645"
"G21","EC4926"
"G21","EC8179"
"G63","EC10"
"G63","EC1645"
"G63","EC4926"
"G63","EC8179"
"G66","EC10"
"G66","EC1645"
"G66","EC4926"
"G66","EC8179"
"G34","EC2242"
"G34","EC5062"
"G34","EC7745"
"G11","EC38"
"G10","EC66"
"G68","EC66"
"G53","EC66"
"G46","EC63"
"G46","EC7"
"G13","EC63"
"G13","EC7"
"G45","EC63"
"G45","EC7"
"G25","EC7606"
"G25","EC3299"
"G25","EC1306"
"G12","EC7606"
"G12","EC3299"
"G12","EC1306"
"G67","EC7606"
"G67","EC3299"
"G67","EC1306"
"G2","EC9512"
"G2","EC3494"
"G2","EC9787"
"G2","EC27"
"G2","EC60"
"G48","EC9512"
"G48","EC3494"
"G48","EC9787"
"G48","EC27"
"G48","EC60"
"G50","EC9512"
"G50","EC3494"
"G50","EC9787"
"G50","EC27"
"G50","EC60"
"G46","EC58"
"G12","EC6"
"G9","EC6"
"G40","EC6"
"G3","EC757"
"G3","EC5758"
"G3","EC4122"
"G15","EC757"
"G15","EC5758"
"G15","EC4122"
"G32","EC757"
"G32","EC5758"
"G32","EC4122"
"G17","EC993"
"G17","EC9195"
"G17","EC6024"
"G17","EC20"
"G16","EC993"
"G16","EC9195"
"G16","EC6024"
"G16","EC20"
"G64","EC993"
"G64","EC9195"
"G64","EC6024"
"G64","EC20"
"G7","EC65"
"G26","EC65"
"G45","EC65"
"G31","EC31"
"G50","EC31"
"G7","EC31"
"G4","EC6"
"G55","EC22"
"G55","EC1064"
"G55","EC3684"
"G55","EC9804"
"G41","EC22"
"G41","EC1064"
"G41","EC3684"
"G41","EC9804"
"G30","EC22"
"G30","EC1064"
"G30","EC3684"
"G30","EC9804"
"G18","EC67"
"G68","EC2023"
"G68","EC9872"
"G68","EC5877"
"G68","EC9428"
"G68","EC8784"
"G68","EC5637"
"G60","EC2023"
"G60","EC9872"
"G60","EC5877"
"G60","EC9428"
"G60","EC8784"
"G60","EC5637"
"G46","EC2023"
"G46","EC9872"
"G46","EC5877"
"G46","EC9428"
"G46","EC8784"
"G46","EC5637"
"G31","EC1984"
"G31","EC4008"
"G31","EC7380"
"G12","EC1984"
"G12","EC4008"
"G12","EC7380"
"G52","EC1984"
"G52","EC4008"
"G52","EC7380"
"G56","EC52"
"G7","EC52"
"G66","EC52"
"G46","EC45"
"G46","EC483"
"G46","EC372"
"G46","EC6262"
"G46","EC8609"
"G46","EC9340"
"G46","EC9880"
"G63","EC16"
"G11","EC46"
"G24","EC26"
"G6","EC5065"
"G6","EC1914"
"G6","EC1433"
"G35","EC69"
"G5","EC5148"
"G5","EC1282"
"G5","EC21"
"G9","EC5172"
"G9","EC7242"
"G9","EC2613"
"G9","EC3625"
"G9","EC1600"
"G9","EC4271"
"G50","EC51"
"G25","EC51"
"G46","EC51"
"G41","EC9735"
"G41","EC7042"
"G41","EC7611"
"G30","EC9735"
"G30","EC7042"
"G30","EC7611"
"G11","EC9735"
"G11","EC7042"
"G11","EC7611"
"G70","EC49"
"G45","EC707"
"G45","EC6828"
"G45","EC6457"
"G37","EC8891"
"G37","EC152"
"G37","EC3855"
"G52","EC34"
"G21","EC70"
"G21","EC32"
"G15","EC20"
"G56","EC20"
"G58","EC20"
"G31","EC5285"
"G31","EC8017"
"G31","EC4880"
"G44","EC8324"
"G44","EC6707"
"G44","EC9208"
"G65","EC8324"
"G65","EC6707"
"G65","EC9208"
"G40","EC8324"
"G40","EC6707"
"G40","EC9208"
"G42","EC2711"
"G42","EC7693"
"G42","EC8298"
"G17","EC52"
"G11","EC52"
"G67","EC52"
"G53","EC3536"
"G53","EC7678"
"G53","EC4230"
"G56","EC9380"
"G56","EC1021"
"G56","EC2392"
"G68","EC9380"
"G68","EC1021"
"G68","EC2392"
"G5","EC9380"
"G5","EC1021"
"G5","EC2392"
"G34","EC66"
"G23","EC66"
"G65","EC66"
"G70","EC1187"
"G70","EC3703"
"G70","EC5538"
"G70","EC8401"
"G70","EC2062"
"G70","EC258"
"G57","EC8875"
"G57","EC4855"
"G57","EC5364"
"G57","EC9892"
"G57","EC9770"
"G57","EC4395"
"G47","EC8875"
"G47","EC4855"
"G47","EC5364"
"G47","EC9892"
"G47","EC9770"
"G47","EC4395"
"G50","EC8875"
"G50","EC4855"
"G50","EC5364"
"G50","EC9892"
"G50","EC9770"
"G50","EC4395"
"G70","EC3527"
"G70","EC398"
"G70","EC3919"
"G55","EC3527"
"G55","EC398"
"G55","EC3919"
"G18","EC3527"
"G18","EC398"
"G18","EC3919"
"G41","EC9038"
"G41","EC8115"
"G41","EC1832"
"G41","EC5286"
"G41","EC1020"
"G41","EC3031"
"G65","EC51"
"G65","EC2678"
"G65","EC4392"
"G65","EC7938"
"G68","EC27"
"G25","EC27"
"G54","EC27"
"G67","EC5081"
"G67","EC2863"
"G67","EC6622"
"G7","EC1962"
"G7","EC2821"
"G7","EC9587"
"G52","EC1962"
"G52","EC2821"
"G52","EC9587"
"G68","EC1962"
"G68","EC2821"
"G68","EC9587"
"G31","EC68"
"G31","EC7"
"G40","EC65"
"G31","EC2637"
"G31","EC1277"
"G31","EC4601"
"G31","EC41"
"G25","EC2637"
"G25","EC1277"
"G25","EC4601"
"G25","EC41"
"G26","EC2637"
"G26","EC1277"
"G26","EC4601"
"G26","EC41"
"G32","EC24"
"G4","EC64"
"G54","EC64"
"G13","EC64"
"G64","EC65"
"G26","EC22"
"G25","EC22"
"G65","EC22"
"G23","EC2781"
"G23","EC1710"
"G23","EC2763"
"G34","EC8435"
"G34","EC4709"
"G34","EC513"
"G2","EC8435"
"G2","EC4709"
"G2","EC513"
"G51","EC8435"
"G51","EC4709"
"G51","EC513"
"G14","EC8509"
"G14","EC8266"
"G14","EC3169"
"G62","EC5"
"G20","EC62"
"G19","EC10"
"G13","EC10"
"G54","EC10"
"G34","EC7120"
"G34","EC1087"
"G34","EC164"
"G34","EC3"
"G7","EC7120"
"G7","EC1087"
"G7","EC164"
"G7","EC3"
"G47","EC7120"
"G47","EC1087"
"G47","EC164"
"G47","EC3"
"G12","EC60"
"G65","EC60"
"G19","EC60"
"G11","EC48"
"G11","EC1797"
"G11","EC3923"
"G11","EC4365"
"G61","EC65"
"G11","EC7958"
"G11","EC1399"
"G11","EC8053"
"G1","EC7958"
"G1","EC1399"
"G1","EC8053"
"G70","EC7958"
"G70","EC1399"
"G70","EC8053"
"G40","EC352"
"G40","EC9594"
"G40","EC8587"
"G10","EC8431"
"G10","EC6362"
"G10","EC9238"
"G47","EC43"
"G47","EC66"
"G47","EC60"
"G19","EC9847"
"G19","EC8640"
"G19","EC8668"
"G19","EC9454"
"G19","EC704"
"G19","EC7784"
"G19","EC6539"
"G19","EC6420"
"G19","EC5882"
"G7","EC8786"
"G7","EC9480"
"G7","EC8683"
"G30","EC8786"
"G30","EC9480"
"G30","EC8683"
"G41","EC8786"
"G41","EC9480"
"G41","EC8683"
"G53","EC3492"
"G53","EC2178"
"G53","EC9383"
"G56","EC35"
"G69","EC35"
"G38","EC35"
"G33","EC3230"
"G33","EC6078"
"G33","EC3258"
"G54","EC3230"
"G54","EC6078"
"G54","EC3258"
"G62","EC3230"
"G62","EC6078"
"G62","EC3258"
"G28","EC9637"
"G28","EC8882"
"G28","EC2704"
"G1","EC2149"
"G1","EC3740"
"G1","EC2274"
"G33","EC2149"
"G33","EC3740"
"G33","EC2274"
"G50","EC2149"
"G50","EC3740"
"G50","EC2274"
"G65","EC7447"
"G65","EC1867"
"G65","EC5969"
"G65","EC4562"
"G65","EC135"
"G65","EC4581"
"G65","EC58"
"G41","EC7447"
"G41","EC1867"
"G41","EC5969"
"G41","EC4562"
"G41","EC135"
"G41","EC4581"
"G41","EC58"
"G26","EC7447"
"G26","EC1867"
"G26","EC5969"
"G26","EC4562"
