"USECASEID","EXCEPTIONCASEID"
"UC9903","EC45"
"UC1554","EC2626"
"UC1554","EC7252"
"UC1554","EC3856"
"UC6340","EC2626"
"UC6340","EC7252"
"UC6340","EC3856"
"UC3209","EC2626"
"UC3209","EC7252"
"UC3209","EC3856"
"UC3465","EC2225"
"UC3465","EC4216"
"UC3465","EC173"
"UC6510","EC2225"
"UC6510","EC4216"
"UC6510","EC173"
"UC5544","EC2225"
"UC5544","EC4216"
"UC5544","EC173"
"UC2100","EC2"
"UC534","EC9097"
"UC534","EC1971"
"UC534","EC4484"
"UC1414","EC9097"
"UC1414","EC1971"
"UC1414","EC4484"
"UC6207","EC9097"
"UC6207","EC1971"
"UC6207","EC4484"
"UC2042","EC37"
"UC4812","EC37"
"UC4465","EC37"
"UC1352","EC28"
"UC3612","EC14"
"UC8125","EC1274"
"UC8125","EC4914"
"UC8125","EC7349"
"UC8841","EC25"
"UC3834","EC25"
"UC7517","EC25"
"UC1387","EC68"
"UC71","EC68"
"UC721","EC68"
"UC8703","EC9735"
"UC8703","EC7042"
"UC8703","EC7611"
"UC1279","EC9735"
"UC1279","EC7042"
"UC1279","EC7611"
"UC9279","EC9735"
"UC9279","EC7042"
"UC9279","EC7611"
"UC8350","EC8047"
"UC8350","EC564"
"UC8350","EC4950"
"UC7116","EC9595"
"UC7116","EC2113"
"UC7116","EC6278"
"UC7832","EC8414"
"UC7832","EC3638"
"UC7832","EC684"
"UC5394","EC14"
"UC5394","EC6636"
"UC5394","EC8527"
"UC806","EC27"
"UC8216","EC27"
"UC8810","EC27"
"UC5330","EC10"
"UC2149","EC10"
"UC6692","EC10"
"UC5329","EC7622"
"UC5329","EC1987"
"UC5329","EC9157"
"UC2035","EC6"
"UC8562","EC5970"
"UC8562","EC8684"
"UC8562","EC7553"
"UC8998","EC9888"
"UC8998","EC2090"
"UC8998","EC1441"
"UC3381","EC9888"
"UC3381","EC2090"
"UC3381","EC1441"
"UC5659","EC9888"
"UC5659","EC2090"
"UC5659","EC1441"
"UC4938","EC2664"
"UC4938","EC7113"
"UC4938","EC4526"
"UC3980","EC2664"
"UC3980","EC7113"
"UC3980","EC4526"
"UC1686","EC2664"
"UC1686","EC7113"
"UC1686","EC4526"
"UC9677","EC42"
"UC2695","EC42"
"UC5851","EC42"
"UC6891","EC14"
"UC4450","EC8056"
"UC4450","EC7203"
"UC4450","EC1329"
"UC5125","EC8056"
"UC5125","EC7203"
"UC5125","EC1329"
"UC1846","EC8056"
"UC1846","EC7203"
"UC1846","EC1329"
"UC7477","EC36"
"UC9433","EC5850"
"UC9433","EC6313"
"UC9433","EC5815"
"UC5465","EC7750"
"UC5465","EC3202"
"UC5465","EC3593"
"UC2011","EC7750"
"UC2011","EC3202"
"UC2011","EC3593"
"UC7370","EC7750"
"UC7370","EC3202"
"UC7370","EC3593"
"UC2103","EC6152"
"UC2103","EC2420"
"UC2103","EC2734"
"UC1050","EC6152"
"UC1050","EC2420"
"UC1050","EC2734"
"UC3353","EC6152"
"UC3353","EC2420"
"UC3353","EC2734"
"UC7394","EC13"
"UC6340","EC13"
"UC1714","EC13"
"UC3404","EC757"
"UC3404","EC5758"
"UC3404","EC4122"
"UC465","EC757"
"UC465","EC5758"
"UC465","EC4122"
"UC1207","EC757"
"UC1207","EC5758"
"UC1207","EC4122"
"UC8234","EC59"
"UC4391","EC59"
"UC7777","EC59"
"UC8510","EC7308"
"UC8510","EC7593"
"UC8510","EC7929"
"UC9562","EC22"
"UC9562","EC6856"
"UC9562","EC2794"
"UC8920","EC31"
"UC3385","EC28"
"UC7376","EC63"
"UC6112","EC63"
"UC9767","EC63"
"UC1703","EC5148"
"UC1703","EC1282"
"UC1703","EC21"
"UC4366","EC5148"
"UC4366","EC1282"
"UC4366","EC21"
"UC1268","EC5148"
"UC1268","EC1282"
"UC1268","EC21"
"UC2936","EC27"
"UC9390","EC27"
"UC9725","EC27"
"UC479","EC63"
"UC5623","EC63"
"UC1025","EC63"
"UC1338","EC6"
"UC8404","EC34"
"UC6466","EC53"
"UC5684","EC53"
"UC3769","EC53"
"UC2564","EC2"
"UC8275","EC9482"
"UC8275","EC7903"
"UC8275","EC8716"
"UC5914","EC9482"
"UC5914","EC7903"
"UC5914","EC8716"
"UC130","EC9482"
"UC130","EC7903"
"UC130","EC8716"
"UC4467","EC5314"
"UC4467","EC2616"
"UC4467","EC1432"
"UC1437","EC4673"
"UC1437","EC2273"
"UC1437","EC9669"
"UC3480","EC4673"
"UC3480","EC2273"
"UC3480","EC9669"
"UC3117","EC4673"
"UC3117","EC2273"
"UC3117","EC9669"
"UC4557","EC26"
"UC250","EC26"
"UC1722","EC26"
"UC9577","EC1023"
"UC9577","EC9350"
"UC9577","EC8653"
"UC9678","EC1023"
"UC9678","EC9350"
"UC9678","EC8653"
"UC3181","EC1023"
"UC3181","EC9350"
"UC3181","EC8653"
"UC571","EC9332"
"UC571","EC7408"
"UC571","EC1793"
"UC5121","EC9332"
"UC5121","EC7408"
"UC5121","EC1793"
"UC7863","EC9332"
"UC7863","EC7408"
"UC7863","EC1793"
"UC5246","EC3233"
"UC5246","EC4735"
"UC5246","EC2383"
"UC2218","EC3233"
"UC2218","EC4735"
"UC2218","EC2383"
"UC4871","EC3233"
"UC4871","EC4735"
"UC4871","EC2383"
"UC8022","EC11"
"UC9012","EC11"
"UC9729","EC11"
"UC6510","EC53"
"UC6314","EC53"
"UC2807","EC53"
"UC6449","EC6827"
"UC6449","EC4455"
"UC6449","EC1369"
"UC1310","EC20"
"UC1511","EC20"
"UC2330","EC20"
"UC9810","EC34"
"UC1311","EC34"
"UC1725","EC34"
"UC9541","EC2239"
"UC9541","EC2210"
"UC9541","EC6528"
"UC1687","EC55"
"UC4537","EC1709"
"UC4537","EC9860"
"UC4537","EC5825"
"UC8165","EC4978"
"UC8165","EC3102"
"UC8165","EC2017"
"UC1724","EC69"
"UC5564","EC69"
"UC9194","EC69"
"UC2080","EC5872"
"UC2080","EC3219"
"UC2080","EC3970"
"UC2712","EC9260"
"UC2712","EC1249"
"UC2712","EC9602"
"UC5479","EC45"
"UC3894","EC45"
"UC4423","EC45"
"UC1592","EC35"
"UC6383","EC35"
"UC1487","EC35"
"UC5376","EC7110"
"UC5376","EC1867"
"UC5376","EC4071"
"UC4815","EC7110"
"UC4815","EC1867"
"UC4815","EC4071"
"UC2553","EC7110"
"UC2553","EC1867"
"UC2553","EC4071"
"UC917","EC6303"
"UC917","EC3796"
"UC917","EC9909"
"UC2548","EC6303"
"UC2548","EC3796"
"UC2548","EC9909"
"UC6536","EC6303"
"UC6536","EC3796"
"UC6536","EC9909"
"UC3517","EC50"
"UC1605","EC47"
"UC7207","EC7078"
"UC7207","EC1620"
"UC7207","EC3476"
"UC8349","EC4732"
"UC8349","EC5706"
"UC8349","EC4583"
"UC1708","EC6720"
"UC1708","EC5876"
"UC1708","EC1915"
"UC574","EC2879"
"UC574","EC9872"
"UC574","EC9187"
"UC7612","EC2879"
"UC7612","EC9872"
"UC7612","EC9187"
"UC2678","EC2879"
"UC2678","EC9872"
"UC2678","EC9187"
"UC5031","EC70"
"UC3860","EC47"
"UC4228","EC47"
"UC3359","EC47"
"UC1361","EC9999"
"UC1361","EC2103"
"UC1361","EC293"
"UC1460","EC35"
"UC7091","EC6511"
"UC7091","EC9379"
"UC7091","EC394"
"UC4667","EC6511"
"UC4667","EC9379"
"UC4667","EC394"
"UC8856","EC6511"
"UC8856","EC9379"
"UC8856","EC394"
"UC1210","EC14"
"UC6866","EC14"
"UC7699","EC14"
"UC5354","EC32"
"UC4538","EC32"
"UC519","EC32"
"UC2551","EC56"
"UC275","EC56"
"UC6635","EC56"
"UC2442","EC68"
"UC8010","EC10"
"UC1954","EC10"
"UC4579","EC10"
"UC4587","EC40"
"UC1738","EC65"
"UC1390","EC65"
"UC2653","EC65"
