"SUBCOMPONENTID","EXCEPTIONCASEID"
"SCP735","EC4817"
"SCP1341","EC4817"
"SCP1480","EC4817"
"SCP1499","EC4817"
"SCP1877","EC4817"
"SCP2419","EC4817"
"SCP2599","EC4817"
"SCP2655","EC4817"
"SCP3061","EC4817"
"SCP3116","EC4817"
"SCP3163","EC4817"
"SCP3429","EC4817"
"SCP3665","EC4817"
"SCP4043","EC4817"
"SCP4103","EC4817"
"SCP4532","EC4817"
"SCP72","EC3326"
"SCP226","EC3326"
"SCP481","EC3326"
"SCP735","EC3326"
"SCP1341","EC3326"
"SCP1480","EC3326"
"SCP1499","EC3326"
"SCP1877","EC3326"
"SCP2419","EC3326"
"SCP2599","EC3326"
"SCP2655","EC3326"
"SCP3061","EC3326"
"SCP3116","EC3326"
"SCP3163","EC3326"
"SCP3429","EC3326"
"SCP3665","EC3326"
"SCP4043","EC3326"
"SCP4103","EC3326"
"SCP4532","EC3326"
"SCP72","EC2997"
"SCP226","EC2997"
"SCP481","EC2997"
"SCP735","EC2997"
"SCP1341","EC2997"
"SCP1480","EC2997"
"SCP1499","EC2997"
"SCP1877","EC2997"
"SCP2419","EC2997"
"SCP2599","EC2997"
"SCP2655","EC2997"
"SCP3061","EC2997"
"SCP3116","EC2997"
"SCP3163","EC2997"
"SCP3429","EC2997"
"SCP3665","EC2997"
"SCP4043","EC2997"
"SCP4103","EC2997"
"SCP4532","EC2997"
"SCP1953","EC6496"
"SCP1953","EC4540"
"SCP1953","EC8222"
"SCP69","EC69"
"SCP332","EC69"
"SCP972","EC69"
"SCP1281","EC69"
"SCP1324","EC69"
"SCP1396","EC69"
"SCP2623","EC69"
"SCP3268","EC69"
"SCP3766","EC69"
"SCP4009","EC69"
"SCP4189","EC69"
"SCP4589","EC48"
"SCP4025","EC13"
"SCP1104","EC5338"
"SCP1104","EC3111"
"SCP1104","EC6676"
"SCP97","EC1073"
"SCP530","EC1073"
"SCP581","EC1073"
"SCP1349","EC1073"
"SCP1388","EC1073"
"SCP1494","EC1073"
"SCP1505","EC1073"
"SCP1661","EC1073"
"SCP2592","EC1073"
"SCP2684","EC1073"
"SCP2823","EC1073"
"SCP2848","EC1073"
"SCP2882","EC1073"
"SCP4229","EC1073"
"SCP97","EC6543"
"SCP530","EC6543"
"SCP581","EC6543"
"SCP1349","EC6543"
"SCP1388","EC6543"
"SCP1494","EC6543"
"SCP1505","EC6543"
"SCP1661","EC6543"
"SCP2592","EC6543"
"SCP2684","EC6543"
"SCP2823","EC6543"
"SCP2848","EC6543"
"SCP2882","EC6543"
"SCP4229","EC6543"
"SCP97","EC8272"
"SCP530","EC8272"
"SCP581","EC8272"
"SCP1349","EC8272"
"SCP1388","EC8272"
"SCP1494","EC8272"
"SCP1505","EC8272"
"SCP1661","EC8272"
"SCP2592","EC8272"
"SCP2684","EC8272"
"SCP2823","EC8272"
"SCP2848","EC8272"
"SCP2882","EC8272"
"SCP4229","EC8272"
"SCP1957","EC43"
"SCP2032","EC43"
"SCP3281","EC43"
"SCP3287","EC43"
"SCP3344","EC43"
"SCP4144","EC43"
"SCP4352","EC43"
"SCP4501","EC43"
"SCP4683","EC43"
"SCP4709","EC43"
"SCP4809","EC43"
"SCP4829","EC43"
"SCP4872","EC43"
"SCP4948","EC43"
"SCP62","EC499"
"SCP64","EC499"
"SCP102","EC499"
"SCP171","EC499"
"SCP200","EC499"
"SCP320","EC499"
"SCP569","EC499"
"SCP733","EC499"
"SCP1226","EC499"
"SCP1274","EC499"
"SCP1591","EC499"
"SCP2698","EC499"
"SCP2715","EC499"
"SCP2854","EC499"
"SCP3879","EC499"
"SCP3890","EC499"
"SCP4060","EC499"
"SCP4526","EC499"
"SCP4650","EC499"
"SCP4689","EC499"
"SCP4727","EC499"
"SCP4940","EC499"
"SCP62","EC5832"
"SCP64","EC5832"
"SCP102","EC5832"
"SCP171","EC5832"
"SCP200","EC5832"
"SCP320","EC5832"
"SCP569","EC5832"
"SCP733","EC5832"
"SCP1226","EC5832"
"SCP1274","EC5832"
"SCP1591","EC5832"
"SCP2698","EC5832"
"SCP2715","EC5832"
"SCP2854","EC5832"
"SCP3879","EC5832"
"SCP3890","EC5832"
"SCP4060","EC5832"
"SCP4526","EC5832"
"SCP4650","EC5832"
"SCP4689","EC5832"
"SCP4727","EC5832"
"SCP4940","EC5832"
"SCP62","EC7912"
"SCP64","EC7912"
"SCP102","EC7912"
"SCP171","EC7912"
"SCP200","EC7912"
"SCP320","EC7912"
"SCP569","EC7912"
"SCP733","EC7912"
"SCP1226","EC7912"
"SCP1274","EC7912"
"SCP1591","EC7912"
"SCP2698","EC7912"
"SCP2715","EC7912"
"SCP2854","EC7912"
"SCP3879","EC7912"
"SCP3890","EC7912"
"SCP4060","EC7912"
"SCP4526","EC7912"
"SCP4650","EC7912"
"SCP4689","EC7912"
"SCP4727","EC7912"
"SCP4940","EC7912"
"SCP686","EC34"
"SCP695","EC34"
"SCP739","EC34"
"SCP1070","EC34"
"SCP2201","EC34"
"SCP2327","EC34"
"SCP2463","EC34"
"SCP2674","EC34"
"SCP3134","EC34"
"SCP3324","EC34"
"SCP4826","EC34"
"SCP2081","EC513"
"SCP4607","EC513"
"SCP2081","EC5827"
"SCP4607","EC5827"
"SCP2081","EC7930"
"SCP4607","EC7930"
"SCP1052","EC4271"
"SCP2264","EC4271"
"SCP1052","EC5352"
"SCP2264","EC5352"
"SCP1052","EC6962"
"SCP2264","EC6962"
"SCP385","EC9320"
"SCP949","EC9320"
"SCP1035","EC9320"
"SCP1339","EC9320"
"SCP1364","EC9320"
"SCP1656","EC9320"
"SCP2041","EC9320"
"SCP2356","EC9320"
"SCP2385","EC9320"
"SCP2766","EC9320"
"SCP3091","EC9320"
"SCP3499","EC9320"
"SCP3754","EC9320"
"SCP3897","EC9320"
"SCP3983","EC9320"
"SCP4477","EC9320"
"SCP385","EC8498"
"SCP949","EC8498"
"SCP1035","EC8498"
"SCP1339","EC8498"
"SCP1364","EC8498"
"SCP1656","EC8498"
"SCP2041","EC8498"
"SCP2356","EC8498"
"SCP2385","EC8498"
"SCP2766","EC8498"
"SCP3091","EC8498"
"SCP3499","EC8498"
"SCP3754","EC8498"
"SCP3897","EC8498"
"SCP3983","EC8498"
"SCP4477","EC8498"
"SCP385","EC7986"
"SCP949","EC7986"
"SCP1035","EC7986"
"SCP1339","EC7986"
"SCP1364","EC7986"
"SCP1656","EC7986"
"SCP2041","EC7986"
"SCP2356","EC7986"
"SCP2385","EC7986"
"SCP2766","EC7986"
"SCP3091","EC7986"
"SCP3499","EC7986"
"SCP3754","EC7986"
"SCP3897","EC7986"
"SCP3983","EC7986"
"SCP4477","EC7986"
"SCP28","EC3204"
"SCP104","EC3204"
"SCP754","EC3204"
"SCP1057","EC3204"
"SCP1120","EC3204"
"SCP2061","EC3204"
"SCP2083","EC3204"
"SCP2341","EC3204"
"SCP2829","EC3204"
"SCP3186","EC3204"
"SCP3858","EC3204"
"SCP4355","EC3204"
"SCP4414","EC3204"
"SCP4568","EC3204"
"SCP4747","EC3204"
"SCP5019","EC3204"
"SCP5042","EC3204"
"SCP28","EC1939"
"SCP104","EC1939"
"SCP754","EC1939"
"SCP1057","EC1939"
"SCP1120","EC1939"
"SCP2061","EC1939"
"SCP2083","EC1939"
"SCP2341","EC1939"
"SCP2829","EC1939"
"SCP3186","EC1939"
"SCP3858","EC1939"
"SCP4355","EC1939"
"SCP4414","EC1939"
"SCP4568","EC1939"
"SCP4747","EC1939"
"SCP5019","EC1939"
"SCP5042","EC1939"
"SCP28","EC9254"
"SCP104","EC9254"
"SCP754","EC9254"
"SCP1057","EC9254"
"SCP1120","EC9254"
"SCP2061","EC9254"
"SCP2083","EC9254"
"SCP2341","EC9254"
"SCP2829","EC9254"
"SCP3186","EC9254"
"SCP3858","EC9254"
"SCP4355","EC9254"
"SCP4414","EC9254"
"SCP4568","EC9254"
"SCP4747","EC9254"
"SCP5019","EC9254"
"SCP5042","EC9254"
"SCP3106","EC43"
"SCP957","EC1053"
"SCP957","EC9690"
"SCP957","EC3043"
"SCP385","EC9065"
"SCP949","EC9065"
"SCP1035","EC9065"
"SCP1339","EC9065"
"SCP1364","EC9065"
"SCP1656","EC9065"
"SCP2041","EC9065"
"SCP2766","EC9065"
"SCP3091","EC9065"
"SCP3499","EC9065"
"SCP3754","EC9065"
"SCP3897","EC9065"
"SCP3983","EC9065"
"SCP4477","EC9065"
"SCP385","EC1256"
"SCP949","EC1256"
"SCP1035","EC1256"
"SCP1339","EC1256"
"SCP1364","EC1256"
"SCP1656","EC1256"
"SCP2041","EC1256"
"SCP2766","EC1256"
"SCP3091","EC1256"
"SCP3499","EC1256"
"SCP3754","EC1256"
"SCP3897","EC1256"
"SCP3983","EC1256"
"SCP4477","EC1256"
"SCP385","EC4116"
"SCP949","EC4116"
"SCP1035","EC4116"
"SCP1339","EC4116"
"SCP1364","EC4116"
"SCP1656","EC4116"
"SCP2041","EC4116"
"SCP2766","EC4116"
"SCP3091","EC4116"
"SCP3499","EC4116"
"SCP3754","EC4116"
"SCP3897","EC4116"
"SCP3983","EC4116"
"SCP4477","EC4116"
"SCP56","EC38"
"SCP70","EC38"
"SCP381","EC38"
"SCP836","EC38"
"SCP1002","EC38"
"SCP1482","EC38"
"SCP2084","EC38"
"SCP2102","EC38"
"SCP3040","EC38"
"SCP3094","EC38"
"SCP3185","EC38"
"SCP3307","EC38"
"SCP3778","EC38"
"SCP3839","EC38"
"SCP3993","EC38"
"SCP4176","EC38"
"SCP4505","EC38"
"SCP4518","EC38"
"SCP97","EC9021"
"SCP530","EC9021"
"SCP581","EC9021"
"SCP1349","EC9021"
"SCP1388","EC9021"
"SCP1494","EC9021"
"SCP1505","EC9021"
"SCP1661","EC9021"
"SCP2592","EC9021"
"SCP2684","EC9021"
"SCP2823","EC9021"
"SCP2848","EC9021"
"SCP2882","EC9021"
"SCP4229","EC9021"
"SCP97","EC166"
"SCP530","EC166"
"SCP581","EC166"
"SCP1349","EC166"
"SCP1388","EC166"
"SCP1494","EC166"
"SCP1505","EC166"
"SCP1661","EC166"
"SCP2592","EC166"
"SCP2684","EC166"
"SCP2823","EC166"
"SCP2848","EC166"
"SCP2882","EC166"
"SCP4229","EC166"
"SCP97","EC1210"
"SCP530","EC1210"
"SCP581","EC1210"
"SCP1349","EC1210"
"SCP1388","EC1210"
"SCP1494","EC1210"
"SCP1505","EC1210"
"SCP1661","EC1210"
"SCP2592","EC1210"
"SCP2684","EC1210"
"SCP2823","EC1210"
"SCP2848","EC1210"
"SCP2882","EC1210"
"SCP4229","EC1210"
"SCP597","EC21"
"SCP83","EC44"
"SCP928","EC44"
"SCP1387","EC44"
"SCP3480","EC44"
"SCP4195","EC44"
"SCP4377","EC44"
"SCP4830","EC44"
"SCP4968","EC44"
"SCP771","EC3527"
"SCP4722","EC3527"
"SCP771","EC4480"
"SCP4722","EC4480"
"SCP771","EC2711"
"SCP4722","EC2711"
"SCP245","EC11"
"SCP1041","EC11"
"SCP1135","EC11"
"SCP1742","EC11"
"SCP3415","EC11"
"SCP3675","EC11"
"SCP3681","EC11"
"SCP4181","EC11"
"SCP4632","EC11"
"SCP4965","EC11"
"SCP4990","EC11"
"SCP218","EC31"
"SCP260","EC31"
"SCP1507","EC31"
"SCP2163","EC31"
"SCP2208","EC31"
"SCP2497","EC31"
"SCP2627","EC31"
"SCP2801","EC31"
"SCP3378","EC31"
"SCP3388","EC31"
"SCP3673","EC31"
"SCP3859","EC31"
"SCP4464","EC31"
"SCP5027","EC31"
"SCP52","EC45"
"SCP98","EC45"
"SCP191","EC45"
"SCP310","EC45"
"SCP572","EC45"
"SCP1087","EC45"
"SCP1273","EC45"
"SCP1382","EC45"
"SCP1416","EC45"
"SCP1566","EC45"
"SCP2161","EC45"
"SCP2173","EC45"
"SCP2191","EC45"
"SCP2207","EC45"
"SCP2566","EC45"
"SCP2869","EC45"
"SCP4078","EC45"
"SCP4581","EC45"
"SCP4656","EC45"
"SCP4875","EC45"
"SCP4888","EC45"
"SCP4993","EC45"
"SCP1703","EC65"
"SCP2067","EC65"
"SCP99","EC1233"
"SCP253","EC1233"
"SCP546","EC1233"
"SCP570","EC1233"
"SCP1095","EC1233"
"SCP1157","EC1233"
"SCP1771","EC1233"
"SCP1961","EC1233"
"SCP2687","EC1233"
"SCP3215","EC1233"
"SCP4024","EC1233"
"SCP4178","EC1233"
"SCP4796","EC1233"
"SCP4926","EC1233"
"SCP99","EC9270"
"SCP253","EC9270"
"SCP546","EC9270"
"SCP570","EC9270"
"SCP1095","EC9270"
"SCP1157","EC9270"
"SCP1771","EC9270"
"SCP1961","EC9270"
"SCP2687","EC9270"
"SCP3215","EC9270"
"SCP4024","EC9270"
"SCP4178","EC9270"
"SCP4796","EC9270"
"SCP4926","EC9270"
"SCP99","EC8773"
"SCP253","EC8773"
"SCP546","EC8773"
"SCP570","EC8773"
"SCP1095","EC8773"
"SCP1157","EC8773"
"SCP1771","EC8773"
"SCP1961","EC8773"
"SCP2687","EC8773"
"SCP3215","EC8773"
"SCP4024","EC8773"
"SCP4178","EC8773"
"SCP4796","EC8773"
"SCP4926","EC8773"
"SCP1074","EC5621"
"SCP1074","EC8513"
"SCP1074","EC6354"
"SCP151","EC1310"
"SCP844","EC1310"
"SCP1891","EC1310"
"SCP2257","EC1310"
"SCP2973","EC1310"
"SCP3008","EC1310"
"SCP3464","EC1310"
"SCP4524","EC1310"
"SCP4778","EC1310"
"SCP151","EC3293"
"SCP844","EC3293"
"SCP1891","EC3293"
"SCP2257","EC3293"
"SCP2973","EC3293"
"SCP3008","EC3293"
"SCP3464","EC3293"
"SCP4524","EC3293"
"SCP4778","EC3293"
"SCP151","EC8581"
"SCP844","EC8581"
"SCP1891","EC8581"
"SCP2257","EC8581"
"SCP2973","EC8581"
"SCP3008","EC8581"
"SCP3464","EC8581"
"SCP4524","EC8581"
"SCP4778","EC8581"
"SCP1198","EC44"
"SCP1922","EC44"
"SCP2388","EC44"
"SCP4583","EC44"
"SCP18","EC36"
"SCP121","EC36"
"SCP283","EC36"
"SCP1458","EC36"
"SCP2331","EC36"
"SCP2401","EC36"
"SCP2711","EC36"
"SCP3076","EC36"
"SCP3182","EC36"
"SCP3201","EC36"
"SCP3260","EC36"
"SCP3877","EC36"
"SCP4281","EC36"
"SCP5043","EC36"
"SCP72","EC4697"
"SCP226","EC4697"
"SCP481","EC4697"
"SCP735","EC4697"
"SCP1341","EC4697"
"SCP1480","EC4697"
"SCP1499","EC4697"
"SCP1877","EC4697"
"SCP2419","EC4697"
"SCP2599","EC4697"
"SCP2655","EC4697"
"SCP3061","EC4697"
"SCP3116","EC4697"
"SCP3163","EC4697"
"SCP3429","EC4697"
"SCP3665","EC4697"
"SCP4043","EC4697"
"SCP4103","EC4697"
"SCP4532","EC4697"
"SCP72","EC6184"
"SCP226","EC6184"
"SCP481","EC6184"
"SCP735","EC6184"
"SCP1341","EC6184"
"SCP1480","EC6184"
"SCP1499","EC6184"
"SCP1877","EC6184"
"SCP2419","EC6184"
"SCP2599","EC6184"
"SCP2655","EC6184"
"SCP3061","EC6184"
"SCP3116","EC6184"
"SCP3163","EC6184"
"SCP3429","EC6184"
"SCP3665","EC6184"
"SCP4043","EC6184"
"SCP4103","EC6184"
"SCP4532","EC6184"
"SCP72","EC9324"
"SCP226","EC9324"
"SCP481","EC9324"
"SCP735","EC9324"
"SCP1341","EC9324"
"SCP1480","EC9324"
"SCP1499","EC9324"
"SCP1877","EC9324"
"SCP2419","EC9324"
"SCP2599","EC9324"
"SCP2655","EC9324"
"SCP3061","EC9324"
"SCP3116","EC9324"
"SCP3163","EC9324"
"SCP3429","EC9324"
"SCP3665","EC9324"
"SCP4043","EC9324"
"SCP4103","EC9324"
"SCP4532","EC9324"
"SCP744","EC5896"
"SCP744","EC8722"
"SCP744","EC7588"
"SCP47","EC54"
"SCP131","EC54"
"SCP1694","EC54"
"SCP1727","EC54"
"SCP2044","EC54"
"SCP2348","EC54"
"SCP2503","EC54"
"SCP2881","EC54"
"SCP3161","EC54"
"SCP3165","EC54"
"SCP3677","EC54"
"SCP3783","EC54"
"SCP4106","EC54"
"SCP4199","EC54"
"SCP4294","EC54"
"SCP4590","EC54"
"SCP773","EC63"
"SCP908","EC63"
"SCP1245","EC63"
"SCP1367","EC63"
"SCP1411","EC63"
"SCP1696","EC63"
"SCP2180","EC63"
"SCP2406","EC63"
"SCP2457","EC63"
"SCP2769","EC63"
"SCP3483","EC63"
"SCP4233","EC63"
"SCP5017","EC63"
"SCP5079","EC63"
"SCP720","EC48"
"SCP4522","EC48"
"SCP3626","EC2216"
"SCP3626","EC2051"
"SCP3626","EC2871"
"SCP402","EC6012"
"SCP1012","EC6012"
"SCP1442","EC6012"
"SCP1496","EC6012"
"SCP1510","EC6012"
"SCP1898","EC6012"
"SCP2012","EC6012"
"SCP2158","EC6012"
"SCP2216","EC6012"
"SCP2624","EC6012"
"SCP2954","EC6012"
"SCP3211","EC6012"
"SCP3535","EC6012"
"SCP3666","EC6012"
"SCP3739","EC6012"
"SCP3813","EC6012"
"SCP4137","EC6012"
"SCP402","EC1298"
"SCP1012","EC1298"
"SCP1442","EC1298"
"SCP1496","EC1298"
"SCP1510","EC1298"
"SCP1898","EC1298"
"SCP2012","EC1298"
"SCP2158","EC1298"
"SCP2216","EC1298"
"SCP2624","EC1298"
"SCP2954","EC1298"
"SCP3211","EC1298"
"SCP3535","EC1298"
"SCP3666","EC1298"
"SCP3739","EC1298"
"SCP3813","EC1298"
"SCP4137","EC1298"
"SCP402","EC7397"
"SCP1012","EC7397"
"SCP1442","EC7397"
"SCP1496","EC7397"
"SCP1510","EC7397"
"SCP1898","EC7397"
"SCP2012","EC7397"
"SCP2158","EC7397"
"SCP2216","EC7397"
"SCP2624","EC7397"
"SCP2954","EC7397"
"SCP3211","EC7397"
"SCP3535","EC7397"
"SCP3666","EC7397"
"SCP3739","EC7397"
"SCP3813","EC7397"
"SCP4137","EC7397"
"SCP402","EC7115"
"SCP1012","EC7115"
"SCP1442","EC7115"
"SCP1496","EC7115"
"SCP1510","EC7115"
"SCP1898","EC7115"
"SCP2012","EC7115"
"SCP2158","EC7115"
"SCP2216","EC7115"
"SCP2624","EC7115"
"SCP2954","EC7115"
"SCP3211","EC7115"
"SCP3535","EC7115"
"SCP3666","EC7115"
"SCP3739","EC7115"
"SCP3813","EC7115"
"SCP4137","EC7115"
"SCP402","EC8122"
"SCP1012","EC8122"
"SCP1442","EC8122"
"SCP1496","EC8122"
"SCP1510","EC8122"
"SCP1898","EC8122"
"SCP2012","EC8122"
"SCP2158","EC8122"
"SCP2216","EC8122"
"SCP2624","EC8122"
"SCP2954","EC8122"
"SCP3211","EC8122"
"SCP3535","EC8122"
"SCP3666","EC8122"
"SCP3739","EC8122"
"SCP3813","EC8122"
"SCP4137","EC8122"
"SCP402","EC1176"
"SCP1012","EC1176"
"SCP1442","EC1176"
"SCP1496","EC1176"
"SCP1510","EC1176"
"SCP1898","EC1176"
"SCP2012","EC1176"
"SCP2158","EC1176"
"SCP2216","EC1176"
"SCP2624","EC1176"
"SCP2954","EC1176"
"SCP3211","EC1176"
"SCP3535","EC1176"
"SCP3666","EC1176"
"SCP3739","EC1176"
"SCP3813","EC1176"
"SCP4137","EC1176"
"SCP1707","EC8"
"SCP62","EC4733"
"SCP64","EC4733"
"SCP102","EC4733"
"SCP171","EC4733"
"SCP200","EC4733"
"SCP320","EC4733"
"SCP569","EC4733"
"SCP733","EC4733"
"SCP1226","EC4733"
