"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC34","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC35","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC36","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC37","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC38","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC39","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC40","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC41","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC42","Clinician","Air-in-line Embolism","bubble detection"
"EC43","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC44","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC45","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC46","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC47","Patient or Clinician","Sound Failure","no audible alarm"
"EC48","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC49","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC50","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC51","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC52","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC53","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC54","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC55","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC56","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC57","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC58","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC59","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC60","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC61","Patient","Air-in-line Embolism","bubble detection"
"EC62","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC63","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC64","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC65","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC66","Clinician","Sound Failure","no audible alarm"
"EC67","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC68","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC69","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC70","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC71","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC72","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC73","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC74","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC75","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC76","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC77","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC78","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC79","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC80","ICE app","Air-in-line Embolism","bubble detection"
"EC81","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC82","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC83","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC84","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC85","Patient","Sound Failure","no audible alarm"
"EC86","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC87","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC88","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC89","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC90","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC91","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC92","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC93","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC94","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC95","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC96","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC97","Patient","Downstream Occlusion","blockage between pump and patient"
"EC98","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC99","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC100","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC101","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC102","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC103","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC104","ICE app","Sound Failure","no audible alarm"
"EC105","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC106","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC107","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC108","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC109","Patient","Power-On Self Test Failure","power-on self test fails"
"EC110","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC111","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC112","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC113","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC114","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC115","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC116","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC117","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC118","Clinician","Air-in-line Embolism","bubble detection"
"EC119","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC120","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC121","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC122","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC123","Patient or Clinician","Sound Failure","no audible alarm"
"EC124","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC125","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC126","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC127","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC128","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC129","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC130","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC131","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC132","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC133","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC134","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC135","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC136","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC137","Patient","Air-in-line Embolism","bubble detection"
"EC138","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC139","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC140","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC141","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC142","Clinician","Sound Failure","no audible alarm"
"EC143","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC144","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC145","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC146","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC147","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC148","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC149","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC150","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC151","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC152","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC153","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC154","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC155","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC156","ICE app","Air-in-line Embolism","bubble detection"
"EC157","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC158","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC159","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC160","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC161","Patient","Sound Failure","no audible alarm"
"EC162","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC163","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC164","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC165","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC166","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC167","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC168","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC169","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC170","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC171","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC172","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC173","Patient","Downstream Occlusion","blockage between pump and patient"
"EC174","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC175","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC176","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC177","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC178","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC179","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC180","ICE app","Sound Failure","no audible alarm"
"EC181","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC182","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC183","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC184","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC185","Patient","Power-On Self Test Failure","power-on self test fails"
"EC186","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC187","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC188","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC189","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC190","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC191","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC192","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC193","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC194","Clinician","Air-in-line Embolism","bubble detection"
"EC195","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC196","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC197","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC198","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC199","Patient or Clinician","Sound Failure","no audible alarm"
"EC200","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC201","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC202","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC203","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC204","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC205","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC206","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC207","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC208","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC209","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC210","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC211","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC212","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC213","Patient","Air-in-line Embolism","bubble detection"
"EC214","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC215","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC216","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC217","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC218","Clinician","Sound Failure","no audible alarm"
"EC219","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC220","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC221","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC222","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC223","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC224","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC225","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC226","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC227","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC228","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC229","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC230","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC231","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC232","ICE app","Air-in-line Embolism","bubble detection"
"EC233","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC234","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC235","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC236","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC237","Patient","Sound Failure","no audible alarm"
"EC238","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC239","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC240","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC241","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC242","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC243","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC244","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC245","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC246","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC247","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC248","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC249","Patient","Downstream Occlusion","blockage between pump and patient"
"EC250","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC251","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC252","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC253","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC254","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC255","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC256","ICE app","Sound Failure","no audible alarm"
"EC257","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC258","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC259","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC260","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC261","Patient","Power-On Self Test Failure","power-on self test fails"
"EC262","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC263","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC264","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC265","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC266","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC267","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC268","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC269","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC270","Clinician","Air-in-line Embolism","bubble detection"
"EC271","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC272","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC273","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC274","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC275","Patient or Clinician","Sound Failure","no audible alarm"
"EC276","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC277","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC278","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC279","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC280","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC281","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC282","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC283","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC284","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC285","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC286","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC287","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC288","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC289","Patient","Air-in-line Embolism","bubble detection"
"EC290","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC291","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC292","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC293","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC294","Clinician","Sound Failure","no audible alarm"
"EC295","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC296","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC297","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC298","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC299","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC300","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC301","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC302","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC303","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC304","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC305","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC306","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC307","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC308","ICE app","Air-in-line Embolism","bubble detection"
"EC309","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC310","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC311","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC312","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC313","Patient","Sound Failure","no audible alarm"
"EC314","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC315","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC316","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC317","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC318","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC319","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC320","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC321","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC322","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC323","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC324","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC325","Patient","Downstream Occlusion","blockage between pump and patient"
"EC326","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC327","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC328","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC329","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC330","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC331","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC332","ICE app","Sound Failure","no audible alarm"
"EC333","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC334","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC335","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC336","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC337","Patient","Power-On Self Test Failure","power-on self test fails"
"EC338","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC339","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC340","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC341","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC342","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC343","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC344","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC345","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC346","Clinician","Air-in-line Embolism","bubble detection"
"EC347","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC348","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC349","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC350","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC351","Patient or Clinician","Sound Failure","no audible alarm"
"EC352","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC353","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC354","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC355","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC356","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC357","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC358","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC359","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC360","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC361","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC362","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC363","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC364","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC365","Patient","Air-in-line Embolism","bubble detection"
"EC366","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC367","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC368","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC369","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC370","Clinician","Sound Failure","no audible alarm"
"EC371","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC372","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC373","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC374","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC375","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC376","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC377","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC378","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC379","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC380","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC381","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC382","Clinician","Downstream Occlusion","blockage between pump and patient"
