"USECASESTEPID","STEPDESCRIPTION"
"UseCaseStep41","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep42","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep43","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep44","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep45"," "
"UseCaseStep46","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep47","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep48","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep49","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep50"," "
"UseCaseStep51","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep52","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep53","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep54","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep55"," "
"UseCaseStep56","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep57","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep58","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep59","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep60"," "
"UseCaseStep61","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep62","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep63","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep64","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep65"," "
"UseCaseStep66","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep67","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep68","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep69","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep70"," "
"UseCaseStep71","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep72","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep73","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep74","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep75"," "
"UseCaseStep76","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep77","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep78","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep79","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep80"," "
"UseCaseStep81","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep82","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep83","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep84","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep85"," "
"UseCaseStep86","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep87","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep88","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep89","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep90"," "
"UseCaseStep91","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep92","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep93","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep94","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep95"," "
"UseCaseStep96","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep97","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep98","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep99","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep100"," "
"UseCaseStep101","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep102","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep103","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep104","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep105"," "
"UseCaseStep106","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep107","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep108","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep109","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep110"," "
"UseCaseStep111","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep112","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep113","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep114","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep115"," "
"UseCaseStep116","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep117","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep118","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep119","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep120"," "
"UseCaseStep121","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep122","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep123","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep124","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep125"," "
"UseCaseStep126","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep127","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep128","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep129","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep130"," "
"UseCaseStep131","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep132","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep133","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep134","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep135"," "
"UseCaseStep136","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep137","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep138","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep139","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep140"," "
"UseCaseStep141","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep142","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep143","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep144","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep145"," "
"UseCaseStep146","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep147","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep148","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep149","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep150"," "
"UseCaseStep151","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep152","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep153","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep154","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep155"," "
"UseCaseStep156","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep157","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep158","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep159","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep160"," "
"UseCaseStep161","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep162","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep163","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep164","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep165"," "
"UseCaseStep166","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep167","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep168","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep169","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep170"," "
"UseCaseStep171","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep172","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep173","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep174","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep175"," "
"UseCaseStep176","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep177","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep178","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep179","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep180"," "
"UseCaseStep181","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep182","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep183","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep184","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep185"," "
"UseCaseStep186","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep187","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep188","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep189","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep190"," "
"UseCaseStep191","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep192","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep193","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep194","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep195"," "
"UseCaseStep196","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep197","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep198","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep199","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep200"," "
"UseCaseStep201","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep202","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep203","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep204","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep205"," "
"UseCaseStep206","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep207","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep208","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep209","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep210"," "
"UseCaseStep211","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep212","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep213","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep214","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep215"," "
"UseCaseStep216","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep217","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep218","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep219","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep220"," "
"UseCaseStep221","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep222","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep223","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep224","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep225"," "
"UseCaseStep226","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep227","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep228","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep229","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep230"," "
"UseCaseStep231","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep232","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep233","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep234","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep235"," "
"UseCaseStep236","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep237","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep238","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep239","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep240"," "
"UseCaseStep241","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep242","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep243","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep244","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep245"," "
"UseCaseStep246","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep247","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep248","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep249","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep250"," "
"UseCaseStep251","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep252","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep253","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep254","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep255"," "
"UseCaseStep256","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep257","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep258","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep259","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep260"," "
"UseCaseStep261","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep262","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep263","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep264","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep265"," "
"UseCaseStep266","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep267","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep268","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep269","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep270"," "
"UseCaseStep271","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep272","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep273","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep274","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep275"," "
"UseCaseStep276","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep277","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep278","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep279","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep280"," "
"UseCaseStep281","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep282","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep283","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep284","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep285"," "
"UseCaseStep286","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep287","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep288","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep289","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep290"," "
"UseCaseStep291","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep292","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep293","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep294","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep295"," "
"UseCaseStep296","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep297","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep298","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep299","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep300"," "
"UseCaseStep301","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep302","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep303","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep304","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep305"," "
"UseCaseStep306","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep307","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UseCaseStep308","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UseCaseStep309","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UseCaseStep310"," "
"UseCaseStep311","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UseCaseStep312","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
