"USECASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"UC24","ICE app","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC25","Clinician","Resume Infusion"," "
"UC26","Clinician or APP","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC27","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC28","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC29","Patient","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC30","Clinician","Clinician-Requested Bolus"," "
"UC31","ICE app","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC32","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC33","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC34","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC35","Clinician","Flush Pump"," "
"UC36","Patient","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC37","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC38","ICE app","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC39","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC40","Clinician or APP","ICE-Dectected Hazard"," "
"UC41","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC42","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC43","Patient","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC44","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC45","ICE app","Prime Pump"," "
"UC46","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC47","Clinician or APP","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC48","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC49","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC50","Patient","Resume Operation After ICE-Dected Hazard"," "
"UC51","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC52","ICE app","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC53","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC54","Clinician or APP","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC55","Clinician","normal Operation"," "
"UC56","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC57","Patient","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC58","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC59","ICE app","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC60","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC61","Clinician or APP","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC62","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC63","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC64","Patient","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC65","Clinician","Patient-Requested Bolus"," "
"UC66","ICE app","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC67","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC68","Clinician or APP","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC69","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC70","Clinician","Resume Infusion"," "
"UC71","Patient","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC72","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC73","ICE app","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC74","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC75","Clinician or APP","Clinician-Requested Bolus"," "
"UC76","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC77","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC78","Patient","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC79","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC80","ICE app","Flush Pump"," "
"UC81","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC82","Clinician or APP","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC83","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC84","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC85","Patient","ICE-Dectected Hazard"," "
"UC86","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC87","ICE app","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC88","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC89","Clinician or APP","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC90","Clinician","Prime Pump"," "
"UC91","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC92","Patient","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC93","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC94","ICE app","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC95","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC96","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC97","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC98","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC99","Patient","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC100","Clinician","normal Operation"," "
"UC101","ICE app","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC102","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC103","Clinician or APP","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC104","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC105","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC106","Patient","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC107","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC108","ICE app","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC109","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC110","Clinician or APP","Patient-Requested Bolus"," "
"UC111","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC112","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC113","Patient","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC114","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC115","ICE app","Resume Infusion"," "
"UC116","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC117","Clinician or APP","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC118","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC119","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC120","Patient","Clinician-Requested Bolus"," "
"UC121","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC122","ICE app","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC123","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC124","Clinician or APP","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC125","Clinician","Flush Pump"," "
"UC126","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC127","Patient","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC128","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC129","ICE app","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC130","Clinician","ICE-Dectected Hazard"," "
"UC131","Clinician or APP","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC132","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC133","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC134","Patient","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC135","Clinician","Prime Pump"," "
"UC136","ICE app","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC137","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC138","Clinician or APP","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC139","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC140","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC141","Patient","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC142","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC143","ICE app","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC144","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC145","Clinician or APP","normal Operation"," "
"UC146","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC147","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC148","Patient","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC149","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC150","ICE app","ICE-initiated Audible Alarm Inactivation"," "
"UC151","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC152","Clinician or APP","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC153","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC154","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC155","Patient","Patient-Requested Bolus"," "
"UC156","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC157","ICE app","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC158","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC159","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC160","Clinician","Resume Infusion"," "
"UC161","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC162","Patient","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC163","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC164","ICE app","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC165","Clinician","Clinician-Requested Bolus"," "
"UC166","Clinician or APP","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC167","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC168","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC169","Patient","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC170","Clinician","Flush Pump"," "
"UC171","ICE app","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC172","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC173","Clinician or APP","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC174","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC175","Clinician","ICE-Dectected Hazard"," "
"UC176","Patient","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC177","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC178","ICE app","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC179","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC180","Clinician or APP","Prime Pump"," "
"UC181","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC182","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC183","Patient","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC184","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC185","ICE app","Resume Operation After ICE-Dected Hazard"," "
"UC186","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC187","Clinician or APP","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC188","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC189","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC190","Patient","normal Operation"," "
"UC191","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC192","ICE app","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC193","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC194","Clinician or APP","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC195","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC196","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC197","Patient","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC198","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC199","ICE app","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC200","Clinician","Patient-Requested Bolus"," "
"UC201","Clinician or APP","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC202","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC203","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC204","Patient","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC205","Clinician","Resume Infusion"," "
"UC206","ICE app","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC207","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC208","Clinician or APP","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC209","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC210","Clinician","Clinician-Requested Bolus"," "
"UC211","Patient","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC212","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC213","ICE app","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC214","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC215","Clinician or APP","Flush Pump"," "
"UC216","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC217","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC218","Patient","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC219","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC220","ICE app","ICE-Dectected Hazard"," "
"UC221","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC222","Clinician or APP","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC223","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC224","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC225","Patient","Prime Pump"," "
"UC226","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC227","ICE app","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC228","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC229","Clinician or APP","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC230","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC231","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC232","Patient","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC233","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC234","ICE app","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC235","Clinician","normal Operation"," "
"UC236","Clinician or APP","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC237","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC238","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC239","Patient","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC240","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC241","ICE app","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC242","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC243","Clinician or APP","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC244","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC245","Clinician","Patient-Requested Bolus"," "
"UC246","Patient","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
